search,subset,n_assets,vol_min,body_min,close_max,tp_r,n,total_r,max_dd,annual_r
BAL_HIGH_LOW,BTCUSDT,1,1.5,0.5,0.15,4.0,69,41.32,8.22,8.26
BAL_HIGH_LOW,ETHUSDT,1,1.5,0.5,0.15,4.0,72,24.47,9.15,4.89
BAL_HIGH_LOW,SOLUSDT,1,1.5,0.5,0.15,4.0,96,24.18,8.72,4.84
BAL_HIGH_LOW,LINKUSDT,1,1.5,0.5,0.15,4.0,88,53.09,11.24,10.62
BAL_HIGH_LOW,DOGEUSDT,1,1.5,0.5,0.15,4.0,67,16.01,16.02,3.2
BAL_HIGH_LOW,XRPUSDT,1,1.5,0.5,0.15,4.0,60,26.15,12.69,5.23
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT",2,1.5,0.5,0.15,4.0,141,65.79,9.15,13.16
BAL_HIGH_LOW,"BTCUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,165,65.51,8.72,13.1
BAL_HIGH_LOW,"BTCUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,157,94.41,11.24,18.88
BAL_HIGH_LOW,"BTCUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,136,57.33,16.02,11.47
BAL_HIGH_LOW,"BTCUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,129,67.47,12.69,13.49
BAL_HIGH_LOW,"ETHUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,168,48.65,9.15,9.73
BAL_HIGH_LOW,"ETHUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,160,77.55,11.24,15.51
BAL_HIGH_LOW,"ETHUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,139,40.47,16.02,8.09
BAL_HIGH_LOW,"ETHUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,132,50.62,12.69,10.12
BAL_HIGH_LOW,"SOLUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,184,77.27,11.24,15.45
BAL_HIGH_LOW,"SOLUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,163,40.19,16.02,8.04
BAL_HIGH_LOW,"SOLUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,156,50.34,12.69,10.07
BAL_HIGH_LOW,"LINKUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,155,69.1,16.02,13.82
BAL_HIGH_LOW,"LINKUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,148,79.24,12.69,15.85
BAL_HIGH_LOW,"DOGEUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,127,42.16,16.02,8.43
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,SOLUSDT",3,1.5,0.5,0.15,4.0,237,89.97,9.15,17.99
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,229,118.88,11.24,23.78
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,208,81.79,16.02,16.36
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,201,91.94,12.69,18.39
BAL_HIGH_LOW,"BTCUSDT,SOLUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,253,118.59,11.24,23.72
BAL_HIGH_LOW,"BTCUSDT,SOLUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,232,81.51,16.02,16.3
BAL_HIGH_LOW,"BTCUSDT,SOLUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,225,91.66,12.69,18.33
BAL_HIGH_LOW,"BTCUSDT,LINKUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,224,110.42,16.02,22.08
BAL_HIGH_LOW,"BTCUSDT,LINKUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,217,120.56,12.69,24.11
BAL_HIGH_LOW,"BTCUSDT,DOGEUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,196,83.48,16.02,16.7
BAL_HIGH_LOW,"ETHUSDT,SOLUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,256,101.74,11.24,20.35
BAL_HIGH_LOW,"ETHUSDT,SOLUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,235,64.66,16.02,12.93
BAL_HIGH_LOW,"ETHUSDT,SOLUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,228,74.8,12.69,14.96
BAL_HIGH_LOW,"ETHUSDT,LINKUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,227,93.56,16.02,18.71
BAL_HIGH_LOW,"ETHUSDT,LINKUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,220,103.71,12.69,20.74
BAL_HIGH_LOW,"ETHUSDT,DOGEUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,199,66.63,16.02,13.33
BAL_HIGH_LOW,"SOLUSDT,LINKUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,251,93.28,16.02,18.66
BAL_HIGH_LOW,"SOLUSDT,LINKUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,244,103.43,12.69,20.69
BAL_HIGH_LOW,"SOLUSDT,DOGEUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,223,66.34,16.02,13.27
BAL_HIGH_LOW,"LINKUSDT,DOGEUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,215,95.25,16.02,19.05
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT",4,1.5,0.5,0.15,4.0,325,143.06,11.24,28.61
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT",4,1.5,0.5,0.15,4.0,304,105.98,16.02,21.2
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT",4,1.5,0.5,0.15,4.0,297,116.12,12.69,23.22
BAL_HIGH_LOW,"BTCUSDT,ETHUSDT,LINKUSDT,DOGEUSDT",4,1.5,0.5,0.15,4.0,296,134.88,16.02,26.98
