search,subset,n_assets,vol_min,body_min,close_max,tp_r,n,total_r,max_dd,annual_r
BAL_LOW,BTCUSDT,1,1.5,0.5,0.15,4.0,23,6.95,4.31,1.39
BAL_LOW,ETHUSDT,1,1.5,0.5,0.15,4.0,26,5.27,5.05,1.05
BAL_LOW,SOLUSDT,1,1.5,0.5,0.15,4.0,33,-4.51,11.07,-0.9
BAL_LOW,LINKUSDT,1,1.5,0.5,0.15,4.0,32,14.83,5.18,2.97
BAL_LOW,DOGEUSDT,1,1.5,0.5,0.15,4.0,29,-1.49,9.21,-0.3
BAL_LOW,XRPUSDT,1,1.5,0.5,0.15,4.0,16,12.51,3.96,2.5
BAL_LOW,"BTCUSDT,ETHUSDT",2,1.5,0.5,0.15,4.0,49,12.21,5.05,2.44
BAL_LOW,"BTCUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,56,2.43,11.07,0.49
BAL_LOW,"BTCUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,55,21.77,5.18,4.35
BAL_LOW,"BTCUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,52,5.45,10.88,1.09
BAL_LOW,"BTCUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,39,19.46,4.31,3.89
BAL_LOW,"ETHUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,59,0.75,11.07,0.15
BAL_LOW,"ETHUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,58,20.1,5.18,4.02
BAL_LOW,"ETHUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,55,3.78,12.26,0.76
BAL_LOW,"ETHUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,42,17.78,5.05,3.56
BAL_LOW,"SOLUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,65,10.31,11.07,2.06
BAL_LOW,"SOLUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,62,-6.01,17.03,-1.2
BAL_LOW,"SOLUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,49,8.0,11.07,1.6
BAL_LOW,"LINKUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,61,13.34,9.78,2.67
BAL_LOW,"LINKUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,48,27.34,5.18,5.47
BAL_LOW,"DOGEUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,45,11.02,9.21,2.2
BAL_LOW,"BTCUSDT,ETHUSDT,SOLUSDT",3,1.5,0.5,0.15,4.0,82,7.7,11.07,1.54
BAL_LOW,"BTCUSDT,ETHUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,81,27.04,5.18,5.41
BAL_LOW,"BTCUSDT,ETHUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,78,10.72,12.26,2.14
BAL_LOW,"BTCUSDT,ETHUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,65,24.73,5.05,4.95
BAL_LOW,"BTCUSDT,SOLUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,88,17.26,11.07,3.45
BAL_LOW,"BTCUSDT,SOLUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,85,0.94,17.03,0.19
BAL_LOW,"BTCUSDT,SOLUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,72,14.94,11.07,2.99
BAL_LOW,"BTCUSDT,LINKUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,84,20.28,9.78,4.06
BAL_LOW,"BTCUSDT,LINKUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,71,34.29,5.18,6.86
BAL_LOW,"BTCUSDT,DOGEUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,68,17.97,10.88,3.59
