stages,n_stages,mfe1,lock1,n,win_pct,be_pct,sl_pct,avg_r,total_r,max_dd,dd_per_trade,ann_r,delta_r
"[(0.5, 0.0)]",1,0.5,0.0,226,14.2,59.3,26.5,0.3656,82.62,10.48,0.0464,19.3,-59.7
"[(0.5, 0.25)]",1,0.5,0.25,226,3.5,69.9,26.5,0.089,20.12,11.54,0.0511,4.7,-122.2
"[(0.75, 0.0)]",1,0.75,0.0,226,15.9,49.6,34.5,0.3705,83.74,9.35,0.0414,19.6,-58.5
"[(0.75, 0.25)]",1,0.75,0.25,226,8.0,57.5,34.5,0.1758,39.74,11.44,0.0506,9.3,-102.5
"[(0.75, 0.5)]",1,0.75,0.5,226,2.2,63.3,34.5,0.1039,23.49,11.25,0.0498,5.5,-118.8
"[(1.0, 0.0)]",1,1.0,0.0,226,19.9,37.6,42.5,0.4671,105.57,6.83,0.0302,24.7,-36.7
"[(1.0, 0.25)]",1,1.0,0.25,226,12.8,44.7,42.5,0.278,62.82,11.29,0.05,14.7,-79.5
"[(1.0, 0.5)]",1,1.0,0.5,226,7.1,50.4,42.5,0.174,39.32,9.21,0.0408,9.2,-103.0
"[(1.0, 0.75)]",1,1.0,0.75,226,3.5,54.0,42.5,0.1762,39.82,7.46,0.033,9.3,-102.5
"[(1.25, 0.0)]",1,1.25,0.0,226,21.2,32.3,46.5,0.49,110.73,7.9,0.035,25.9,-31.5
"[(1.25, 0.25)]",1,1.25,0.25,226,15.5,38.1,46.5,0.3406,76.98,9.43,0.0417,18.0,-65.3
"[(1.25, 0.5)]",1,1.25,0.5,226,10.6,42.9,46.5,0.2532,57.23,8.51,0.0376,13.4,-85.0
"[(1.25, 0.75)]",1,1.25,0.75,226,7.5,46.0,46.5,0.2521,56.98,7.38,0.0326,13.3,-85.3
"[(1.25, 1.0)]",1,1.25,1.0,226,3.5,50.0,46.5,0.2378,53.73,7.36,0.0326,12.5,-88.5
"[(1.5, 0.0)]",1,1.5,0.0,226,23.5,22.6,54.0,0.5182,117.11,9.43,0.0417,27.3,-25.2
"[(1.5, 0.25)]",1,1.5,0.25,226,19.9,26.1,54.0,0.433,97.86,12.45,0.0551,22.9,-44.4
"[(1.5, 0.5)]",1,1.5,0.5,226,15.5,30.5,54.0,0.3323,75.11,14.35,0.0635,17.5,-67.2
"[(1.5, 0.75)]",1,1.5,0.75,226,12.4,33.6,54.0,0.3003,67.86,11.85,0.0524,15.8,-74.4
"[(1.5, 1.0)]",1,1.5,1.0,226,7.5,38.5,54.0,0.2261,51.11,10.07,0.0446,11.9,-91.2
"[(1.5, 1.25)]",1,1.5,1.25,226,3.1,42.9,54.0,0.1896,42.86,12.5,0.0553,10.0,-99.4
"[(2.0, 0.0)]",1,2.0,0.0,226,24.8,15.5,59.7,0.5305,119.89,9.43,0.0417,28.0,-22.4
"[(2.0, 0.25)]",1,2.0,0.25,226,22.6,17.7,59.7,0.4807,108.64,12.53,0.0555,25.4,-33.6
"[(2.0, 0.5)]",1,2.0,0.5,226,18.6,21.7,59.7,0.3756,84.89,16.03,0.0709,19.8,-57.4
"[(2.0, 0.75)]",1,2.0,0.75,226,15.5,24.8,59.7,0.3214,72.64,13.78,0.061,17.0,-69.6
"[(2.0, 1.0)]",1,2.0,1.0,226,12.8,27.4,59.7,0.2971,67.14,12.26,0.0542,15.7,-75.1
"[(2.0, 1.25)]",1,2.0,1.25,226,10.2,30.1,59.7,0.286,64.64,10.62,0.047,15.1,-77.6
"[(2.0, 1.5)]",1,2.0,1.5,226,7.5,32.7,59.7,0.2882,65.14,10.12,0.0448,15.2,-77.1
"[(2.5, 0.0)]",1,2.5,0.0,226,26.5,10.6,62.8,0.5759,130.16,10.29,0.0455,30.4,-12.1
"[(2.5, 0.25)]",1,2.5,0.25,226,25.7,11.5,62.8,0.5671,128.16,10.28,0.0455,29.9,-14.1
"[(2.5, 0.5)]",1,2.5,0.5,226,24.3,12.8,62.8,0.546,123.41,10.28,0.0455,28.8,-18.9
"[(2.5, 0.75)]",1,2.5,0.75,226,21.2,15.9,62.8,0.4697,106.16,13.23,0.0585,24.8,-36.1
"[(2.5, 1.0)]",1,2.5,1.0,226,18.6,18.6,62.8,0.4233,95.66,12.98,0.0574,22.3,-46.6
"[(2.5, 1.25)]",1,2.5,1.25,226,15.9,21.2,62.8,0.3901,88.16,12.73,0.0563,20.6,-54.1
"[(2.5, 1.5)]",1,2.5,1.5,226,12.4,24.8,62.8,0.3458,78.16,12.48,0.0552,18.3,-64.1
