direction,tp,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,ann_r
short,1.5,631,40.4,-0.0029,-1.83,33.71,0.0534,10,-0.4
short,2.0,631,34.4,0.0185,11.67,29.51,0.0468,17,2.7
short,2.5,631,30.0,0.0351,22.17,32.03,0.0508,17,5.2
short,3.0,631,27.6,0.0898,56.67,29.8,0.0472,22,13.2
short,3.5,631,25.7,0.1421,89.67,31.42,0.0498,22,20.9
short,4.0,631,24.2,0.1992,125.67,25.92,0.0411,22,29.3
short,4.5,631,22.8,0.2419,152.67,27.52,0.0436,22,35.6
short,5.0,631,21.1,0.2515,158.67,33.02,0.0523,22,37.0
short,5.5,630,18.7,0.2043,128.68,49.09,0.0779,22,30.0
short,6.0,629,16.7,0.1553,97.69,66.09,0.1051,22,22.8
short,6.5,628,15.0,0.1094,68.7,75.08,0.1195,27,16.0
short,7.0,628,14.0,0.1078,67.7,83.83,0.1335,27,15.8
short,7.5,628,12.6,0.056,35.2,114.83,0.1829,46,8.2
short,8.0,628,12.1,0.076,47.7,111.92,0.1782,46,11.1
short,8.5,628,11.5,0.076,47.7,112.42,0.179,46,11.1
short,9.0,628,10.8,0.0696,43.7,113.92,0.1814,48,10.2
short,9.5,628,10.0,0.0401,25.2,116.42,0.1854,70,5.9
short,10.0,628,9.2,0.0027,1.7,141.92,0.226,70,0.4
short,10.5,628,8.9,0.0123,7.7,135.92,0.2164,70,1.8
short,11.0,628,8.6,0.0186,11.7,129.92,0.2069,70,2.7
short,11.5,628,8.3,0.0218,13.7,136.42,0.2172,92,3.2
short,12.0,627,7.8,0.0027,1.71,143.92,0.2295,92,0.4
long,1.5,778,44.3,0.0944,73.47,14.57,0.0187,11,17.1
long,2.0,778,38.9,0.1542,119.97,22.67,0.0291,12,28.0
long,2.5,778,34.7,0.2005,155.97,27.99,0.036,12,36.4
long,3.0,778,31.6,0.2506,194.97,30.99,0.0398,15,45.5
long,3.5,778,28.7,0.2757,214.47,31.32,0.0403,16,50.1
long,4.0,778,26.6,0.3162,245.97,34.33,0.0441,17,57.4
long,4.5,778,25.1,0.3644,283.47,39.92,0.0513,17,66.2
long,5.0,778,23.5,0.3971,308.97,41.09,0.0528,17,72.1
long,5.5,778,20.8,0.3393,263.97,46.34,0.0596,26,61.6
long,6.0,778,18.4,0.2725,211.97,60.55,0.0778,35,49.5
long,6.5,778,17.9,0.3258,253.47,66.6,0.0856,44,59.2
long,7.0,778,16.8,0.3329,258.97,68.4,0.0879,44,60.4
long,7.5,778,16.1,0.3515,273.47,59.9,0.077,44,63.8
long,8.0,778,15.3,0.3624,281.97,60.4,0.0776,44,65.8
long,8.5,778,14.9,0.4023,312.97,55.17,0.0709,44,73.0
long,9.0,778,14.5,0.4383,340.97,52.29,0.0672,44,79.6
long,9.5,778,14.0,0.4569,355.47,49.79,0.064,44,83.0
long,10.0,778,13.4,0.4563,354.97,47.29,0.0608,44,82.8
long,10.5,778,13.2,0.5083,395.47,44.79,0.0576,44,92.3
long,11.0,778,12.6,0.4974,386.97,44.55,0.0573,44,90.3
long,11.5,778,12.2,0.5122,398.47,44.55,0.0573,44,93.0
long,12.0,778,12.1,0.5565,432.97,46.45,0.0597,44,101.0
