mode,subset,tp_r,atr_mult,fvg_buf_mult,decision_delay_hours,start,vol_ratio_min,body_pct_min,close_pct_max,n_signals,n_fvg_signals,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.65,0.25,283,61,,61,29.5,0.4624,28.21,9.26,0.1518,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.65,0.2,231,50,,50,30.0,0.4868,24.34,10.11,0.2023,10
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.65,0.25,214,44,,44,29.5,0.464,20.42,10.21,0.2319,10
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.65,0.2,177,37,,37,29.7,0.4733,17.51,11.15,0.3012,11
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.65,0.25,383,73,,73,28.8,0.4247,31.0,11.21,0.1535,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.65,0.15,129,27,,27,22.2,0.0989,2.67,11.26,0.4172,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.65,0.15,170,37,,37,24.3,0.2038,7.54,11.34,0.3065,8
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.55,0.25,344,75,,75,26.7,0.3203,24.03,11.37,0.1516,10
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.55,0.25,262,56,,56,26.8,0.326,18.26,11.58,0.2067,8
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.65,0.15,247,47,,47,23.4,0.1567,7.37,12.16,0.2587,12
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.55,0.15,150,30,,30,23.3,0.1546,4.64,13.29,0.443,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.45,0.25,293,58,,58,25.9,0.28,16.24,13.59,0.2344,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.45,0.25,385,78,,78,25.6,0.2691,20.99,13.79,0.1768,10
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.65,0.2,319,61,,61,29.5,0.4615,28.15,14.18,0.2325,14
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.45,0.15,166,31,,31,22.6,0.117,3.63,14.3,0.4613,9
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.55,0.15,200,42,,42,23.8,0.1783,7.49,14.38,0.3423,8
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.55,0.15,289,52,,52,23.1,0.1406,7.31,14.55,0.2798,12
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.45,0.25,529,96,,96,25.0,0.2366,22.71,15.04,0.1567,13
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.45,0.15,220,44,,44,22.7,0.124,5.46,16.41,0.3728,10
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.55,0.25,463,90,,90,25.6,0.2643,23.79,17.3,0.1922,13
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.55,0.2,210,46,,46,26.1,0.2913,13.4,17.44,0.3792,15
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.55,0.2,274,61,,61,26.2,0.2984,18.2,17.58,0.2883,13
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.45,0.15,324,55,,55,21.8,0.0776,4.27,17.6,0.3199,12
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.55,0.2,379,73,,73,26.0,0.2878,21.01,18.76,0.2571,18
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.8,0.45,0.2,233,48,,48,25.0,0.2371,11.38,19.46,0.4054,15
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.5,0.45,0.2,302,64,,64,25.0,0.237,15.17,20.62,0.3222,13
standard,fvg,4.0,2.0,0.15,1.0,2022-01-01,1.2,0.45,0.2,429,78,,78,24.4,0.2044,15.95,22.82,0.2925,18
