subset,stop,tp,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,sl_hits,sl_hit_pct
fvg,standard,3.0,,226,35.8,0.4208,95.11,15.29,0.0677,9,145,64.2
fvg,fvg_low,3.0,,226,35.0,0.4746,107.26,12.23,0.0541,11,147,65.0
fvg,fvg_high,3.0,,226,37.2,0.4178,94.42,12.49,0.0553,11,142,62.8
fvg,delivery,3.0,,24,37.5,0.258,6.19,5.64,0.2348,4,15,62.5
fvg,standard,4.0,,226,31.4,0.558,126.11,13.29,0.0588,9,155,68.6
fvg,fvg_low,4.0,,226,30.5,0.5997,135.54,10.53,0.0466,11,157,69.5
fvg,fvg_high,4.0,,226,32.7,0.5595,126.45,11.22,0.0496,11,152,67.3
fvg,delivery,4.0,,24,37.5,0.633,15.19,5.64,0.2348,4,15,62.5
fvg,standard,4.2,,226,30.5,0.5748,129.91,12.89,0.057,9,157,69.5
fvg,fvg_low,4.2,,226,29.6,0.6147,138.92,10.33,0.0457,11,159,70.4
fvg,fvg_high,4.2,,226,31.9,0.5763,130.25,11.22,0.0496,11,154,68.1
fvg,delivery,4.2,,24,37.5,0.708,16.99,5.64,0.2348,4,15,62.5
creator,standard,3.0,,64,29.7,0.1747,11.18,9.15,0.1429,6,45,70.3
creator,fvg_low,3.0,,64,31.2,0.3303,21.14,7.7,0.1203,6,44,68.8
creator,fvg_high,3.0,,64,32.8,0.2393,15.32,10.52,0.1644,6,43,67.2
creator,delivery,3.0,,9,11.1,-0.8325,-7.49,6.21,0.6905,5,8,88.9
creator,standard,4.0,,64,25.0,0.2372,15.18,8.15,0.1273,8,48,75.0
creator,fvg_low,4.0,,64,26.6,0.3991,25.54,7.57,0.1183,8,47,73.4
creator,fvg_high,4.0,,64,28.1,0.3174,20.31,9.52,0.1488,8,46,71.9
creator,delivery,4.0,,9,11.1,-0.7214,-6.49,6.21,0.6905,5,8,88.9
creator,standard,4.2,,64,25.0,0.2872,18.38,8.08,0.1262,8,48,75.0
creator,fvg_low,4.2,,64,26.6,0.4522,28.94,7.57,0.1183,8,47,73.4
creator,fvg_high,4.2,,64,28.1,0.3737,23.91,9.32,0.1456,8,46,71.9
creator,delivery,4.2,,9,11.1,-0.6991,-6.29,6.21,0.6905,5,8,88.9
delivery,standard,3.0,,24,33.3,0.3206,7.69,4.05,0.1688,4,16,66.7
delivery,fvg_low,3.0,,24,29.2,0.1377,3.31,7.24,0.3016,7,17,70.8
delivery,fvg_high,3.0,,24,37.5,0.2852,6.84,5.38,0.2241,4,15,62.5
delivery,delivery,3.0,,24,37.5,0.258,6.19,5.64,0.2348,4,15,62.5
delivery,standard,4.0,,24,33.3,0.6539,15.69,4.05,0.1688,4,16,66.7
delivery,fvg_low,4.0,,24,29.2,0.4294,10.31,7.24,0.3016,7,17,70.8
delivery,fvg_high,4.0,,24,37.5,0.6602,15.84,5.38,0.2241,4,15,62.5
delivery,delivery,4.0,,24,37.5,0.633,15.19,5.64,0.2348,4,15,62.5
delivery,standard,4.2,,24,33.3,0.7206,17.29,4.05,0.1688,4,16,66.7
delivery,fvg_low,4.2,,24,29.2,0.4877,11.71,7.24,0.3016,7,17,70.8
delivery,fvg_high,4.2,,24,37.5,0.7352,17.64,5.38,0.2241,4,15,62.5
delivery,delivery,4.2,,24,37.5,0.708,16.99,5.64,0.2348,4,15,62.5
both,standard,3.0,,9,11.1,-0.5674,-5.11,5.06,0.5618,5,8,88.9
both,fvg_low,3.0,,9,11.1,-0.6,-5.4,4.89,0.5435,5,8,88.9
both,fvg_high,3.0,,9,11.1,-0.8066,-7.26,6.07,0.6749,5,8,88.9
both,delivery,3.0,,9,11.1,-0.8325,-7.49,6.21,0.6905,5,8,88.9
both,standard,4.0,,9,11.1,-0.4563,-4.11,5.06,0.5618,5,8,88.9
both,fvg_low,4.0,,9,11.1,-0.4889,-4.4,4.89,0.5435,5,8,88.9
both,fvg_high,4.0,,9,11.1,-0.6955,-6.26,6.07,0.6749,5,8,88.9
both,delivery,4.0,,9,11.1,-0.7214,-6.49,6.21,0.6905,5,8,88.9
both,standard,4.2,,9,11.1,-0.434,-3.91,5.06,0.5618,5,8,88.9
both,fvg_low,4.2,,9,11.1,-0.4667,-4.2,4.89,0.5435,5,8,88.9
both,fvg_high,4.2,,9,11.1,-0.6732,-6.06,6.07,0.6749,5,8,88.9
both,delivery,4.2,,9,11.1,-0.6991,-6.29,6.21,0.6905,5,8,88.9
