subset,stop_mode,tp,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,sl_hits,sl_hit_pct
all,standard,2.0,,1079,38.6,0.143,154.31,23.87,0.0221,11,663,61.4
all,fvg_stop,2.0,,226,40.3,0.2827,63.89,11.61,0.0514,10,135,59.7
all,ob_stop,2.0,,1071,42.6,0.1,107.05,30.16,0.0282,11,615,57.4
all,standard,3.0,,1078,29.2,0.1552,167.32,42.94,0.0398,24,763,70.8
all,fvg_stop,3.0,,226,35.0,0.4746,107.26,12.23,0.0541,11,147,65.0
all,ob_stop,3.0,,1069,32.9,0.1082,115.7,42.53,0.0398,13,717,67.1
all,standard,4.0,,1078,23.8,0.1784,192.32,45.87,0.0425,28,821,76.2
all,fvg_stop,4.0,,226,30.5,0.5997,135.54,10.53,0.0466,11,157,69.5
all,ob_stop,4.0,,1069,27.1,0.1288,137.72,53.13,0.0497,20,779,72.9
all,standard,4.2,,1078,22.9,0.1779,191.72,44.14,0.0409,28,831,77.1
all,fvg_stop,4.2,,226,29.6,0.6147,138.92,10.33,0.0457,11,159,70.4
all,ob_stop,4.2,,1069,26.2,0.1313,140.31,54.84,0.0513,20,789,73.8
fvg,standard,2.0,,226,42.0,0.2483,56.11,14.29,0.0632,8,131,58.0
fvg,fvg_stop,2.0,,226,40.3,0.2827,63.89,11.61,0.0514,10,135,59.7
fvg,ob_stop,2.0,,222,51.4,0.1654,36.73,20.78,0.0936,7,108,48.6
fvg,standard,3.0,,226,35.8,0.4208,95.11,15.29,0.0677,9,145,64.2
fvg,fvg_stop,3.0,,226,35.0,0.4746,107.26,12.23,0.0541,11,147,65.0
fvg,ob_stop,3.0,,222,43.7,0.3137,69.64,20.51,0.0924,7,125,56.3
fvg,standard,4.0,,226,31.4,0.558,126.11,13.29,0.0588,9,155,68.6
fvg,fvg_stop,4.0,,226,30.5,0.5997,135.54,10.53,0.0466,11,157,69.5
fvg,ob_stop,4.0,,222,38.7,0.4646,103.15,17.51,0.0789,7,136,61.3
fvg,standard,4.2,,226,30.5,0.5748,129.91,12.89,0.057,9,157,69.5
fvg,fvg_stop,4.2,,226,29.6,0.6147,138.92,10.33,0.0457,11,159,70.4
fvg,ob_stop,4.2,,222,37.8,0.4852,107.71,17.04,0.0768,7,138,62.2
ob,standard,2.0,,1071,38.5,0.1404,150.41,23.87,0.0223,11,659,61.5
ob,fvg_stop,2.0,,222,39.6,0.264,58.6,11.61,0.0523,10,134,60.4
ob,ob_stop,2.0,,1071,42.6,0.1,107.05,30.16,0.0282,11,615,57.4
ob,standard,3.0,,1070,29.1,0.149,159.42,42.94,0.0401,24,759,70.9
ob,fvg_stop,3.0,,222,34.2,0.4458,98.97,12.23,0.0551,11,146,65.8
ob,ob_stop,3.0,,1069,32.9,0.1082,115.7,42.53,0.0398,13,717,67.1
ob,standard,4.0,,1070,23.6,0.1686,180.42,45.87,0.0429,28,817,76.4
ob,fvg_stop,4.0,,222,29.7,0.5597,124.25,10.53,0.0474,11,156,70.3
ob,ob_stop,4.0,,1069,27.1,0.1288,137.72,53.13,0.0497,20,779,72.9
ob,standard,4.2,,1070,22.7,0.1673,179.02,44.14,0.0412,28,827,77.3
ob,fvg_stop,4.2,,222,28.8,0.5722,127.03,10.33,0.0465,11,158,71.2
ob,ob_stop,4.2,,1069,26.2,0.1313,140.31,54.84,0.0513,20,789,73.8
conf,standard,2.0,,222,41.4,0.2304,51.15,14.29,0.0644,8,130,58.6
conf,fvg_stop,2.0,,222,39.6,0.264,58.6,11.61,0.0523,10,134,60.4
conf,ob_stop,2.0,,222,51.4,0.1654,36.73,20.78,0.0936,7,108,48.6
conf,standard,3.0,,222,35.1,0.3926,87.15,15.29,0.0689,9,144,64.9
conf,fvg_stop,3.0,,222,34.2,0.4458,98.97,12.23,0.0551,11,146,65.8
conf,ob_stop,3.0,,222,43.7,0.3137,69.64,20.51,0.0924,7,125,56.3
conf,standard,4.0,,222,30.6,0.5187,115.15,13.29,0.0599,9,154,69.4
conf,fvg_stop,4.0,,222,29.7,0.5597,124.25,10.53,0.0474,11,156,70.3
conf,ob_stop,4.0,,222,38.7,0.4646,103.15,17.51,0.0789,7,136,61.3
conf,standard,4.2,,222,29.7,0.5331,118.35,12.89,0.0581,9,156,70.3
conf,fvg_stop,4.2,,222,28.8,0.5722,127.03,10.33,0.0465,11,158,71.2
conf,ob_stop,4.2,,222,37.8,0.4852,107.71,17.04,0.0768,7,138,62.2
