date,balance,daily_pnl
2022-01-01,10000.0,0.0
2022-01-05,8843.89,-1156.11
2022-01-06,8388.78,-455.11
2022-01-07,9487.46,1098.68
2022-01-08,9990.88,503.42
2022-01-10,10309.64,318.76
2022-01-17,10099.93,-209.71
2022-01-19,9208.44,-891.49
2022-01-20,9676.61,468.17
2022-01-21,13676.42,3999.81
2022-01-22,14760.07,1083.65
2022-01-24,14034.75,-725.32
2022-01-25,14338.28,303.53
2022-01-28,13856.34,-481.94
2022-01-30,14150.9,294.56
2022-01-31,13846.53,-304.37
2022-02-01,13658.55,-187.98
2022-02-02,13248.52,-410.03
2022-02-04,12470.24,-778.28
2022-02-05,10243.96,-2226.28
2022-02-06,10468.48,224.52
2022-02-07,10054.0,-414.48
2022-02-09,10044.79,-9.21
2022-02-10,9388.06,-656.73
2022-02-12,9121.16,-266.9
2022-02-14,9317.37,196.21
2022-02-15,8617.41,-699.96
2022-02-16,8792.79,175.38
2022-02-17,8213.1,-579.69
2022-02-18,8302.07,88.97
2022-02-19,8194.2,-107.87
2022-02-20,7960.02,-234.18
2022-02-21,7989.23,29.21
2022-02-22,8593.72,604.49
2022-02-23,8422.96,-170.76
2022-02-24,8542.72,119.76
2022-02-25,8457.42,-85.3
2022-02-28,7906.04,-551.38
2022-03-01,7806.05,-99.99
2022-03-02,7437.1,-368.95
2022-03-03,7287.81,-149.29
2022-03-05,7209.69,-78.12
2022-03-06,7292.12,82.43
2022-03-07,7288.01,-4.11
2022-03-08,7210.59,-77.42
2022-03-09,6877.64,-332.95
2022-03-12,6588.36,-289.28
2022-03-13,6799.33,210.97
2022-03-14,6385.76,-413.57
2022-03-16,6129.13,-256.63
2022-03-17,5687.65,-441.48
2022-03-18,5526.82,-160.83
2022-03-19,5127.92,-398.9
2022-03-21,4778.22,-349.7
2022-03-22,4431.33,-346.89
2022-03-23,4240.67,-190.66
2022-03-24,3870.2,-370.47
2022-03-25,3944.53,74.33
2022-03-26,3690.76,-253.77
2022-03-27,3553.62,-137.14
2022-03-28,3103.56,-450.06
2022-03-29,3031.58,-71.98
2022-03-30,3096.99,65.41
2022-04-01,3058.71,-38.28
2022-04-03,3118.5,59.79
2022-04-04,3060.54,-57.96
2022-04-06,2973.14,-87.4
2022-04-07,2927.38,-45.76
2022-04-08,2915.75,-11.63
2022-04-11,2886.55,-29.2
2022-04-12,2773.98,-112.57
2022-04-13,2732.97,-41.01
2022-04-14,2616.66,-116.31
2022-04-15,2587.66,-29.0
2022-04-17,2534.73,-52.93
2022-04-18,2887.32,352.59
2022-04-20,2751.07,-136.25
2022-04-21,2640.18,-110.89
2022-04-22,3027.81,387.63
2022-04-25,3872.23,844.42
2022-04-26,3944.98,72.75
2022-04-27,4031.58,86.6
2022-04-28,3990.79,-40.79
2022-04-29,3821.98,-168.81
2022-04-30,4098.6,276.62
2022-05-01,4145.6,47.0
2022-05-02,4016.87,-128.73
2022-05-03,3849.18,-167.69
2022-05-04,3892.43,43.25
2022-05-05,4272.29,379.86
2022-05-06,4326.79,54.5
2022-05-08,4914.85,588.06
2022-05-09,5354.13,439.28
2022-05-10,5092.31,-261.82
2022-05-11,5066.23,-26.08
2022-05-13,4931.77,-134.46
2022-05-14,5137.68,205.91
2022-05-19,5082.63,-55.05
2022-05-21,4980.87,-101.76
2022-05-24,4873.74,-107.13
2022-05-26,5393.85,520.11
2022-05-27,5881.13,487.28
2022-05-28,5817.99,-63.14
2022-05-30,5157.56,-660.43
2022-05-31,4699.66,-457.9
2022-06-01,4715.05,15.39
2022-06-02,4584.56,-130.49
2022-06-03,4679.61,95.05
2022-06-04,4603.25,-76.36
2022-06-06,4412.12,-191.13
2022-06-07,4147.67,-264.45
2022-06-11,5027.12,879.45
2022-06-12,4715.16,-311.96
2022-06-13,7189.92,2474.76
2022-06-14,7181.54,-8.38
2022-06-15,6879.92,-301.62
2022-06-16,6946.63,66.71
2022-06-18,7874.4,927.77
2022-06-22,8043.51,169.11
2022-06-24,7752.33,-291.18
2022-06-26,7810.62,58.29
2022-06-27,7612.85,-197.77
2022-06-29,7530.89,-81.96
2022-06-30,9374.22,1843.33
2022-07-01,8896.68,-477.54
2022-07-04,8729.13,-167.55
2022-07-05,7992.97,-736.16
2022-07-07,7653.47,-339.5
2022-07-08,7644.61,-8.86
2022-07-10,7808.45,163.84
2022-07-12,7884.3,75.85
2022-07-13,8221.11,336.81
2022-07-15,8380.48,159.37
2022-07-16,8191.69,-188.79
