ym,stream,n_trades,total_r,total_pnl
2022-01,S1_BTCUSDT,3,0.49233899999999997,128.07
2022-01,S1_ETHUSDT,4,1.309622,216.60000000000002
2022-01,S1_LINKUSDT,5,0.29567999999999994,54.19999999999999
2022-01,S1_SOLUSDT,4,-0.46978999999999993,-27.430000000000064
2022-01,S1_XRPUSDT,7,-1.841175,-966.9300000000001
2022-01,S2,7,9.468362,2725.2200000000003
2022-01,S3,14,21.873526000000002,1926.51
2022-01,S4,1,-1.02289,-209.71
2022-02,S1_BTCUSDT,10,-5.106007,-751.79
2022-02,S1_ETHUSDT,9,-0.42415100000000006,-47.239999999999995
2022-02,S1_LINKUSDT,7,-5.371047000000001,-2029.42
2022-02,S1_XRPUSDT,3,0.4555159999999999,-60.44
2022-02,S2,6,-5.797035,-1871.8999999999999
2022-02,S3,10,-4.080639000000001,-429.73
2022-02,S4,4,-4.037301,-749.97
2022-03,S1_BTCUSDT,9,-4.23048,-311.21
2022-03,S1_ETHUSDT,9,-7.777645,-526.29
2022-03,S1_LINKUSDT,12,-7.328981000000001,-1088.38
2022-03,S1_SOLUSDT,12,-3.6678250000000006,-541.0999999999999
2022-03,S1_XRPUSDT,6,-3.61322,-747.2099999999999
2022-03,S2,5,-3.957239,-681.28
2022-03,S3,10,-10.118222,-630.32
2022-03,S4,2,-2.022084,-283.26
2022-04,S1_BTCUSDT,7,-0.05995600000000001,5.219999999999999
2022-04,S1_ETHUSDT,3,2.292066,87.00999999999999
2022-04,S1_LINKUSDT,8,-4.764995,-426.12
2022-04,S1_SOLUSDT,1,5.493131,456.13
2022-04,S1_XRPUSDT,2,-2.048133,-329.46000000000004
2022-04,S2,9,17.601314000000002,1744.76
2022-04,S3,21,-3.2932960000000007,-180.02
2022-04,S4,6,-6.08335,-355.90999999999997
2022-05,S1_BTCUSDT,5,-3.374905,-257.61
2022-05,S1_ETHUSDT,5,-1.508183,-99.24
2022-05,S1_LINKUSDT,8,-2.9512720000000003,-455.07
2022-05,S1_SOLUSDT,2,-0.25877799999999995,-33.019999999999996
2022-05,S1_XRPUSDT,3,-1.493455,-330.82
2022-05,S2,9,12.583018,1635.87
2022-05,S3,14,9.872129000000001,394.5200000000001
2022-05,S4,3,-3.044841,-253.57
2022-06,S1_BTCUSDT,5,-5.258739,-446.76
2022-06,S1_ETHUSDT,6,-4.578579,-362.42
2022-06,S1_LINKUSDT,4,-4.22409,-547.3199999999999
2022-06,S1_SOLUSDT,8,0.49238899999999974,174.14000000000004
2022-06,S1_XRPUSDT,8,0.8121889999999999,112.35
2022-06,S2,9,23.371643,4514.2
2022-06,S3,24,29.791425,1390.13
2022-06,S4,1,-1.007948,-159.76
2022-07,S1_BTCUSDT,9,-4.307821000000001,-480.19
2022-07,S1_ETHUSDT,9,-0.5379720000000002,-127.35999999999999
2022-07,S1_LINKUSDT,6,-0.8944120000000001,-111.27999999999999
2022-07,S1_SOLUSDT,9,-4.552032,-728.02
2022-07,S1_XRPUSDT,9,-4.012728,-934.8399999999999
2022-07,S2,18,-13.589245,-3334.46
2022-07,S3,10,1.907873,269.46
2022-07,S4,2,-0.01729000000000014,52.83
2022-08,S1_BTCUSDT,7,-4.469117000000001,-229.11
2022-08,S1_ETHUSDT,6,9.190463,317.41
2022-08,S1_LINKUSDT,9,-2.838128,-276.34
2022-08,S1_SOLUSDT,8,-8.412236,-732.64
2022-08,S1_XRPUSDT,2,1.507448,199.0
2022-08,S2,1,-0.818998,-99.81
2022-08,S3,14,3.8056400000000004,81.53
2022-08,S4,3,-3.041134,-174.63
2022-09,S1_BTCUSDT,4,-4.164189,-146.03
2022-09,S1_ETHUSDT,4,1.3178930000000002,32.730000000000004
2022-09,S1_LINKUSDT,10,-4.989695,-379.7
2022-09,S1_SOLUSDT,7,-1.970926,-134.87
2022-09,S1_XRPUSDT,8,-4.8967030000000005,-445.61
2022-09,S2,2,-1.5405229999999999,-158.7
2022-09,S3,10,1.897225,21.859999999999996
2022-09,S4,5,-1.058742,52.19999999999999
2022-10,S1_BTCUSDT,5,-0.2285069999999999,-4.0000000000000036
2022-10,S1_ETHUSDT,2,-0.25158900000000006,-3.879999999999999
2022-10,S1_LINKUSDT,5,-1.579994,-78.96000000000001
2022-10,S1_SOLUSDT,6,-2.57061,-131.51999999999998
2022-10,S1_XRPUSDT,5,-1.5381049999999998,-117.97999999999999
2022-10,S2,4,6.951987,469.63
2022-10,S3,7,-7.111179,-143.08
2022-10,S4,4,-2.042133,-79.88
2022-11,S1_BTCUSDT,5,-1.5338919999999998,-64.08
2022-11,S1_ETHUSDT,1,0.791083,24.13
2022-11,S1_LINKUSDT,9,-3.91664,-182.04000000000002
2022-11,S1_SOLUSDT,8,-4.659249,-199.29
2022-11,S1_XRPUSDT,4,-4.169338,-268.94
2022-11,S2,5,-5.216806,-358.63
2022-11,S3,17,-11.215966,-191.82
2022-11,S4,6,14.377927999999999,530.26
2022-12,S1_BTCUSDT,3,0.3330630000000001,3.8599999999999994
2022-12,S1_LINKUSDT,5,0.24649799999999988,5.669999999999998
2022-12,S1_SOLUSDT,6,-4.550377,-127.35
2022-12,S1_XRPUSDT,6,-0.766107,-29.849999999999994
2022-12,S2,1,4.237702,135.26
2022-12,S3,8,-2.15756,-24.899999999999995
2022-12,S4,4,-0.044184,9.089999999999996
2023-01,S1_BTCUSDT,8,-5.7416789999999995,-100.93
2023-01,S1_ETHUSDT,2,1.49608,22.75
2023-01,S1_LINKUSDT,11,-4.184889,-139.21
2023-01,S1_SOLUSDT,7,1.885951,53.25
2023-01,S2,1,-0.570551,-23.33
2023-01,S3,2,-2.022315,-30.66
2023-01,S4,3,17.41533,360.21
2023-02,S1_BTCUSDT,5,-3.4761670000000002,-65.55
2023-02,S1_ETHUSDT,8,-4.985567,-78.83
2023-02,S1_LINKUSDT,1,0.792151,26.03
2023-02,S1_SOLUSDT,5,-0.21804200000000007,2.1399999999999935
2023-02,S2,1,-0.68327,-26.01
2023-02,S3,7,4.908823999999999,59.63
2023-02,S4,9,-5.121406,-117.83
2023-03,S1_BTCUSDT,8,-2.8546570000000004,-38.45
2023-03,S1_ETHUSDT,4,-0.521462,-5.380000000000001
2023-03,S1_LINKUSDT,8,1.2629960000000002,14.199999999999996
2023-03,S1_SOLUSDT,8,-1.181786,-36.849999999999994
2023-03,S1_XRPUSDT,1,0.796855,35.42
2023-03,S2,1,-0.548223,-19.73
2023-03,S3,19,-1.2589679999999999,-0.35999999999999766
2023-03,S4,5,15.42917,285.87
2023-04,S1_BTCUSDT,7,1.5590190000000002,22.58
2023-04,S1_ETHUSDT,10,-3.224236,-49.22
2023-04,S1_LINKUSDT,7,-1.845495,-53.57000000000001
2023-04,S1_SOLUSDT,8,0.4782409999999997,10.179999999999993
2023-04,S2,2,-1.537382,-60.94
2023-04,S3,5,-5.061313,-63.08
2023-04,S4,1,0.983247,21.68
2023-05,S1_ETHUSDT,4,-0.7601859999999999,-11.72
2023-05,S1_LINKUSDT,7,-1.962758,-55.39
2023-05,S1_SOLUSDT,3,0.5521539999999998,14.510000000000002
2023-05,S2,1,4.235613,137.78
2023-05,S3,10,-10.159756999999999,-101.66
2023-05,S4,10,-10.149131,-204.66
2023-06,S1_BTCUSDT,7,1.7099629999999997,18.91
2023-06,S1_ETHUSDT,1,0.779949,10.12
2023-06,S1_LINKUSDT,6,-4.448123000000001,-110.96
2023-06,S1_SOLUSDT,8,0.8097690000000001,22.79
2023-06,S2,3,2.584148,103.19
2023-06,S3,18,5.730435,48.7
2023-06,S4,4,-2.0481700000000003,-39.61
2023-07,S1_BTCUSDT,1,0.762003,19.15
2023-07,S1_ETHUSDT,3,-2.951036,-42.67
2023-07,S1_LINKUSDT,10,-3.400573,-156.29
2023-07,S1_SOLUSDT,10,-1.395762,-35.98
2023-07,S1_XRPUSDT,1,0.792163,60.24
2023-07,S2,2,-1.325626,-59.09
2023-07,S3,3,-3.0474959999999998,-50.34
2023-07,S4,11,93.202439,1418.82
2023-08,S1_BTCUSDT,1,0.787998,29.73
2023-08,S1_ETHUSDT,5,-3.3587320000000003,-105.6
2023-08,S1_LINKUSDT,7,-0.04749900000000018,-28.20999999999998
2023-08,S2,4,6.626181000000001,399.56
2023-08,S3,12,23.734282999999998,486.81
2023-08,S4,8,-6.239053999999999,-249.83999999999997
2023-09,S1_BTCUSDT,5,-1.672317,-77.48
2023-09,S1_ETHUSDT,1,5.47002,173.24
2023-09,S1_LINKUSDT,9,-8.189196,-626.63
2023-09,S1_SOLUSDT,5,0.12531199999999987,-4.200000000000003
2023-09,S2,5,0.026960000000000317,26.729999999999976
