trade_id,stream,sym,side,entry_ts,exit_ts,duration_h,entry_price,stop_price,tp_price,pnl_r,reason,bars_5m,risk_pct,balance_before,dollar_risk,dollar_pnl,balance_after
1,S2,SOLUSDT,-1,2022-01-04 19:00:00+00:00,2022-01-05 10:10:00+00:00,15.17,167.6,171.27380264,150.95118377,-0.950659,SL,183,3.3981,10000.0,339.81,-323.04,9676.96
2,S1_BTCUSDT,BTCUSDT,1,2022-01-05 20:00:00+00:00,2022-01-05 20:05:00+00:00,0.08,44671.93,44128.22,51740.16,-1.024648,SL,2,1.5086,9676.96,145.99,-149.58,9527.37
3,S1_SOLUSDT,SOLUSDT,1,2022-01-05 20:00:00+00:00,2022-01-05 20:05:00+00:00,0.08,158.69,157.47,174.55,-1.039022,SL,2,2.7132,9676.96,262.56,-272.8,9254.57
4,S1_XRPUSDT,XRPUSDT,1,2022-01-05 20:00:00+00:00,2022-01-05 20:05:00+00:00,0.08,0.7978,0.79,0.8992,-1.030685,SL,2,4.1176,9676.96,398.46,-410.69,8843.89
5,S3,ETHUSDT,-1,2022-01-05 20:00:00+00:00,2022-01-07 03:30:00+00:00,31.5,3653.54,3730.64795114,3268.00024429,4.985785,TP,379,1.0606,9676.96,102.63,511.71,8900.49
6,S3,ETHUSDT,-1,2022-01-05 21:00:00+00:00,2022-01-07 04:15:00+00:00,31.25,3592.31,3675.59024035,3175.90879827,4.987059,TP,376,1.0606,8843.89,93.8,467.78,9368.27
7,S3,SOLUSDT,-1,2022-01-05 22:00:00+00:00,2022-01-20 23:50:00+00:00,361.83,153.4,158.65911261,127.10443694,4.991249,TP,4343,1.0606,8843.89,93.8,468.17,9676.6
8,S1_ETHUSDT,ETHUSDT,1,2022-01-06 00:00:00+00:00,2022-01-06 08:30:00+00:00,8.5,3537.81,3405.0,5264.34,-1.007991,SL,103,1.2411,8843.89,109.76,-110.64,8733.25
9,S3,ETHUSDT,-1,2022-01-06 10:00:00+00:00,2022-01-06 14:35:00+00:00,4.58,3307.5,3420.80991809,2740.95040955,-1.008757,SL,56,1.0606,8733.25,92.62,-93.44,8639.81
10,S1_LINKUSDT,LINKUSDT,-1,2022-01-06 20:00:00+00:00,2022-01-06 20:05:00+00:00,0.08,25.756,25.961,23.091,-1.037692,SL,2,2.8,8639.81,241.91,-251.03,8388.78
11,S1_XRPUSDT,XRPUSDT,1,2022-01-07 04:00:00+00:00,2022-01-07 04:15:00+00:00,0.25,0.7448,0.7377,0.8371,-1.03147,SL,4,4.1176,8900.49,366.49,-378.02,8990.25
12,S1_XRPUSDT,XRPUSDT,1,2022-01-07 16:00:00+00:00,2022-01-07 16:30:00+00:00,0.5,0.7479,0.7281,1.0053,0.788668,BE,7,4.1176,8990.25,370.18,291.95,9282.2
13,S1_LINKUSDT,LINKUSDT,-1,2022-01-07 20:00:00+00:00,2022-01-07 22:55:00+00:00,2.92,26.551,27.328,16.45,0.789749,BE,36,2.8,9282.2,259.9,205.26,9487.45
14,S1_SOLUSDT,SOLUSDT,1,2022-01-08 20:00:00+00:00,2022-01-08 20:35:00+00:00,0.58,135.37,132.89,167.61,0.783625,BE,8,2.7132,9487.45,257.41,201.72,9689.17
15,S1_XRPUSDT,XRPUSDT,1,2022-01-08 20:00:00+00:00,2022-01-08 20:35:00+00:00,0.58,0.7299,0.722,0.8326,0.772282,BE,8,4.1176,9487.45,390.66,301.7,9990.87
16,S1_LINKUSDT,LINKUSDT,-1,2022-01-09 20:00:00+00:00,2022-01-10 16:15:00+00:00,20.25,27.862,28.691,17.085,0.789917,BE,244,2.8,9990.87,279.74,220.97,10211.84
17,S1_ETHUSDT,ETHUSDT,1,2022-01-10 16:00:00+00:00,2022-01-10 16:15:00+00:00,0.25,3004.19,2924.78,4036.52,0.788651,BE,4,1.2411,9990.87,124.0,97.79,10309.63
18,S4,BTCUSDT,1,2022-01-17 06:00:00+00:00,2022-01-17 17:00:00+00:00,11.0,42649.7,42090.73628232,53549.49249477,-1.02289,SL,133,1.9886,10309.63,205.02,-209.71,10099.92
19,S2,LINKUSDT,-1,2022-01-19 07:00:00+00:00,2022-01-19 12:00:00+00:00,5.0,21.864,22.17445629,18.66481023,-0.421143,SL,61,3.3981,10099.92,343.21,-144.54,9511.97
20,S1_XRPUSDT,XRPUSDT,1,2022-01-19 08:00:00+00:00,2022-01-19 08:30:00+00:00,0.5,0.7283,0.725,0.7712,-1.066209,SL,7,4.1176,10099.92,415.87,-443.41,9656.51
21,S2,SOLUSDT,-1,2022-01-19 08:00:00+00:00,2022-01-19 14:45:00+00:00,6.75,134.42,137.94209366,117.30135925,-0.884433,SL,82,3.3981,10099.92,343.21,-303.54,9208.43
22,S2,BTCUSDT,-1,2022-01-20 22:00:00+00:00,2022-01-21 12:35:00+00:00,14.58,41319.67,42789.21313376,37737.59242037,4.235293,TP,176,3.3981,9208.43,312.91,1325.27,11023.39
23,S2,ETHUSDT,-1,2022-01-20 22:00:00+00:00,2022-01-21 12:35:00+00:00,14.58,3078.74,3202.02593099,2753.70391075,4.237923,TP,176,3.3981,9208.43,312.91,1326.1,12349.49
24,S2,SOLUSDT,-1,2022-01-20 22:00:00+00:00,2022-01-21 21:35:00+00:00,23.58,132.12,138.6236769,114.34497585,4.240523,TP,284,3.3981,9208.43,312.91,1326.91,13676.4
25,S3,BTCUSDT,-1,2022-01-21 02:00:00+00:00,2022-01-22 10:05:00+00:00,32.08,39750.68,40824.49687518,34381.5956241,4.988895,TP,386,1.0606,9676.6,102.63,512.01,14700.68
26,S3,ETHUSDT,-1,2022-01-21 02:00:00+00:00,2022-01-22 09:45:00+00:00,31.75,2898.74,3000.93487919,2387.76560406,4.991491,TP,382,1.0606,9676.6,102.63,512.28,14188.67
27,S3,SOLUSDT,-1,2022-01-21 02:00:00+00:00,2022-01-21 02:20:00+00:00,0.33,121.43,126.81998763,94.48006187,-1.006759,SL,5,1.0606,9676.6,102.63,-103.32,9573.28
28,S3,LINKUSDT,-1,2022-01-21 02:00:00+00:00,2022-01-22 10:05:00+00:00,32.08,19.448,20.45237919,14.42610406,4.994191,TP,386,1.0606,9676.6,102.63,512.55,15213.24
29,S3,DOGEUSDT,-1,2022-01-21 02:00:00+00:00,2022-02-07 00:40:00+00:00,406.67,0.15049,0.15678687,0.11900567,-1.00717,SL,4881,1.0606,9676.6,102.63,-103.37,10365.09
30,S3,XRPUSDT,-1,2022-01-21 02:00:00+00:00,2022-01-21 02:25:00+00:00,0.42,0.6985,0.71912868,0.59535662,-1.010158,SL,6,1.0606,9676.6,102.63,-103.67,9469.61
31,S1_BTCUSDT,BTCUSDT,1,2022-01-21 04:00:00+00:00,2022-01-21 04:00:00+00:00,0.0,38447.92,38200.0,41670.88,0.753475,BE,1,1.5086,9469.61,142.86,107.64,9577.25
32,S1_ETHUSDT,ETHUSDT,1,2022-01-21 04:00:00+00:00,2022-01-21 04:35:00+00:00,0.58,2836.04,2806.5,3220.06,0.771198,BE,8,1.2411,9469.61,117.53,90.64,9958.0
33,S1_SOLUSDT,SOLUSDT,1,2022-01-21 04:00:00+00:00,2022-01-21 12:05:00+00:00,8.08,124.18,120.94,166.3,-1.011498,SL,98,2.7132,9469.61,256.93,-259.88,9698.12
34,S1_XRPUSDT,XRPUSDT,1,2022-01-21 04:00:00+00:00,2022-01-21 04:00:00+00:00,0.0,0.6901,0.6864,0.7382,0.744046,BE,1,4.1176,9469.61,389.92,290.12,9867.36
35,S3,BTCUSDT,-1,2022-01-21 04:00:00+00:00,2022-02-04 15:20:00+00:00,347.33,38447.92,39787.19250972,31751.55745139,-1.008612,SL,4169,1.0606,9469.61,100.43,-101.3,13275.6
36,S3,LINKUSDT,-1,2022-01-22 10:00:00+00:00,2022-01-22 12:50:00+00:00,2.83,14.856,16.24745596,7.89872019,-1.003203,SL,35,1.0606,14188.67,150.49,-150.97,15062.27
37,S3,DOGEUSDT,-1,2022-01-22 10:00:00+00:00,2022-01-22 13:15:00+00:00,3.25,0.12611,0.13567046,0.07830772,-1.003957,SL,40,1.0606,14188.67,150.49,-151.08,14911.19
38,S3,XRPUSDT,-1,2022-01-22 10:00:00+00:00,2022-01-22 13:15:00+00:00,3.25,0.5732,0.61263948,0.37600261,-1.00436,SL,40,1.0606,14188.67,150.49,-151.14,14760.05
39,S1_LINKUSDT,LINKUSDT,1,2022-01-24 04:00:00+00:00,2022-01-24 08:45:00+00:00,4.75,16.017,15.146,27.34,-1.005517,SL,58,2.8,14760.05,413.28,-415.56,14653.31
40,S1_BTCUSDT,BTCUSDT,1,2022-01-24 08:00:00+00:00,2022-01-24 08:30:00+00:00,0.5,34875.54,34588.8,38603.16,0.763512,BE,7,1.5086,14760.05,222.67,170.01,15068.87
