sl_mult,impl_r,n,win_pct,sl_pct,avg_r,total_r,max_dd,dd_per_trade,ann_r
0.25,40.59,66,4.5,95.5,0.8499,56.09,34.57,0.5238,13.1
0.5,20.3,66,7.6,92.4,0.6077,40.11,31.23,0.4732,9.4
0.75,13.53,66,7.6,92.4,0.0971,6.41,30.82,0.467,1.5
1.0,10.15,66,10.6,89.4,0.1857,12.26,18.92,0.2867,2.9
1.25,8.12,66,13.6,86.4,0.2494,16.46,17.44,0.2642,3.8
1.5,6.77,66,15.2,84.8,0.1833,12.1,17.37,0.2631,2.8
1.75,5.8,66,15.2,84.8,0.0359,2.37,17.31,0.2623,0.6
2.0,5.07,66,15.2,84.8,-0.0746,-4.93,17.27,0.2617,-1.1
2.5,4.06,66,18.2,81.8,-0.0774,-5.11,17.22,0.2609,-1.2
3.0,3.38,66,21.2,78.8,-0.0572,-3.77,17.18,0.2603,-0.9
4.0,2.54,66,25.8,74.2,-0.0796,-5.25,17.14,0.2597,-1.2
