sym,variant,n,total_R,win_pct,maxDD,mcl,ann_R
ETHUSDT,baseline,122,84.02,13.1,37.68,37,19.6
ETHUSDT,L1,122,97.02,32.0,14.67,12,22.6
ETHUSDT,L2_ema50,102,91.34,14.7,30.53,30,21.3
ETHUSDT,L2_ema100,102,91.34,14.7,30.53,30,21.3
ETHUSDT,L2_ema200,97,96.4,15.5,29.52,29,22.5
ETHUSDT,L1L2_ema50,102,105.34,32.4,11.52,10,24.6
ETHUSDT,L1L2_ema100,102,105.34,32.4,11.52,10,24.6
ETHUSDT,L1L2_ema200,97,106.4,32.0,12.51,10,24.8
SOLUSDT,baseline,132,100.54,13.6,30.5,26,23.4
SOLUSDT,L1,132,85.54,28.8,18.5,12,19.9
SOLUSDT,L2_ema50,115,104.72,14.8,22.42,22,24.4
SOLUSDT,L2_ema100,114,92.73,14.0,34.41,34,21.6
SOLUSDT,L2_ema200,108,98.77,14.8,31.38,31,23.0
SOLUSDT,L1L2_ema50,115,81.72,28.7,14.21,10,19.0
SOLUSDT,L1L2_ema100,114,69.73,28.1,24.41,10,16.3
SOLUSDT,L1L2_ema200,108,75.77,29.6,21.38,10,17.7
LINKUSDT,baseline,126,41.56,10.3,26.28,26,9.7
LINKUSDT,L1,126,92.56,34.9,12.23,10,21.6
LINKUSDT,L2_ema50,116,25.64,9.5,28.34,28,6.0
LINKUSDT,L2_ema100,114,14.67,8.8,28.34,28,3.4
LINKUSDT,L2_ema200,109,19.72,9.2,26.32,26,4.6
LINKUSDT,L1L2_ema50,116,72.64,34.5,13.22,10,16.9
LINKUSDT,L1L2_ema100,114,61.67,34.2,12.21,9,14.4
LINKUSDT,L1L2_ema200,109,66.72,35.8,11.22,9,15.6
BTCUSDT,baseline,175,172.17,15.4,31.8,31,40.1
BTCUSDT,L1,175,152.17,28.6,21.8,13,35.5
BTCUSDT,L2_ema50,155,192.55,17.4,25.67,25,44.9
BTCUSDT,L2_ema100,153,181.58,17.0,29.78,29,42.3
BTCUSDT,L2_ema200,153,181.56,17.0,29.78,29,42.3
BTCUSDT,L1L2_ema50,155,166.55,30.3,17.67,17,38.8
BTCUSDT,L1L2_ema100,153,155.58,30.1,21.83,17,36.3
BTCUSDT,L1L2_ema200,153,155.56,30.1,21.83,17,36.3
PAXGUSDT,baseline,57,82.2,19.3,12.93,12,19.2
PAXGUSDT,L1,57,92.2,47.4,7.0,5,21.5
PAXGUSDT,L2_ema50,55,71.26,18.2,19.24,19,16.6
PAXGUSDT,L2_ema100,55,71.26,18.2,19.24,19,16.6
PAXGUSDT,L2_ema200,55,71.26,18.2,19.24,19,16.6
PAXGUSDT,L1L2_ema50,55,81.26,47.3,7.0,5,18.9
PAXGUSDT,L1L2_ema100,55,81.26,47.3,7.0,5,18.9
PAXGUSDT,L1L2_ema200,55,81.26,47.3,7.0,5,18.9
XRPUSDT,baseline,113,-10.46,7.1,32.41,33,-2.4
XRPUSDT,L1,113,-30.46,17.7,40.71,15,-7.1
XRPUSDT,L2_ema50,97,5.72,8.2,27.35,28,1.3
XRPUSDT,L2_ema100,96,6.73,8.3,27.35,28,1.6
XRPUSDT,L2_ema200,95,7.75,8.4,27.35,28,1.8
XRPUSDT,L1L2_ema50,97,-18.28,18.6,32.6,11,-4.3
XRPUSDT,L1L2_ema100,96,-17.27,18.8,32.6,11,-4.0
XRPUSDT,L1L2_ema200,95,-16.25,18.9,32.6,11,-3.8
DOGEUSDT,baseline,139,41.52,10.1,21.56,20,9.7
DOGEUSDT,L1,139,17.52,25.2,40.79,15,4.1
DOGEUSDT,L2_ema50,117,50.71,11.1,26.49,20,11.8
DOGEUSDT,L2_ema100,114,40.75,10.5,25.48,19,9.5
DOGEUSDT,L2_ema200,109,45.82,11.0,22.43,18,10.7
