label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,max_consec_loss,mult,tp,sweep,vol_r_min,body_min
×0.75|tp2.0,311,37.0,0.0736,22.88,30.19,0.0971,9,0.75,2.0,atr_mult,,
×0.75|tp3.0,311,27.0,0.0446,13.88,55.85,0.1796,15,0.75,3.0,atr_mult,,
×1.0|tp2.0,311,36.7,0.0729,22.66,37.9,0.1219,10,1.0,2.0,atr_mult,,
×1.0|tp3.0,311,29.9,0.1693,52.66,36.93,0.1188,11,1.0,3.0,atr_mult,,
×1.25|tp2.0,311,38.3,0.1264,39.33,23.45,0.0754,11,1.25,2.0,atr_mult,,
×1.25|tp3.0,311,31.2,0.2261,70.33,22.27,0.0716,12,1.25,3.0,atr_mult,,
×1.5|tp2.0,311,38.6,0.1397,43.44,17.79,0.0572,9,1.5,2.0,atr_mult,,
×1.5|tp3.0,311,31.2,0.2297,71.44,22.06,0.0709,17,1.5,3.0,atr_mult,,
×2.0|tp2.0,311,42.4,0.2599,80.83,14.53,0.0467,8,2.0,2.0,atr_mult,,
×2.0|tp3.0,310,32.6,0.2898,89.84,22.72,0.0733,18,2.0,3.0,atr_mult,,
vr>1.0|bp>0.0,718,31.5,0.2403,172.54,50.75,0.0707,17,,,sig_quality,1.0,0.0
vr>1.0|bp>0.4,590,31.0,0.2222,131.08,52.4,0.0888,20,,,sig_quality,1.0,0.4
vr>1.0|bp>0.55,493,32.5,0.2798,137.96,37.84,0.0768,17,,,sig_quality,1.0,0.55
vr>1.5|bp>0.0,372,32.0,0.2613,97.2,17.99,0.0484,11,,,sig_quality,1.5,0.0
vr>1.5|bp>0.4,311,31.2,0.2297,71.44,22.06,0.0709,17,,,sig_quality,1.5,0.4
vr>1.5|bp>0.55,274,33.2,0.3106,85.11,12.67,0.0462,12,,,sig_quality,1.5,0.55
vr>2.0|bp>0.0,224,30.4,0.1967,44.06,20.35,0.0908,13,,,sig_quality,2.0,0.0
vr>2.0|bp>0.4,195,29.7,0.1723,33.6,20.52,0.1052,13,,,sig_quality,2.0,0.4
vr>2.0|bp>0.55,170,32.4,0.2765,47.0,19.43,0.1143,11,,,sig_quality,2.0,0.55
