mode,tp,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,ann_r,calmar
atr_stop,2.0,274,39.1,0.155,42.46,11.24,0.041,11,9.9,0.88
atr_stop,2.5,274,35.0,0.2097,57.46,14.76,0.0539,11,13.4,0.91
atr_stop,3.0,274,31.4,0.2389,65.46,18.8,0.0686,11,15.3,0.81
atr_stop,3.5,274,29.6,0.3137,85.96,14.67,0.0535,11,20.1,1.37
atr_stop,4.0,274,25.5,0.2608,71.46,22.7,0.0828,15,16.7,0.73
atr_stop,4.5,274,23.7,0.2882,78.96,21.6,0.0788,15,18.4,0.85
atr_stop,5.0,274,22.6,0.3411,93.46,17.44,0.0636,15,21.8,1.25
atr_stop,5.5,274,21.2,0.3594,98.46,16.44,0.06,15,23.0,1.4
atr_stop,6.0,274,20.8,0.4397,120.46,18.07,0.0659,15,28.1,1.56
atr_stop,6.5,274,18.2,0.3521,96.46,15.77,0.0576,15,22.5,1.43
atr_stop,7.0,274,17.9,0.4141,113.46,15.36,0.056,15,26.5,1.72
atr_stop,7.5,274,17.2,0.4415,120.96,17.02,0.0621,15,28.2,1.66
atr_stop,8.0,274,16.8,0.4944,135.46,15.52,0.0566,15,31.6,2.04
atr_stop,8.5,274,16.4,0.5437,148.96,15.36,0.056,15,34.8,2.26
atr_stop,9.0,274,15.7,0.5528,151.46,19.44,0.0709,15,35.3,1.82
atr_stop,9.5,274,15.0,0.5546,151.96,21.2,0.0774,16,35.5,1.67
atr_stop,10.0,274,14.6,0.5893,161.46,19.7,0.0719,19,37.7,1.91
atr_stop,10.5,274,14.2,0.6203,169.96,23.57,0.086,23,39.7,1.68
atr_stop,11.0,274,13.9,0.6477,177.46,23.27,0.0849,23,41.4,1.78
atr_stop,11.5,274,13.5,0.6714,183.96,23.27,0.0849,23,42.9,1.84
atr_stop,12.0,274,13.5,0.7389,202.46,23.27,0.0849,23,47.3,2.03
atr_stop,12.5,274,13.1,0.7572,207.46,29.47,0.1076,29,48.4,1.64
atr_stop,13.0,274,13.1,0.8229,225.46,29.47,0.1076,29,52.6,1.79
atr_stop,13.5,274,12.4,0.7827,214.46,29.47,0.1076,29,50.1,1.7
atr_stop,14.0,274,12.0,0.79,216.46,29.47,0.1076,29,50.5,1.71
atr_stop,14.5,274,12.0,0.8502,232.96,29.47,0.1076,29,54.4,1.84
atr_stop,15.0,274,12.0,0.9105,249.46,29.47,0.1076,29,58.2,1.98
