search,subset,n_assets,vol_min,body_min,close_max,tp_r,n,total_r,max_dd,annual_r
BAL_HIGH,BTCUSDT,1,1.5,0.5,0.15,4.0,46,34.38,7.12,6.88
BAL_HIGH,ETHUSDT,1,1.5,0.5,0.15,4.0,46,19.2,8.07,3.84
BAL_HIGH,SOLUSDT,1,1.5,0.5,0.15,4.0,63,28.7,6.56,5.74
BAL_HIGH,LINKUSDT,1,1.5,0.5,0.15,4.0,56,38.26,8.18,7.65
BAL_HIGH,DOGEUSDT,1,1.5,0.5,0.15,4.0,38,17.5,10.73,3.5
BAL_HIGH,XRPUSDT,1,1.5,0.5,0.15,4.0,44,13.64,9.83,2.73
BAL_HIGH,"BTCUSDT,ETHUSDT",2,1.5,0.5,0.15,4.0,92,53.57,8.07,10.71
BAL_HIGH,"BTCUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,109,63.08,7.12,12.62
BAL_HIGH,"BTCUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,102,72.64,8.18,14.53
BAL_HIGH,"BTCUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,84,51.88,10.73,10.38
BAL_HIGH,"BTCUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,90,48.01,9.83,9.6
BAL_HIGH,"ETHUSDT,SOLUSDT",2,1.5,0.5,0.15,4.0,109,47.9,8.07,9.58
BAL_HIGH,"ETHUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,102,57.46,8.18,11.49
BAL_HIGH,"ETHUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,84,36.7,10.73,7.34
BAL_HIGH,"ETHUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,90,32.84,9.83,6.57
BAL_HIGH,"SOLUSDT,LINKUSDT",2,1.5,0.5,0.15,4.0,119,66.96,8.18,13.39
BAL_HIGH,"SOLUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,101,46.2,10.73,9.24
BAL_HIGH,"SOLUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,107,42.34,9.83,8.47
BAL_HIGH,"LINKUSDT,DOGEUSDT",2,1.5,0.5,0.15,4.0,94,55.76,10.73,11.15
BAL_HIGH,"LINKUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,100,51.9,9.83,10.38
BAL_HIGH,"DOGEUSDT,XRPUSDT",2,1.5,0.5,0.15,4.0,82,31.14,10.73,6.23
BAL_HIGH,"BTCUSDT,ETHUSDT,SOLUSDT",3,1.5,0.5,0.15,4.0,155,82.27,8.07,16.45
BAL_HIGH,"BTCUSDT,ETHUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,148,91.83,8.18,18.37
BAL_HIGH,"BTCUSDT,ETHUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,130,71.07,10.73,14.21
BAL_HIGH,"BTCUSDT,ETHUSDT,XRPUSDT",3,1.5,0.5,0.15,4.0,136,67.21,9.83,13.44
BAL_HIGH,"BTCUSDT,SOLUSDT,LINKUSDT",3,1.5,0.5,0.15,4.0,165,101.33,8.18,20.27
BAL_HIGH,"BTCUSDT,SOLUSDT,DOGEUSDT",3,1.5,0.5,0.15,4.0,147,80.58,10.73,16.12
