subset,n_assets,n_signals,n_fvg,n,win_pct,total_r,max_dd,dd_per_trade,mcl,annual_r
"BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT,XRPUSDT",5,486,94,92,22.8,34.95,7.67,0.0834,9,6.99
"BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT",4,372,68,66,25.8,34.18,6.54,0.099,8,6.84
"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT",4,407,72,71,23.9,30.44,6.93,0.0976,9,6.09
"BTCUSDT,ETHUSDT,XRPUSDT",3,293,46,45,28.9,29.67,4.31,0.0957,7,5.93
"BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",6,580,116,113,20.4,29.36,11.47,0.1015,16,5.87
"BTCUSDT,ETHUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",5,466,90,87,21.8,28.6,11.47,0.1319,16,5.72
"ETHUSDT,SOLUSDT,LINKUSDT,XRPUSDT",4,370,78,76,22.4,27.37,7.67,0.101,9,5.47
"ETHUSDT,LINKUSDT,XRPUSDT",3,256,52,50,26.0,26.61,6.54,0.1307,8,5.32
"BTCUSDT,SOLUSDT,LINKUSDT,XRPUSDT",4,391,75,73,21.9,24.97,7.67,0.1051,9,4.99
"BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT,XRPUSDT",5,501,94,92,20.7,24.85,15.09,0.164,20,4.97
"BTCUSDT,LINKUSDT,XRPUSDT",3,277,49,47,25.5,24.2,5.59,0.119,8,4.84
"BTCUSDT,ETHUSDT,DOGEUSDT,XRPUSDT",4,387,68,66,22.7,24.09,13.95,0.2113,19,4.82
"ETHUSDT,SOLUSDT,XRPUSDT",3,291,56,55,23.6,22.86,6.93,0.126,9,4.57
"BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT",4,404,83,82,20.7,22.83,7.67,0.0936,9,4.57
"ETHUSDT,XRPUSDT",2,177,30,29,31.0,22.1,4.0,0.1381,5,4.42
"BTCUSDT,ETHUSDT,LINKUSDT",3,290,57,56,23.2,22.06,6.54,0.1167,8,4.41
"ETHUSDT,SOLUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",5,464,100,97,19.6,21.79,11.47,0.1183,16,4.36
"ETHUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",4,350,74,71,21.1,21.02,11.47,0.1616,16,4.2
"BTCUSDT,SOLUSDT,XRPUSDT",3,312,53,52,23.1,20.46,6.93,0.1333,9,4.09
"BTCUSDT,XRPUSDT",2,198,27,26,30.8,19.69,4.31,0.1656,7,3.94
"BTCUSDT,SOLUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",5,485,97,94,19.1,19.38,11.47,0.1221,16,3.88
"BTCUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",4,371,71,68,20.6,18.62,11.47,0.1687,16,3.72
"BTCUSDT,ETHUSDT,SOLUSDT",3,325,61,61,21.3,18.32,6.93,0.1136,9,3.66
"BTCUSDT,ETHUSDT",2,211,35,35,25.7,17.56,4.31,0.123,7,3.51
"SOLUSDT,LINKUSDT,XRPUSDT",3,275,59,57,21.1,17.39,7.67,0.1346,9,3.48
"ETHUSDT,SOLUSDT,DOGEUSDT,XRPUSDT",4,385,78,76,19.7,17.28,15.09,0.1985,20,3.46
"BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT,DOGEUSDT",5,498,105,103,18.4,17.24,11.47,0.1114,16,3.45
"LINKUSDT,XRPUSDT",2,161,33,31,25.8,16.63,5.59,0.1804,8,3.33
"BTCUSDT,ETHUSDT,LINKUSDT,DOGEUSDT",4,384,79,77,19.5,16.48,11.47,0.149,16,3.3
"ETHUSDT,DOGEUSDT,XRPUSDT",3,271,52,50,22.0,16.51,13.95,0.2789,19,3.3
"ETHUSDT,SOLUSDT,LINKUSDT",3,288,67,66,19.7,15.25,7.67,0.1163,9,3.05
"BTCUSDT,SOLUSDT,DOGEUSDT,XRPUSDT",4,406,75,73,19.2,14.87,15.09,0.2067,20,2.97
"ETHUSDT,LINKUSDT",2,174,41,40,22.5,14.49,6.54,0.1634,8,2.9
"BTCUSDT,DOGEUSDT,XRPUSDT",3,292,49,47,21.3,14.11,12.57,0.2674,17,2.82
"SOLUSDT,XRPUSDT",2,196,37,36,22.2,12.88,6.93,0.1925,9,2.58
"BTCUSDT,SOLUSDT,LINKUSDT",3,309,64,63,19.0,12.85,7.67,0.1218,9,2.57
"BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT",4,419,83,82,18.3,12.74,15.09,0.184,20,2.55
XRPUSDT,1,82,11,10,40.0,12.12,3.0,0.3004,4,2.42
"BTCUSDT,LINKUSDT",2,195,38,37,21.6,12.08,5.59,0.1512,8,2.42
"BTCUSDT,ETHUSDT,DOGEUSDT",3,305,57,56,19.6,11.97,13.95,0.2491,19,2.39
"SOLUSDT,LINKUSDT,DOGEUSDT,XRPUSDT",4,369,81,78,17.9,11.81,11.47,0.1471,16,2.36
"LINKUSDT,DOGEUSDT,XRPUSDT",3,255,55,52,19.2,11.04,11.47,0.2206,16,2.21
"ETHUSDT,SOLUSDT",2,209,45,45,20.0,10.75,6.93,0.154,9,2.15
ETHUSDT,1,95,19,19,26.3,9.98,3.09,0.1624,4,2.0
"ETHUSDT,SOLUSDT,LINKUSDT,DOGEUSDT",4,382,89,87,17.2,9.67,11.47,0.1319,16,1.93
"ETHUSDT,LINKUSDT,DOGEUSDT",3,268,63,61,18.0,8.9,11.47,0.1881,16,1.78
"BTCUSDT,SOLUSDT",2,230,42,42,19.0,8.34,6.93,0.165,9,1.67
BTCUSDT,1,116,16,16,25.0,7.58,4.31,0.2691,7,1.52
"SOLUSDT,DOGEUSDT,XRPUSDT",3,290,59,57,17.5,7.3,15.09,0.2647,20,1.46
"BTCUSDT,SOLUSDT,LINKUSDT,DOGEUSDT",4,403,86,84,16.7,7.26,11.47,0.1366,16,1.45
"DOGEUSDT,XRPUSDT",2,176,33,31,19.4,6.53,10.06,0.3246,15,1.31
"BTCUSDT,LINKUSDT,DOGEUSDT",3,289,60,58,17.2,6.5,11.47,0.1978,16,1.3
"SOLUSDT,LINKUSDT",2,193,48,47,17.0,5.27,7.67,0.1633,9,1.05
"ETHUSDT,SOLUSDT,DOGEUSDT",3,303,67,66,16.7,5.16,15.09,0.2286,20,1.03
LINKUSDT,1,79,22,21,19.0,4.51,5.59,0.2663,8,0.9
"ETHUSDT,DOGEUSDT",2,189,41,40,17.5,4.39,13.95,0.3487,19,0.88
"BTCUSDT,SOLUSDT,DOGEUSDT",3,324,64,63,15.9,2.76,15.09,0.2395,20,0.55
"BTCUSDT,DOGEUSDT",2,210,38,37,16.2,1.99,12.57,0.3397,17,0.4
SOLUSDT,1,114,26,26,15.4,0.77,6.93,0.2666,9,0.15
"SOLUSDT,LINKUSDT,DOGEUSDT",3,287,70,68,14.7,-0.31,11.47,0.1687,16,-0.06
"LINKUSDT,DOGEUSDT",2,173,44,42,14.3,-1.08,11.47,0.2732,16,-0.22
"SOLUSDT,DOGEUSDT",2,208,48,47,12.8,-4.82,15.09,0.321,20,-0.96
DOGEUSDT,1,94,22,21,9.5,-5.59,10.06,0.4791,15,-1.12
