date,neg_assets,day_total_r,day_neg_only_r
2025-06-22 00:00:00+00:00,5,-5.802029711467431,-5.802029711467431
2025-05-08 00:00:00+00:00,5,-5.5521572780326185,-5.5521572780326185
2025-04-07 00:00:00+00:00,5,-5.090884811822242,-5.090884811822242
2022-04-11 00:00:00+00:00,5,-4.814252433307087,-4.814252433307087
2025-08-02 00:00:00+00:00,4,-6.822658100887711,-6.822658100887711
2024-07-04 00:00:00+00:00,4,-5.055474505479998,-5.055474505479998
2025-03-24 00:00:00+00:00,4,-4.6033275555725295,-4.6033275555725295
2022-06-13 00:00:00+00:00,4,-4.518849284836808,-4.518849284836808
2024-04-30 00:00:00+00:00,4,-4.32084173161627,-4.32084173161627
2022-08-19 00:00:00+00:00,4,-4.2084297198465945,-4.2084297198465945
