variant,tp,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,ann_r
raw_atr,2.0,774,29.3,-0.1376,-106.48,120.28,0.1554,28,-24.9
raw_atr,2.5,774,24.8,-0.1492,-115.48,133.4,0.1724,40,-27.0
raw_atr,3.0,774,21.2,-0.1699,-131.48,176.4,0.2279,40,-30.7
raw_atr,3.5,774,19.4,-0.1453,-112.48,179.9,0.2324,40,-26.3
raw_atr,4.0,774,18.0,-0.1195,-92.48,166.82,0.2155,40,-21.6
raw_atr,4.5,774,16.3,-0.1221,-94.48,180.32,0.233,40,-22.1
raw_atr,5.0,774,14.7,-0.1337,-103.48,191.82,0.2478,40,-24.2
raw_atr,5.5,774,13.7,-0.1272,-98.48,190.97,0.2467,40,-23.0
raw_atr,6.0,774,13.3,-0.0859,-66.48,170.97,0.2209,40,-15.5
raw_atr,6.5,774,12.0,-0.1163,-89.98,186.17,0.2405,48,-21.0
raw_atr,7.0,774,10.7,-0.1595,-123.48,201.17,0.2599,48,-28.8
raw_atr,7.5,774,9.8,-0.1828,-141.48,209.9,0.2712,48,-33.0
raw_atr,8.0,774,9.3,-0.1802,-139.48,208.4,0.2693,48,-32.6
raw_atr,8.5,774,8.9,-0.1705,-131.98,200.4,0.2589,48,-30.8
raw_atr,9.0,774,8.8,-0.1389,-107.48,174.4,0.2253,48,-25.1
raw_atr,9.5,774,8.8,-0.0949,-73.48,152.7,0.1973,48,-17.2
raw_atr,10.0,774,8.5,-0.0794,-61.48,155.33,0.2007,48,-14.3
raw_atr,10.5,774,8.0,-0.0962,-74.48,174.29,0.2252,48,-17.4
raw_atr,11.0,774,7.5,-0.1182,-91.48,171.33,0.2214,62,-21.4
raw_atr,11.5,774,7.1,-0.1292,-99.98,162.03,0.2093,62,-23.3
raw_atr,12.0,774,6.7,-0.144,-111.48,173.55,0.2242,62,-26.0
raw_atr,12.5,774,6.5,-0.1453,-112.48,174.05,0.2249,62,-26.3
raw_atr,13.0,774,5.9,-0.1854,-143.48,190.4,0.246,62,-33.5
raw_atr,13.5,774,5.7,-0.1931,-149.48,207.05,0.2675,62,-34.9
raw_atr,14.0,774,5.7,-0.1647,-127.48,196.55,0.2539,62,-29.8
raw_atr,14.5,774,5.6,-0.1563,-120.98,186.05,0.2404,62,-28.2
raw_atr,15.0,774,5.6,-0.1285,-99.48,175.55,0.2268,62,-23.2
raw_atr,15.5,774,5.2,-0.1647,-127.48,182.9,0.2363,96,-29.8
raw_atr,16.0,774,5.2,-0.1389,-107.48,171.55,0.2216,96,-25.1
fvg_atr,2.0,209,22.5,-0.3424,-71.56,74.34,0.3557,13,-16.7
fvg_atr,2.5,209,19.1,-0.3472,-72.56,76.84,0.3677,21,-16.9
fvg_atr,3.0,209,15.3,-0.4046,-84.56,90.34,0.4322,32,-19.7
fvg_atr,3.5,209,12.9,-0.4357,-91.06,98.34,0.4705,32,-21.3
fvg_atr,4.0,209,12.0,-0.4189,-87.56,97.14,0.4648,32,-20.4
fvg_atr,4.5,209,11.0,-0.4118,-86.06,98.14,0.4696,32,-20.1
