variant,tp,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,ann_r
raw,2.0,950,34.3,0.0139,13.23,36.53,0.0384,14,3.1
raw,2.5,949,30.5,0.0503,47.74,47.27,0.0498,25,11.1
raw,3.0,949,26.9,0.0593,56.24,51.77,0.0545,25,13.1
raw,3.5,948,24.2,0.0715,67.75,58.42,0.0616,27,15.8
raw,4.0,948,21.6,0.0657,62.25,81.11,0.0856,38,14.5
raw,4.5,948,19.4,0.052,49.25,102.88,0.1085,38,11.5
raw,5.0,948,17.9,0.0604,57.25,102.88,0.1085,43,13.4
raw,5.5,948,16.7,0.0678,64.25,105.88,0.1117,43,15.0
raw,6.0,948,15.7,0.0847,80.25,104.88,0.1106,43,18.7
raw,6.5,948,14.8,0.092,87.25,90.88,0.0959,43,20.4
raw,7.0,948,14.0,0.1068,101.25,76.88,0.0811,43,23.6
raw,7.5,948,13.6,0.1411,133.75,80.29,0.0847,43,31.2
raw,8.0,948,13.4,0.1901,180.25,68.8,0.0726,43,42.1
raw,8.5,948,13.0,0.217,205.75,77.78,0.082,43,48.0
raw,9.0,948,12.2,0.2081,197.25,97.36,0.1027,43,46.0
raw,9.5,948,11.6,0.2028,192.25,103.36,0.109,43,44.9
raw,10.0,948,11.0,0.1912,181.25,99.36,0.1048,52,42.3
raw,10.5,948,10.4,0.1854,175.75,97.08,0.1024,52,41.0
raw,11.0,948,9.7,0.149,141.25,127.99,0.135,52,33.0
raw,11.5,948,9.5,0.1712,162.25,145.49,0.1535,52,37.9
raw,12.0,948,8.9,0.1363,129.25,151.99,0.1603,66,30.2
raw,12.5,948,8.8,0.1664,157.75,145.99,0.154,66,36.8
raw,13.0,948,8.6,0.1954,185.25,139.99,0.1477,66,43.2
raw,13.5,948,8.5,0.2234,211.75,133.99,0.1413,66,49.4
raw,14.0,948,8.3,0.2344,222.25,128.63,0.1357,66,51.9
fvg_atr_stop,2.0,266,36.5,0.0787,20.93,19.55,0.0735,11,4.9
fvg_atr_stop,2.5,266,31.2,0.0768,20.43,23.4,0.088,13,4.8
fvg_atr_stop,3.0,266,27.4,0.0824,21.93,26.97,0.1014,13,5.1
fvg_atr_stop,3.5,266,24.1,0.0674,17.93,32.97,0.1239,14,4.2
fvg_atr_stop,4.0,266,19.9,-0.0191,-5.07,51.46,0.1935,29,-1.2
fvg_atr_stop,4.5,266,17.7,-0.0435,-11.57,60.46,0.2273,29,-2.7
fvg_atr_stop,5.0,266,17.3,0.0223,5.93,44.46,0.1671,29,1.4
fvg_atr_stop,5.5,266,15.0,-0.0379,-10.07,50.72,0.1907,40,-2.4
fvg_atr_stop,6.0,266,14.3,-0.0153,-4.07,49.72,0.1869,40,-1.0
fvg_atr_stop,6.5,266,13.9,0.0279,7.43,51.91,0.1952,40,1.7
fvg_atr_stop,7.0,266,13.5,0.0674,17.93,48.41,0.182,40,4.2
fvg_atr_stop,7.5,266,13.5,0.1351,35.93,44.91,0.1688,40,8.4
fvg_atr_stop,8.0,266,13.5,0.2027,53.93,43.24,0.1626,40,12.6
fvg_atr_stop,8.5,266,13.2,0.2347,62.43,42.24,0.1588,40,14.6
fvg_atr_stop,9.0,266,12.4,0.2253,59.93,41.66,0.1566,40,14.0
fvg_atr_stop,9.5,266,11.3,0.1689,44.93,48.24,0.1814,40,10.5
fvg_atr_stop,10.0,266,10.9,0.1839,48.93,50.75,0.1908,40,11.4
fvg_atr_stop,10.5,266,10.5,0.1952,51.93,58.25,0.219,40,12.1
fvg_atr_stop,11.0,266,10.2,0.2027,53.93,66.75,0.251,40,12.6
fvg_atr_stop,11.5,266,10.2,0.2535,67.43,63.75,0.2397,40,15.7
fvg_atr_stop,12.0,266,9.0,0.1576,41.93,73.75,0.2773,40,9.8
fvg_atr_stop,12.5,266,9.0,0.2027,53.93,71.25,0.2679,40,12.6
fvg_atr_stop,13.0,266,9.0,0.2478,65.93,68.75,0.2585,40,15.4
fvg_atr_stop,13.5,266,9.0,0.293,77.93,66.25,0.2491,40,18.2
fvg_atr_stop,14.0,266,9.0,0.3381,89.93,63.75,0.2397,40,21.0
fvg_fvg_stop,2.0,266,28.9,0.0086,2.29,17.49,0.0658,13,0.5
fvg_fvg_stop,2.5,266,24.4,-0.0011,-0.28,24.73,0.093,21,-0.1
fvg_fvg_stop,3.0,266,21.1,-0.0112,-2.98,30.68,0.1153,24,-0.7
fvg_fvg_stop,3.5,266,18.4,-0.0166,-4.41,39.61,0.1489,25,-1.0
fvg_fvg_stop,4.0,266,15.8,-0.0493,-13.11,55.81,0.2098,40,-3.1
fvg_fvg_stop,4.5,266,14.3,-0.0499,-13.28,58.22,0.2189,40,-3.1
fvg_fvg_stop,5.0,266,13.2,-0.0457,-12.15,58.15,0.2186,40,-2.8
fvg_fvg_stop,5.5,266,11.7,-0.0762,-20.27,57.2,0.215,40,-4.7
fvg_fvg_stop,6.0,266,10.9,-0.0719,-19.14,60.56,0.2277,40,-4.5
fvg_fvg_stop,6.5,266,10.5,-0.0441,-11.73,58.81,0.2211,40,-2.7
fvg_fvg_stop,7.0,266,10.5,0.0085,2.27,53.98,0.2029,40,0.5
fvg_fvg_stop,7.5,266,10.5,0.0612,16.27,52.48,0.1973,40,3.8
fvg_fvg_stop,8.0,266,10.5,0.1138,30.27,50.98,0.1916,40,7.1
fvg_fvg_stop,8.5,266,10.2,0.1306,34.74,49.48,0.186,40,8.1
fvg_fvg_stop,9.0,266,9.4,0.1062,28.25,53.8,0.2023,40,6.6
fvg_fvg_stop,9.5,266,9.0,0.1161,30.88,59.67,0.2243,41,7.2
fvg_fvg_stop,10.0,266,8.6,0.1197,31.83,61.59,0.2315,41,7.4
fvg_fvg_stop,10.5,266,8.6,0.1629,43.33,58.09,0.2184,41,10.1
fvg_fvg_stop,11.0,266,8.3,0.1604,42.67,66.74,0.2509,41,10.0
fvg_fvg_stop,11.5,266,8.3,0.2018,53.67,63.74,0.2396,41,12.5
fvg_fvg_stop,12.0,266,7.1,0.0983,26.16,73.62,0.2768,54,6.1
fvg_fvg_stop,12.5,266,7.1,0.134,35.66,71.12,0.2674,54,8.3
fvg_fvg_stop,13.0,266,7.1,0.1698,45.16,69.4,0.2609,54,10.5
fvg_fvg_stop,13.5,266,7.1,0.2055,54.66,67.9,0.2553,54,12.8
fvg_fvg_stop,14.0,266,7.1,0.2412,64.16,66.4,0.2496,54,15.0
