symbol,chunk,exit_ts,baseline_r,managed_r,reason,hold_5m_bars
SOLUSDT,2022-01,2022-01-06T00:00:00+00:00,-1.039022131147541,-1.039022131147541,SL,1
SOLUSDT,2022-01,2022-01-10T12:35:00+00:00,-1.0163754032258063,0.683624596774196,BE,440
SOLUSDT,2022-01,2022-01-21T12:05:00+00:00,-1.0114981481481482,-1.0114981481481482,SL,50
SOLUSDT,2022-01,2022-01-25T20:05:00+00:00,-1.0040372197309417,0.6959627802690574,BE,146
SOLUSDT,2022-03,2022-03-02T04:00:00+00:00,-1.008675366568915,-1.008675366568915,SL,1
SOLUSDT,2022-03,2022-03-07T08:30:00+00:00,-1.027714606741573,-1.027714606741573,SL,7
SOLUSDT,2022-03,2022-03-17T04:00:00+00:00,-1.1096625000000024,-1.1096625000000024,SL,1
SOLUSDT,2022-03,2022-03-17T16:00:00+00:00,-1.0169683870967743,-1.0169683870967743,SL,1
SOLUSDT,2022-03,2022-03-19T00:10:00+00:00,-1.022586776859504,0.6774132231404985,BE,3
SOLUSDT,2022-03,2022-03-19T20:00:00+00:00,7.882462499999997,7.882462499999997,TP,1
SOLUSDT,2022-03,2022-03-23T23:50:00+00:00,-1.0409928571428577,0.6590071428571462,BE,47
SOLUSDT,2022-03,2022-03-24T12:00:00+00:00,-1.0549452830188677,-1.0549452830188677,SL,1
SOLUSDT,2022-03,2022-03-26T15:25:00+00:00,-1.1124444444444461,0.5875555555555381,BE,42
SOLUSDT,2022-03,2022-03-26T20:00:00+00:00,-1.0389192307692308,-1.0389192307692308,SL,1
SOLUSDT,2022-03,2022-03-28T00:00:00+00:00,-1.1105285714285709,-1.1105285714285709,SL,1
SOLUSDT,2022-03,2022-03-29T11:45:00+00:00,-1.0083510204081632,-1.0083510204081632,SL,46
SOLUSDT,2022-04,2022-04-05T12:20:00+00:00,-1.0116567647058825,-1.0116567647058825,SL,101
SOLUSDT,2022-04,2022-04-11T20:00:00+00:00,-1.1322086956521715,-1.1322086956521715,SL,1
SOLUSDT,2022-04,2022-04-20T16:00:00+00:00,7.94192105263158,7.94192105263158,TP,1
