tp_r,n_trades,managed_total_r,baseline_total_r
2.0,62,-19.499226769709917,-21.499226769709924
3.0,62,-20.49922676970992,-14.49922676970992
4.0,62,-20.49922676970992,-21.49922676970992
5.0,62,-22.49922676970992,-30.49922676970992
6.0,62,-21.49922676970992,-24.49922676970992
7.0,62,-20.49922676970992,-18.49922676970992
8.0,62,-23.49922676970992,-21.499226769709924
10.0,62,-23.49922676970992,-22.499226769709928
12.0,62,-23.49922676970992,-14.499226769709924
14.0,62,-23.49922676970992,-6.499226769709922
