scenario,year,year_r,year_return_pct,start_balance,end_balance
All assets,2022,72.62,108.94,10000.0,20893.57
All assets,2023,1.94,2.91,20893.57,21500.56
All assets,2024,24.29,36.44,21500.56,29334.8
All assets,2025,118.66,177.99,29334.8,81546.64
All assets,2026,23.23,34.84,81546.64,109961.49
BTC+LINK+XRP,2022,48.44,72.66,10000.0,17266.43
BTC+LINK+XRP,2023,0.42,0.63,17266.43,17375.98
BTC+LINK+XRP,2024,16.09,24.13,17375.98,21569.32
BTC+LINK+XRP,2025,69.58,104.38,21569.32,44082.84
BTC+LINK+XRP,2026,19.91,29.87,44082.84,57251.12
