subset,tp,ann_r,label,n,win_pct,avg_r,total_r,max_dd,dd_per_trade,mcl,sl_hits,sl_hit_pct
nocre_fvg_low,1.5,8.7,,162,46.9,0.231,37.42,6.96,0.043,6,86,53.1
nocre_standard,1.5,8.4,,162,49.4,0.2218,35.93,8.36,0.0516,6,82,50.6
cre_fvg_low,1.5,2.4,,64,43.8,0.1631,10.44,7.04,0.1099,6,36,56.2
fvg_fvg_low,1.5,11.2,,226,46.0,0.2118,47.86,10.67,0.0472,7,122,54.0
nocre_fvg_low,1.75,11.3,,162,45.1,0.2994,48.5,6.06,0.0374,6,89,54.9
nocre_standard,1.75,11.1,,162,47.5,0.2943,47.68,7.75,0.0479,6,85,52.5
cre_fvg_low,1.75,2.4,,64,39.1,0.1607,10.28,8.95,0.1398,6,39,60.9
fvg_fvg_low,1.75,13.7,,226,43.4,0.2601,58.79,10.17,0.045,10,128,56.6
nocre_fvg_low,2.0,11.7,,162,41.4,0.3088,50.02,6.6,0.0407,6,95,58.6
nocre_standard,2.0,12.1,,162,44.4,0.3206,51.93,9.2,0.0568,6,90,55.6
cre_fvg_low,2.0,3.2,,64,37.5,0.2167,13.87,8.7,0.1359,6,40,62.5
fvg_fvg_low,2.0,14.9,,226,40.3,0.2827,63.89,11.61,0.0514,10,135,59.7
nocre_fvg_low,2.25,14.2,,162,40.1,0.376,60.91,6.1,0.0377,6,97,59.9
nocre_standard,2.25,14.8,,162,43.2,0.3915,63.43,8.7,0.0537,6,92,56.8
cre_fvg_low,2.25,3.9,,64,35.9,0.259,16.58,8.45,0.132,6,41,64.1
fvg_fvg_low,2.25,18.1,,226,38.9,0.3429,77.49,11.11,0.0492,10,138,61.1
nocre_fvg_low,2.5,15.6,,162,38.3,0.4116,66.68,7.56,0.0467,8,100,61.7
nocre_standard,2.5,16.4,,162,41.4,0.4348,70.43,10.22,0.0631,8,95,58.6
cre_fvg_low,2.5,4.3,,64,34.4,0.2886,18.47,8.2,0.1281,6,42,65.6
fvg_fvg_low,2.5,19.9,,226,37.2,0.3768,85.16,13.23,0.0585,10,142,62.8
nocre_fvg_low,2.75,17.5,,162,37.0,0.4631,75.02,7.39,0.0456,8,102,63.0
nocre_standard,2.75,17.7,,162,39.5,0.4687,75.93,9.72,0.06,8,98,60.5
cre_fvg_low,2.75,4.6,,64,32.8,0.3098,19.83,7.95,0.1242,6,43,67.2
fvg_fvg_low,2.75,22.2,,226,35.8,0.4197,94.85,12.73,0.0563,10,145,64.2
nocre_fvg_low,3.0,20.1,,162,36.4,0.5316,86.12,7.39,0.0456,8,103,63.6
nocre_standard,3.0,19.6,,162,38.3,0.5181,83.93,9.22,0.0569,8,100,61.7
cre_fvg_low,3.0,4.9,,64,31.2,0.3303,21.14,7.7,0.1203,6,44,68.8
fvg_fvg_low,3.0,25.0,,226,35.0,0.4746,107.26,12.23,0.0541,11,147,65.0
nocre_fvg_low,3.25,20.5,,162,34.6,0.5415,87.72,7.39,0.0456,8,106,65.4
nocre_standard,3.25,20.2,,162,36.4,0.5351,86.68,8.72,0.0538,8,103,63.6
cre_fvg_low,3.25,6.1,,64,31.2,0.4085,26.14,7.45,0.1164,6,44,68.8
fvg_fvg_low,3.25,26.6,,226,33.6,0.5038,113.86,11.73,0.0519,11,150,66.4
nocre_fvg_low,3.5,21.8,,162,33.3,0.5759,93.29,7.39,0.0456,8,108,66.7
nocre_standard,3.5,21.6,,162,35.2,0.5706,92.43,8.22,0.0507,8,105,64.8
cre_fvg_low,3.5,7.3,,64,31.2,0.4866,31.14,7.2,0.1125,6,44,68.8
fvg_fvg_low,3.5,29.1,,226,32.7,0.5506,124.44,11.23,0.0497,11,152,67.3
nocre_fvg_low,3.75,24.9,,162,33.3,0.6592,106.79,7.39,0.0456,8,108,66.7
nocre_standard,3.75,24.9,,162,35.2,0.6585,106.68,8.11,0.05,8,105,64.8
cre_fvg_low,3.75,6.3,,64,28.1,0.4186,26.79,7.57,0.1183,8,46,71.9
fvg_fvg_low,3.75,31.2,,226,31.9,0.5911,133.58,10.78,0.0477,11,154,68.1
nocre_fvg_low,4.0,25.7,,162,32.1,0.679,110.0,7.39,0.0456,8,110,67.9
nocre_standard,4.0,25.9,,162,34.0,0.6848,110.93,8.11,0.05,8,107,66.0
cre_fvg_low,4.0,6.0,,64,26.6,0.3991,25.54,7.57,0.1183,8,47,73.4
fvg_fvg_low,4.0,31.7,,226,30.5,0.5997,135.54,10.53,0.0466,11,157,69.5
nocre_fvg_low,4.25,26.3,,162,30.9,0.6943,112.48,7.39,0.0456,8,112,69.1
nocre_standard,4.25,26.7,,162,32.7,0.7048,114.18,8.11,0.05,8,109,67.3
cre_fvg_low,4.25,7.0,,64,26.6,0.4655,29.79,7.57,0.1183,8,47,73.4
fvg_fvg_low,4.25,33.2,,226,29.6,0.6295,142.27,10.28,0.0455,11,159,70.4
nocre_fvg_low,4.5,21.7,,161,27.3,0.5764,92.8,15.67,0.0973,16,117,72.7
