sym,year,pnl_r,reason
BTCUSDT,2022,-1.0167451806056418,SL
BTCUSDT,2022,-0.8006266742394617,SL
BTCUSDT,2022,-0.7849527128996944,SL
BTCUSDT,2023,-0.5439806273178487,SL
BTCUSDT,2023,-0.699976036274999,SL
BTCUSDT,2024,-0.7150201848137492,SL
BTCUSDT,2024,-0.7606753316756562,SL
BTCUSDT,2024,4.179526398401875,TP
BTCUSDT,2024,-0.5694376211113165,SL
BTCUSDT,2024,-0.8035198796536298,SL
BTCUSDT,2025,4.151443589859,TP
BTCUSDT,2025,-0.7077038695454935,SL
BTCUSDT,2025,4.171221720914042,TP
BTCUSDT,2025,4.183991690091559,TP
BTCUSDT,2025,-0.898628587772707,SL
BTCUSDT,2026,-0.8093543313353337,SL
ETHUSDT,2022,-0.9552187678417917,SL
ETHUSDT,2022,-0.8264348701408887,SL
ETHUSDT,2022,4.182993491563882,TP
ETHUSDT,2022,-0.5836651178635872,SL
ETHUSDT,2023,-0.8561553719207201,SL
ETHUSDT,2024,-0.8059409146943843,SL
ETHUSDT,2024,4.182477814109715,TP
ETHUSDT,2024,-0.9265903092563832,SL
ETHUSDT,2024,-0.816467034656658,SL
ETHUSDT,2025,-0.7768484630671694,SL
ETHUSDT,2025,-0.556086981128951,SL
ETHUSDT,2025,4.188452304832765,TP
ETHUSDT,2025,4.185120912178517,TP
ETHUSDT,2025,-0.7511390887806231,SL
ETHUSDT,2025,4.182571417065662,TP
ETHUSDT,2025,-0.4590384640078081,SL
ETHUSDT,2025,-0.9228509494969178,SL
ETHUSDT,2025,-1.027335369998728,SL
ETHUSDT,2026,-0.6772410722283967,SL
SOLUSDT,2022,-0.6431767658523828,SL
SOLUSDT,2022,4.1891995745427675,TP
SOLUSDT,2022,-0.5843952338567079,SL
SOLUSDT,2022,-0.4145154525028641,SL
SOLUSDT,2023,-0.6308550596425688,SL
SOLUSDT,2023,-0.6950014962041631,SL
SOLUSDT,2023,-0.7191399417145172,SL
SOLUSDT,2024,-0.9655150264242717,SL
SOLUSDT,2024,-0.8121904990639027,SL
SOLUSDT,2024,4.177094520149155,TP
SOLUSDT,2024,-0.603272577259145,SL
SOLUSDT,2024,-0.49432637186516065,SL
SOLUSDT,2024,-0.6177948064992176,SL
SOLUSDT,2024,-0.6263833608949784,SL
SOLUSDT,2024,-0.7379397004459148,SL
SOLUSDT,2024,-0.9344823397567213,SL
SOLUSDT,2024,-1.0085177645080008,SL
SOLUSDT,2025,-0.8784142460054811,SL
SOLUSDT,2025,-0.38596149786821243,SL
SOLUSDT,2025,4.18788492113771,TP
SOLUSDT,2025,4.188523060878078,TP
SOLUSDT,2025,-0.8064976143582281,SL
SOLUSDT,2025,-0.8146070021471014,SL
SOLUSDT,2025,-0.9639158118248072,SL
SOLUSDT,2025,-0.7758906163283504,SL
SOLUSDT,2026,-0.8644330168613077,SL
LINKUSDT,2022,-0.5925608735035985,SL
LINKUSDT,2022,-0.9247916599506537,SL
LINKUSDT,2022,-0.5289434468036827,SL
LINKUSDT,2022,4.1901624137706905,TP
LINKUSDT,2022,-0.8704359452455751,SL
LINKUSDT,2022,-0.6736459939073959,SL
LINKUSDT,2022,-0.8598053599664743,SL
LINKUSDT,2023,-0.545940445625399,SL
LINKUSDT,2023,-0.5686004843497982,SL
LINKUSDT,2023,-0.6621101229407305,SL
LINKUSDT,2024,-0.5717444009136335,SL
LINKUSDT,2024,-0.8410645564724958,SL
LINKUSDT,2024,4.187001636159924,TP
LINKUSDT,2024,4.1886315210726766,TP
LINKUSDT,2024,-0.7287593464140876,SL
LINKUSDT,2025,-0.6037137091236784,SL
LINKUSDT,2025,-1.0114239860379408,SL
LINKUSDT,2025,-0.6456894017941648,SL
LINKUSDT,2025,-1.0062857380430508,SL
LINKUSDT,2026,4.19099268425976,TP
LINKUSDT,2026,-0.6129319373818198,SL
DOGEUSDT,2022,-0.7983732021496059,SL
DOGEUSDT,2022,-0.6284760136822092,SL
DOGEUSDT,2022,-0.8976371151503642,SL
DOGEUSDT,2022,-0.7489416492869561,SL
DOGEUSDT,2022,-0.882838703142816,SL
DOGEUSDT,2022,-0.9193954569964127,SL
DOGEUSDT,2023,-0.6258411601284863,SL
DOGEUSDT,2023,-0.6954713135524067,SL
DOGEUSDT,2023,-0.6493318188687696,SL
DOGEUSDT,2024,-0.6557163714165529,SL
DOGEUSDT,2024,-0.6511338563536421,SL
DOGEUSDT,2024,-0.5167214198297323,SL
DOGEUSDT,2024,-0.7090939190334381,SL
DOGEUSDT,2024,-0.6146411646254105,SL
DOGEUSDT,2024,-0.8669085052033667,SL
DOGEUSDT,2025,4.18289688002338,TP
DOGEUSDT,2025,-0.5291547653840761,SL
DOGEUSDT,2025,-0.8599695536373286,SL
DOGEUSDT,2025,-0.7668939794831582,SL
DOGEUSDT,2025,-0.9428491272825673,SL
DOGEUSDT,2026,4.190866792418206,TP
XRPUSDT,2022,-0.9181518591708254,SL
XRPUSDT,2022,4.1835408107359155,TP
XRPUSDT,2022,4.183098555855571,TP
XRPUSDT,2022,-0.6902385221747555,SL
XRPUSDT,2023,4.173567162344606,TP
XRPUSDT,2024,-0.9570824947250907,SL
XRPUSDT,2024,-0.656903338290241,SL
XRPUSDT,2025,-0.7623416531560532,SL
XRPUSDT,2025,-0.6274478193144251,SL
XRPUSDT,2026,4.189304810838638,TP
