regime_set,vol_min,body_min,close_max,n_signals,n_fvg,n,win_pct,total_r,max_dd,dd_per_trade,annual_r
BAL_HIGH,1.8,0.55,0.15,1079,226,226,28.8,136.4,9.22,0.0408,27.28
BAL_HIGH,1.8,0.5,0.15,1136,232,232,28.0,132.37,9.7,0.0418,26.47
BAL_LOW,1.5,0.55,0.15,868,157,154,18.8,33.31,10.21,0.0663,6.66
BAL_HIGH,1.5,0.55,0.2,1910,402,402,25.6,191.69,10.24,0.0255,38.34
BAL_HIGH,1.5,0.5,0.2,2030,417,417,25.2,191.38,10.24,0.0246,38.28
BAL_HIGH,1.5,0.55,0.15,1401,285,285,27.7,163.02,10.73,0.0377,32.6
BAL_HIGH,1.5,0.5,0.15,1479,293,293,27.0,157.52,10.73,0.0366,31.5
BAL_LOW,1.5,0.5,0.15,925,162,159,18.9,35.02,10.87,0.0684,7.0
BAL_HIGH,1.8,0.55,0.2,1484,327,327,26.0,155.77,11.02,0.0337,31.15
BAL_HIGH,1.8,0.5,0.2,1566,339,339,25.4,152.75,11.31,0.0334,30.55
BAL_LOW,1.8,0.5,0.15,607,118,115,20.9,32.81,11.47,0.0998,6.56
BAL_LOW,1.8,0.55,0.15,580,116,113,20.4,29.36,11.47,0.1015,5.87
BAL_ALL,1.8,0.55,0.15,2483,523,518,23.6,189.0,13.42,0.0259,37.8
BAL_ALL,1.8,0.5,0.15,2617,533,528,23.3,186.99,13.42,0.0254,37.4
BAL_HIGH_LOW,1.5,0.5,0.2,3313,652,649,22.7,237.97,13.73,0.0212,47.59
BAL_HIGH_LOW,1.8,0.55,0.15,1659,342,339,26.0,165.76,13.88,0.0409,33.15
BAL_HIGH_LOW,1.8,0.5,0.15,1743,350,347,25.6,165.17,13.88,0.04,33.03
BAL_HIGH_LOW,1.8,0.5,0.2,2395,501,498,23.7,194.07,13.93,0.028,38.81
BAL_LOW,1.5,0.5,0.2,1283,235,232,18.1,46.59,15.74,0.0678,9.32
BAL_LOW,1.5,0.55,0.2,1203,227,224,18.3,46.53,15.74,0.0703,9.31
BAL_HIGH_LOW,1.5,0.55,0.15,2269,442,439,24.6,196.33,16.02,0.0365,39.27
BAL_HIGH_LOW,1.5,0.5,0.15,2404,455,452,24.1,192.54,16.02,0.0355,38.51
BAL_ALL,1.5,0.55,0.15,3409,664,659,22.2,211.48,16.08,0.0244,42.3
BAL_ALL,1.5,0.5,0.15,3617,679,674,21.8,206.27,16.08,0.0239,41.25
BAL_LOW,1.8,0.5,0.2,829,162,159,20.1,41.32,16.98,0.1068,8.26
BAL_LOW,1.8,0.55,0.2,787,159,156,19.9,38.39,16.98,0.1088,7.68
BAL_HIGH_LOW,1.5,0.55,0.2,3113,629,626,23.0,238.22,17.01,0.0272,47.64
BAL_HIGH_LOW,1.8,0.55,0.2,2271,486,483,24.0,194.15,17.52,0.0363,38.83
BAL_ALL,1.8,0.5,0.2,3598,754,749,21.8,215.29,18.55,0.0248,43.06
BAL_ALL,1.5,0.55,0.2,4679,930,925,21.0,252.77,19.81,0.0214,50.55
BAL_ALL,1.5,0.5,0.2,4994,960,955,20.7,252.49,19.81,0.0207,50.5
BAL_ALL,1.8,0.55,0.2,3390,734,729,22.1,219.03,20.3,0.0278,43.81
