symbol,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
BTCUSDT,30,70,2,13.0,1.0,0.8,6.5,5.5,138,-14.12795773366361,-14.12795773366361,0.0,7.246376811594203,64.49834291348212,75.637077294686
BTCUSDT,30,70,2,21.0,1.0,0.8,6.5,5.5,137,-21.123897497672413,-21.123897497672413,0.0,4.37956204379562,66.75872225128964,59.38929440389295
BTCUSDT,30,70,2,8.0,1.0,0.8,6.5,5.5,138,-37.12795773366361,-37.12795773366361,0.0,9.420289855072465,60.49834291348213,46.083333333333336
BTCUSDT,30,70,2,5.0,1.0,0.8,6.5,5.5,138,-46.127957733663614,-46.127957733663614,0.0,13.043478260869565,54.49834291348213,37.51570048309179
BTCUSDT,30,70,2,1.0,1.0,0.8,6.5,5.5,138,-52.127957733663614,-52.127957733663614,0.0,36.95652173913043,52.84692226470235,8.728864734299519
BTCUSDT,30,70,2,0.7,1.0,0.8,6.5,5.5,138,-52.127957733663706,-52.127957733663706,0.0,43.47826086956522,52.35170707992668,7.601449275362318
BTCUSDT,30,70,2,2.0,1.0,0.8,6.5,5.5,138,-67.1279577336636,-67.1279577336636,0.0,21.014492753623188,67.65377501978053,10.772946859903382
ETHUSDT,30,70,2,13.0,1.0,0.8,6.5,5.5,161,-3.4460219600738355,-3.4460219600738355,0.0,7.453416149068323,55.29480281277296,45.58333333333333
ETHUSDT,30,70,2,2.0,1.0,0.8,6.5,5.5,161,-12.446021960073832,-12.446021960073832,0.0,32.91925465838509,23.411770179753322,10.552277432712215
ETHUSDT,30,70,2,1.0,1.0,0.8,6.5,5.5,161,-15.446021960073827,-15.446021960073827,0.0,48.4472049689441,19.50166861014156,7.263457556935818
ETHUSDT,30,70,2,8.0,1.0,0.8,6.5,5.5,161,-18.44602196007382,-18.44602196007382,0.0,10.559006211180124,46.75678203671724,28.437370600414074
ETHUSDT,30,70,2,0.7,1.0,0.8,6.5,5.5,161,-25.246021960073733,-25.246021960073733,0.0,53.41614906832298,26.582987211977823,3.1552795031055902
ETHUSDT,30,70,2,5.0,1.0,0.8,6.5,5.5,161,-39.44602196007383,-39.44602196007383,0.0,13.664596273291925,44.533875853848414,22.496376811594203
ETHUSDT,30,70,2,21.0,1.0,0.8,6.5,5.5,161,-61.44602196007382,-61.44602196007382,0.0,3.1055900621118013,81.6087961954633,62.48861283643892
LINKUSDT,30,70,2,21.0,1.0,0.8,6.5,5.5,102,17.66753526080465,17.66753526080465,0.0,5.88235294117647,34.80477270501431,97.04820261437908
LINKUSDT,30,70,2,13.0,1.0,0.8,6.5,5.5,102,-16.33246473919534,-16.33246473919534,0.0,6.862745098039216,38.432576914832104,88.29084967320262
LINKUSDT,30,70,2,8.0,1.0,0.8,6.5,5.5,102,-24.33246473919534,-24.33246473919534,0.0,9.803921568627452,26.529043276428805,58.333333333333336
LINKUSDT,30,70,2,5.0,1.0,0.8,6.5,5.5,102,-30.332464739195355,-30.332464739195355,0.0,13.725490196078432,34.37665272331829,53.42565359477125
LINKUSDT,30,70,2,2.0,1.0,0.8,6.5,5.5,102,-33.33246473919535,-33.33246473919535,0.0,26.47058823529412,37.23642863565209,42.71568627450981
LINKUSDT,30,70,2,1.0,1.0,0.8,6.5,5.5,102,-34.33246473919535,-34.33246473919535,0.0,39.21568627450981,35.24760236159376,34.3562091503268
