tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
4h,2022-03-11T20:00:00+00:00,2022-03-12T00:00:00+00:00,0,5,Saturday,expand,0.02211027075879105,0.23977234452478902,0.004276133018554531,0.8025,6.591900311526487,8.822429906542066,8.822429906542066
4h,2022-03-21T16:00:00+00:00,2022-03-21T20:00:00+00:00,20,0,Monday,expand,0.015255459036249423,0.13018581138461505,0.0017572723818269683,0.8467,2.621944017952049,3.862052675091526,4.535254517538679
4h,2022-03-26T20:00:00+00:00,2022-03-27T00:00:00+00:00,0,6,Sunday,contract,0.011372694468987003,-0.042564379008927955,-0.0005055918822297664,0.8327,1.4410952323766075,1.849405548216641,3.650774588687401
4h,2022-03-28T12:00:00+00:00,2022-03-28T16:00:00+00:00,16,0,Monday,expand,0.013839466489306994,0.14483084292402792,0.0017508102700533046,0.8789,4.733189213789961,7.099783820684948,7.099783820684948
4h,2022-03-28T16:00:00+00:00,2022-03-28T20:00:00+00:00,20,0,Monday,expand,0.01582236174007078,0.143278301392316,0.001982895250763785,0.8982,5.744822979291915,5.744822979291915,6.6354932086395
4h,2022-03-28T20:00:00+00:00,2022-03-29T00:00:00+00:00,0,1,Tuesday,expand,0.018377907330065724,0.16151479987484563,0.0025555455899949446,0.864,1.9212962962963032,3.37962962962963,5.057870370370378
4h,2022-03-31T12:00:00+00:00,2022-03-31T16:00:00+00:00,16,3,Thursday,expand,0.022340912169108162,0.35923663880459467,0.005904545217760911,0.8231,2.9401044830518765,4.191471267160731,5.1148098651439575
4h,2022-04-03T04:00:00+00:00,2022-04-03T08:00:00+00:00,8,6,Sunday,contract,0.02044760496829181,-0.047129696229132545,-0.001011354228330142,0.8313,0.9743774810537706,3.007337904486951,3.007337904486951
4h,2022-04-03T08:00:00+00:00,2022-04-03T12:00:00+00:00,12,6,Sunday,contract,0.019565633184842394,-0.043133256184139546,-0.0008819717834494152,0.8334,1.2359011279097643,2.735781137509004,3.467722582193429
4h,2022-04-06T00:00:00+00:00,2022-04-06T04:00:00+00:00,4,2,Wednesday,expand,0.01754108921421735,0.11521644258221597,0.001812223906598659,0.809,1.4338689740420338,7.651421508034619,8.244746600741667
4h,2022-04-09T08:00:00+00:00,2022-04-09T12:00:00+00:00,12,5,Saturday,contract,0.01602161661642738,-0.05155501316554656,-0.0008708935858790373,0.7621,1.5352315969032848,2.007610549796612,2.007610549796612
4h,2022-04-09T20:00:00+00:00,2022-04-10T00:00:00+00:00,0,6,Sunday,contract,0.014611148581009816,-0.045771767307334454,-0.0007008575831546054,0.7622,1.102072946733136,1.7055890842298624,2.755182366832855
4h,2022-04-10T12:00:00+00:00,2022-04-10T16:00:00+00:00,16,6,Sunday,contract,0.012520038906242746,-0.04416264300803152,-0.000578464531249441,0.7591,1.6598603609537683,5.532867869845875,9.35318139902517
4h,2022-04-11T08:00:00+00:00,2022-04-11T12:00:00+00:00,12,0,Monday,expand,0.015518340210953005,0.1413335443105015,0.0019216661376189985,0.7077,1.7662851490744762,4.987989260986294,4.987989260986294
4h,2022-04-15T00:00:00+00:00,2022-04-15T04:00:00+00:00,4,4,Friday,expand,0.01981701832974307,0.2092721860305733,0.0034294601284813007,0.7863,4.336767137224981,4.362202721607528,4.7055831107719746
4h,2022-04-16T08:00:00+00:00,2022-04-16T12:00:00+00:00,12,5,Saturday,contract,0.018952732083067792,-0.04181692967915385,-0.0008271332371590605,0.7747,2.078223828578805,2.4525622821737465,2.6461856202401024
4h,2022-04-17T04:00:00+00:00,2022-04-17T08:00:00+00:00,8,6,Sunday,contract,0.016680646184102026,-0.044000741239703656,-0.0007677420141617014,0.7781,1.4008482200231358,4.960801953476427,7.736794756458043
4h,2022-04-21T00:00:00+00:00,2022-04-21T04:00:00+00:00,4,3,Thursday,contract,0.014467742255690242,-0.04259511716234632,-0.000643672481206942,0.7543,1.657165583985146,3.473419064032878,7.02638207609705
4h,2022-04-23T08:00:00+00:00,2022-04-23T12:00:00+00:00,12,5,Saturday,contract,0.014791815715253554,-0.04656665670043292,-0.0007224473627118148,0.7112,0.899887514060737,2.151293588301475,2.151293588301475
