event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,1825
FVG,bearish,IMBALANCE__NORMAL_VOL,360
FVG,bearish,BALANCE__HIGH_VOL,165
FVG,bearish,IMBALANCE__HIGH_VOL,76
FVG,bearish,BALANCE__LOW_VOL,52
FVG,bearish,IMBALANCE__LOW_VOL,5
FVG,bullish,BALANCE__NORMAL_VOL,1930
FVG,bullish,IMBALANCE__NORMAL_VOL,447
FVG,bullish,BALANCE__HIGH_VOL,90
FVG,bullish,BALANCE__LOW_VOL,57
FVG,bullish,IMBALANCE__HIGH_VOL,49
FVG,bullish,IMBALANCE__LOW_VOL,6
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,608
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,136
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,115
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,51
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,644
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,170
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,49
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,14
