event_type,event_side,combined_regime,count
FVG,bearish,BALANCE__NORMAL_VOL,2148
FVG,bearish,IMBALANCE__NORMAL_VOL,376
FVG,bearish,BALANCE__HIGH_VOL,183
FVG,bearish,IMBALANCE__HIGH_VOL,80
FVG,bearish,BALANCE__LOW_VOL,66
FVG,bearish,IMBALANCE__LOW_VOL,7
FVG,bullish,BALANCE__NORMAL_VOL,2174
FVG,bullish,IMBALANCE__NORMAL_VOL,443
FVG,bullish,BALANCE__HIGH_VOL,113
FVG,bullish,BALANCE__LOW_VOL,58
FVG,bullish,IMBALANCE__HIGH_VOL,52
FVG,bullish,IMBALANCE__LOW_VOL,5
ORDER_BLOCK_PROXY,bearish,BALANCE__NORMAL_VOL,630
ORDER_BLOCK_PROXY,bearish,BALANCE__HIGH_VOL,137
ORDER_BLOCK_PROXY,bearish,IMBALANCE__NORMAL_VOL,134
ORDER_BLOCK_PROXY,bearish,IMBALANCE__HIGH_VOL,56
ORDER_BLOCK_PROXY,bullish,BALANCE__NORMAL_VOL,698
ORDER_BLOCK_PROXY,bullish,IMBALANCE__NORMAL_VOL,147
ORDER_BLOCK_PROXY,bullish,BALANCE__HIGH_VOL,60
ORDER_BLOCK_PROXY,bullish,IMBALANCE__HIGH_VOL,23
