event_type,event_side,regime,count
FVG,bearish,BALANCE,2216
FVG,bearish,IMBALANCE,435
FVG,bearish,HIGH_VOL,226
FVG,bearish,LOW_VOL,58
FVG,bullish,BALANCE,2135
FVG,bullish,IMBALANCE,478
FVG,bullish,HIGH_VOL,205
FVG,bullish,LOW_VOL,104
ORDER_BLOCK_PROXY,bearish,BALANCE,1177
ORDER_BLOCK_PROXY,bearish,IMBALANCE,231
ORDER_BLOCK_PROXY,bearish,HIGH_VOL,195
ORDER_BLOCK_PROXY,bullish,BALANCE,1132
ORDER_BLOCK_PROXY,bullish,IMBALANCE,266
ORDER_BLOCK_PROXY,bullish,HIGH_VOL,85
ORDER_BLOCK_PROXY,bullish,LOW_VOL,2
