ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-03-02 04:00:00+00:00,FVG,bullish,115.9209441851006,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,2996.87,1.6090076236089854,4,Wednesday
2022-03-02 19:00:00+00:00,FVG,bearish,7.876163524156792,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,neutral,2932.9,1.6866888294660876,19,Wednesday
2022-03-02 22:00:00+00:00,FVG,bullish,13.748235023882621,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bullish,2960.38,1.5513952960714588,22,Wednesday
2022-03-03 03:00:00+00:00,FVG,bearish,9.153428736239947,high[i] < low[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,2895.09,1.4731669482071919,3,Thursday
2022-03-03 04:00:00+00:00,FVG,bearish,19.507218704871825,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,2901.49,1.423957092516187,4,Thursday
2022-03-03 14:00:00+00:00,ORDER_BLOCK_PROXY,bearish,147.08072812927597,prev bull candle + down displacement close < prev low,BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,2886.85,1.260125825930432,14,Thursday
2022-03-03 15:00:00+00:00,FVG,bearish,66.27622402354056,high[i] < low[i-2],BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,2827.56,1.3867414491554169,15,Thursday
2022-03-03 16:00:00+00:00,FVG,bearish,135.7345635202271,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,2818.0,1.3697209387524225,16,Thursday
2022-03-03 23:00:00+00:00,FVG,bullish,40.76993402683306,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,2832.97,1.2438059291158918,23,Thursday
2022-03-04 01:00:00+00:00,FVG,bearish,325.11247698294426,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,2731.67,1.5336330575911035,1,Friday
2022-03-04 20:00:00+00:00,FVG,bearish,146.80956079568674,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,2613.59,1.4605572417411077,20,Friday
