ts,event_type,event_side,event_strength_bps,notes,structure_regime,vol_regime,combined_regime,regime_bias,close,atr_pct,hour_utc,weekday
2022-03-02 01:00:00+00:00,FVG,bearish,47.859267882551244,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7731,1.5246396671139708,1,Wednesday
2022-03-02 07:00:00+00:00,FVG,bearish,10.416666666666965,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.768,1.4074264204716087,7,Wednesday
2022-03-02 11:00:00+00:00,FVG,bullish,21.901571759856157,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7762,1.2937936394943979,11,Wednesday
2022-03-02 13:00:00+00:00,FVG,bearish,14.447071184659706,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7614,1.4018014833233374,13,Wednesday
2022-03-03 15:00:00+00:00,FVG,bearish,9.348290598291051,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7488,1.3347973504382051,15,Thursday
2022-03-03 16:00:00+00:00,FVG,bearish,150.275057024017,high[i] < low[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7453,1.3459058986894692,16,Thursday
2022-03-03 23:00:00+00:00,FVG,bullish,27.962716378162327,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.751,1.2317091093507926,23,Thursday
2022-03-04 00:00:00+00:00,ORDER_BLOCK_PROXY,bearish,273.5978112175105,prev bull candle + down displacement close < prev low,BALANCE,HIGH_VOL,BALANCE__HIGH_VOL,bearish,0.731,1.4310314671283748,0,Friday
2022-03-04 01:00:00+00:00,FVG,bearish,180.78020932445258,high[i] < low[i-2],IMBALANCE,NORMAL_VOL,IMBALANCE__NORMAL_VOL,bearish,0.7357,1.4494545556341816,1,Friday
2022-03-04 11:00:00+00:00,FVG,bullish,6.743997841921446,low[i] > high[i-2],BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7414,1.2823385286614437,11,Friday
2022-03-04 18:00:00+00:00,ORDER_BLOCK_PROXY,bearish,119.2270796217614,prev bull candle + down displacement close < prev low,BALANCE,NORMAL_VOL,BALANCE__NORMAL_VOL,bearish,0.7297,1.2769136834571866,18,Friday
