chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,3,-0.0288,33.33,2.0211,714.3
2022-02,6,-0.039,33.33,2.031,933.8
2022-03,5,-5.043,0.0,4.038,951.6
2022-04,4,-4.035,0.0,3.0276,691.5
2022-05,4,-1.0303,25.0,3.0223,724.0
2022-06,5,0.9614,40.0,2.0148,437.4
2022-07,6,-6.05,0.0,5.0417,351.8
2022-08,8,6.9132,62.5,1.0093,574.6
2022-09,8,0.9178,37.5,3.0541,239.4
2022-10,5,0.9625,40.0,3.0225,581.6
2022-11,6,2.9566,50.0,3.0161,867.3
2022-12,5,-2.0713,20.0,3.0485,479.8
2023-01,7,1.926,42.86,2.0212,736.3
2023-02,6,-0.0695,33.33,2.0217,347.5
2023-03,7,4.9257,57.14,2.0148,447.3
2023-04,6,5.93,66.67,1.0145,460.8
2023-05,7,-1.0907,28.57,2.0229,438.1
2023-06,7,1.9399,42.86,2.0146,358.7
2023-07,4,-1.0345,25.0,2.0108,258.2
2023-08,6,-3.0659,16.67,4.0419,255.0
2023-09,7,-4.1107,14.29,3.0996,356.3
2023-10,5,0.9255,40.0,2.0255,184.4
2023-11,5,-2.0426,20.0,3.0262,663.4
2023-12,6,-0.0734,33.33,3.0286,286.2
2024-01,9,2.887,44.44,2.0282,597.0
2024-02,6,-3.0797,16.67,3.0389,585.7
2024-03,4,-1.0281,25.0,1.0096,479.0
2024-04,7,-4.0674,14.29,6.0619,916.7
2024-05,4,-1.0583,25.0,1.0153,543.8
2024-06,5,0.9279,40.0,1.0157,760.0
2024-07,4,-4.0421,0.0,3.0263,589.5
2024-08,5,-2.0604,20.0,4.0513,376.0
2024-09,5,-2.0577,20.0,4.0538,2357.6
2024-10,5,0.9255,40.0,1.016,603.8
2024-11,5,-5.0468,0.0,4.0305,224.8
2024-12,6,-0.0327,33.33,3.0138,450.3
2025-01,7,-7.0535,0.0,6.0458,190.9
2025-02,4,-4.03,0.0,3.0215,358.2
2025-03,4,1.9667,50.0,1.0108,921.0
2025-04,7,-1.0685,28.57,3.0353,560.1
2025-05,8,-5.0794,12.5,4.0703,1259.6
2025-06,7,-4.0857,14.29,5.0631,216.1
2025-07,2,0.9858,50.0,1.007,278.0
2025-08,8,-2.0706,25.0,3.0262,611.0
2025-09,3,-0.0402,33.33,1.0158,989.7
2025-10,7,-4.0765,14.29,6.0671,676.0
2025-11,3,-3.024,0.0,2.0138,337.3
2025-12,9,2.9014,44.44,3.0314,499.3
2026-01,5,3.9332,60.0,1.0165,355.8
2026-02,5,-2.044,20.0,4.0376,488.0
