symbol,strategy_id,tp_r,entry_ts_utc,exit_ts_utc,side,entry_price,stop_init,risk,tp_price,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,bb_period,bb_std,atr_mult,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_ratio,er,structure,vol,regime,entry_idx_4h
XRPUSDT,bb_balanced,1.0,2022-01-04 14:00:00+00:00,2022-01-04 18:15:00+00:00,-1,0.8375,0.8477201257736908,0.010220125773690802,0.8272798742263092,3.0,0.97541615,0.97541615,TP,52,20,2.0,1.5,0.837225,0.822835,0.83003,1.733612,0.006813,0.9882,0.0624,BALANCED,NORMAL,BALANCED_NORMAL,86
XRPUSDT,bb_balanced,1.0,2022-01-04 19:00:00+00:00,2022-01-04 23:25:00+00:00,1,0.82,0.8084070923594131,0.011592907640586847,0.8315929076405868,3.0,0.97878013,0.97878013,TP,54,20,2.0,1.5,0.840384,0.820486,0.830435,2.395979,0.007729,1.1048,0.2548,BALANCED,NORMAL,BALANCED_NORMAL,91
XRPUSDT,bb_balanced,1.0,2022-01-05 18:00:00+00:00,2022-01-05 19:45:00+00:00,1,0.8207,0.8105052614831934,0.010194738516806634,0.8308947385168066,3.0,-1.02415069,-1.02415069,SL,22,20,2.0,1.5,0.83517,0.82211,0.82864,1.576163,0.006796,0.9458,0.1596,BALANCED,NORMAL,BALANCED_NORMAL,114
XRPUSDT,bb_balanced,1.0,2022-01-06 20:00:00+00:00,2022-01-07 03:05:00+00:00,-1,0.7804,0.7986528149253417,0.018252814925341698,0.7621471850746583,3.0,0.98717349,0.98717349,TP,86,20,2.0,1.5,0.779649,0.742691,0.76117,4.855526,0.012169,1.1664,0.0704,BALANCED,NORMAL,BALANCED_NORMAL,140
XRPUSDT,bb_balanced,1.0,2022-01-08 16:00:00+00:00,2022-01-08 17:35:00+00:00,1,0.7572,0.7435756866871561,0.013624313312843861,0.7708243133128438,3.0,-1.01667313,-1.01667313,SL,20,20,2.0,1.5,0.775993,0.758237,0.767115,2.31462,0.009083,0.7387,0.1386,BALANCED,NORMAL,BALANCED_NORMAL,184
XRPUSDT,bb_balanced,1.0,2022-01-09 20:00:00+00:00,2022-01-09 23:25:00+00:00,-1,0.7642,0.7774595154144986,0.013259515414498657,0.7509404845855013,3.0,0.98270978,0.98270978,TP,42,20,2.0,1.5,0.761175,0.739205,0.75019,2.928608,0.00884,0.8177,0.228,BALANCED,NORMAL,BALANCED_NORMAL,212
XRPUSDT,bb_balanced,1.0,2022-01-10 12:00:00+00:00,2022-01-10 12:50:00+00:00,1,0.7414,0.7314201861074153,0.009979813892584621,0.7513798138925846,3.0,-1.02228699,-1.02228699,SL,11,20,2.0,1.5,0.765075,0.741635,0.753355,3.111364,0.006653,0.7204,0.0219,BALANCED,NORMAL,BALANCED_NORMAL,228
XRPUSDT,bb_balanced,1.0,2022-01-11 17:00:00+00:00,2022-01-11 23:15:00+00:00,-1,0.7581,0.7734657136826943,0.015365713682694349,0.7427342863173056,3.0,-1.01480113,-1.01480113,SL,76,20,2.0,1.5,0.753212,0.729078,0.741145,3.256284,0.010244,1.1146,0.3207,BALANCED,NORMAL,BALANCED_NORMAL,257
XRPUSDT,bb_balanced,1.0,2022-01-13 12:00:00+00:00,2022-01-13 14:15:00+00:00,1,0.7834,0.7720627283980144,0.01133727160198561,0.7947372716019856,3.0,0.97927014,0.97927014,TP,28,20,2.0,1.5,0.800234,0.784856,0.792545,1.94022,0.007558,0.8369,0.1291,BALANCED,NORMAL,BALANCED_NORMAL,300
XRPUSDT,bb_balanced,1.0,2022-01-13 16:00:00+00:00,2022-01-13 20:05:00+00:00,1,0.7747,0.7613265797005334,0.013373420299466643,0.7880734202994667,3.0,-1.0173785,-1.0173785,SL,50,20,2.0,1.5,0.802357,0.780873,0.791615,2.713928,0.008916,1.0012,0.2895,BALANCED,NORMAL,BALANCED_NORMAL,304
