symbol,entry_ts_utc,exit_ts_utc,entry_price,stop_price,tp_price,risk,gap_bps,reason,r,bars_5m,structure_regime,regime_bias
LINKUSDT,2022-03-16T15:00:00+00:00,2022-03-16T16:05:00+00:00,14.14,14.044,14.236,0.09600000000000009,34.65346534653429,TP,0.9558125000000001,13,IMBALANCE,bullish
LINKUSDT,2022-03-16T20:00:00+00:00,2022-03-18T00:55:00+00:00,14.628,14.161,15.095,0.4670000000000005,150.39649986327635,SL,-1.0093970021413277,347,IMBALANCE,bullish
LINKUSDT,2022-03-24T15:00:00+00:00,2022-03-24T21:15:00+00:00,16.347,16.095,16.599000000000004,0.25200000000000244,26.916253746865163,SL,-1.0194607142857142,75,IMBALANCE,bullish
LINKUSDT,2022-05-30T03:00:00+00:00,2022-05-30T03:05:00+00:00,6.991,6.939,7.042999999999999,0.0519999999999996,58.646831640681405,TP,0.9596673076923073,1,IMBALANCE,bullish
LINKUSDT,2022-05-30T07:00:00+00:00,2022-05-30T12:25:00+00:00,7.26,7.114,7.406,0.1459999999999999,93.66391184573072,SL,-1.014917808219178,65,IMBALANCE,bullish
LINKUSDT,2022-05-30T21:00:00+00:00,2022-05-31T13:40:00+00:00,7.452,7.228,7.676,0.2240000000000002,122.11486849168034,SL,-1.0099803571428572,200,IMBALANCE,bullish
LINKUSDT,2022-06-05T16:00:00+00:00,2022-06-05T16:05:00+00:00,7.498,7.452,7.5440000000000005,0.04600000000000026,38.676980528140724,TP,0.9511000000000003,1,IMBALANCE,bullish
LINKUSDT,2022-06-06T01:00:00+00:00,2022-06-06T15:20:00+00:00,7.984,7.767,8.201,0.21699999999999964,113.97795591182278,SL,-1.0110377880184331,172,IMBALANCE,bullish
LINKUSDT,2022-06-09T10:00:00+00:00,2022-06-09T14:00:00+00:00,9.154,8.808,9.5,0.3460000000000001,282.9364212366183,TP,0.9920630057803468,48,IMBALANCE,bullish
LINKUSDT,2022-06-21T14:00:00+00:00,2022-06-21T16:05:00+00:00,7.391,7.303,7.479,0.08800000000000008,20.29495332160693,SL,-1.025196590909091,25,IMBALANCE,bullish
LINKUSDT,2022-07-08T02:00:00+00:00,2022-07-08T04:10:00+00:00,6.71,6.654,6.766,0.05600000000000005,5.961251862891874,TP,0.9640535714285715,26,IMBALANCE,bullish
LINKUSDT,2022-07-17T07:00:00+00:00,2022-07-17T07:05:00+00:00,6.595,6.582,6.608,0.0129999999999999,16.67930250189556,TP,0.8478076923076912,1,IMBALANCE,bullish
LINKUSDT,2022-07-18T10:00:00+00:00,2022-07-18T14:25:00+00:00,7.035,6.861,7.2090000000000005,0.17400000000000038,34.11513859275056,SL,-1.0121293103448274,53,IMBALANCE,bullish
LINKUSDT,2022-07-19T00:00:00+00:00,2022-07-19T00:10:00+00:00,7.057,6.937,7.1770000000000005,0.1200000000000001,26.923621935666894,TP,0.9823575,2,IMBALANCE,bullish
LINKUSDT,2022-07-20T02:00:00+00:00,2022-07-20T05:35:00+00:00,7.374,7.261,7.486999999999999,0.11299999999999955,134.2554922701386,TP,0.9804230088495575,43,IMBALANCE,bullish
LINKUSDT,2022-07-28T03:00:00+00:00,2022-07-28T03:05:00+00:00,6.862,6.83,6.894,0.03200000000000003,43.719032352084305,TP,0.93566875,1,IMBALANCE,bullish
LINKUSDT,2022-07-28T16:00:00+00:00,2022-07-28T20:35:00+00:00,7.078,6.87,7.2860000000000005,0.20800000000000018,243.00649901101963,TP,0.9897913461538461,55,IMBALANCE,bullish
LINKUSDT,2022-07-28T21:00:00+00:00,2022-07-28T21:05:00+00:00,7.214,7.151,7.277000000000001,0.06300000000000061,24.951483227058212,TP,0.9656476190476194,1,IMBALANCE,bullish
LINKUSDT,2022-07-29T01:00:00+00:00,2022-07-29T03:45:00+00:00,7.388,7.285,7.491,0.10299999999999976,77.15213860313955,TP,0.9784815533980582,33,IMBALANCE,bullish
LINKUSDT,2022-07-29T04:00:00+00:00,2022-07-29T10:10:00+00:00,7.652,7.435,7.869000000000001,0.21700000000000053,222.1641400940941,TP,0.9894211981566821,74,IMBALANCE,bullish
LINKUSDT,2022-07-29T14:00:00+00:00,2022-07-31T14:00:00+00:00,7.896,7.582,8.21,0.31400000000000006,140.5775075987839,TIME,-0.3323847133757971,576,IMBALANCE,bullish
