symbol,tp_r,entry_ts_utc,replay_from_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,delta_r,audit_scope
XRPUSDT,1.5,2022-03-09T16:00:00+00:00,2022-03-09T17:00:00+00:00,2022-03-09T17:10:00+00:00,195,1,0.7619,0.7584,0.0035000000000000586,0.7671500000000001,,,,,,,,,14,20,1.5,3.0,1.4346942857142868,1.4346942857142868,TP,3,0.0,all_rows
XRPUSDT,1.5,2022-03-12T01:00:00+00:00,2022-03-12T02:00:00+00:00,2022-03-12T04:10:00+00:00,252,1,0.839,0.8088,0.030200000000000005,0.8843,,,,,,,,,14,20,1.5,3.0,-1.0083344370860927,-1.0083344370860927,SL,27,0.0,all_rows
XRPUSDT,1.5,2022-03-17T13:00:00+00:00,2022-03-17T14:00:00+00:00,2022-03-17T17:10:00+00:00,384,1,0.7966,0.7889,0.007699999999999929,0.8081499999999999,,,,,,,,,14,20,1.5,3.0,-1.031036363636364,-1.031036363636364,SL,39,0.0,all_rows
XRPUSDT,1.5,2022-03-28T14:00:00+00:00,2022-03-28T15:00:00+00:00,2022-03-28T16:15:00+00:00,649,1,0.8854,0.8741,0.011299999999999977,0.90235,,,,,,,,,14,20,1.5,3.0,-1.0235061946902655,-1.0235061946902655,SL,16,0.0,all_rows
XRPUSDT,1.5,2022-03-28T19:00:00+00:00,2022-03-28T20:00:00+00:00,2022-03-28T21:35:00+00:00,654,1,0.8982,0.8856,0.012599999999999945,0.9170999999999999,,,,,,,,,14,20,1.5,3.0,-1.0213857142857143,-1.0213857142857143,SL,20,0.0,all_rows
XRPUSDT,1.5,2022-04-15T21:00:00+00:00,2022-04-15T22:00:00+00:00,2022-04-15T23:20:00+00:00,1040,1,0.7791,0.7749,0.0041999999999999815,0.7854,,,,,,,,,14,20,1.5,3.0,-1.0556500000000002,-1.0556500000000002,SL,17,0.0,all_rows
XRPUSDT,1.5,2022-05-30T21:00:00+00:00,2022-05-30T22:00:00+00:00,2022-06-01T17:00:00+00:00,2120,1,0.4165,0.4035,0.012999999999999956,0.43599999999999994,,,,,,,,,14,20,1.5,3.0,-1.0096115384615385,-1.0096115384615385,SL,517,0.0,all_rows
XRPUSDT,1.5,2022-06-06T10:00:00+00:00,2022-06-06T11:00:00+00:00,2022-06-06T11:10:00+00:00,2277,1,0.4068,0.4056,0.0011999999999999789,0.40859999999999996,,,,,,,,,14,20,1.5,3.0,-1.101700000000002,-1.101700000000002,SL,3,0.0,all_rows
XRPUSDT,1.5,2022-06-24T02:00:00+00:00,2022-06-24T03:00:00+00:00,2022-06-26T02:55:00+00:00,2701,1,0.3644,0.344,0.02040000000000003,0.395,,,,,,,,,14,20,1.5,3.0,-0.010260784313724935,-0.010260784313724935,TIME,576,0.0,all_rows
XRPUSDT,1.5,2022-07-07T15:00:00+00:00,2022-07-07T16:00:00+00:00,2022-07-07T16:40:00+00:00,3026,1,0.3338,0.3312,0.002599999999999991,0.3377,,,,,,,,,14,20,1.5,3.0,1.461484615384626,1.461484615384626,TP,9,0.0,all_rows
XRPUSDT,1.5,2022-07-07T19:00:00+00:00,2022-07-07T20:00:00+00:00,2022-07-08T00:35:00+00:00,3030,1,0.3412,0.3374,0.0038000000000000256,0.34690000000000004,,,,,,,,,14,20,1.5,3.0,1.473063157894737,1.473063157894737,TP,56,0.0,all_rows
XRPUSDT,1.5,2022-07-08T01:00:00+00:00,2022-07-08T02:00:00+00:00,2022-07-08T10:10:00+00:00,3036,1,0.354,0.3434,0.010599999999999998,0.3699,,,,,,,,,14,20,1.5,3.0,-1.0100188679245283,-1.0100188679245283,SL,99,0.0,all_rows
XRPUSDT,1.5,2022-07-15T02:00:00+00:00,2022-07-15T03:00:00+00:00,2022-07-15T11:40:00+00:00,3205,1,0.3436,0.3349,0.008700000000000041,0.3566500000000001,,,,,,,,,14,20,1.5,3.0,-1.0118482758620688,-1.0118482758620688,SL,105,0.0,all_rows
XRPUSDT,1.5,2022-07-16T17:00:00+00:00,2022-07-16T18:00:00+00:00,2022-07-17T17:55:00+00:00,3244,1,0.3512,0.3441,0.007099999999999995,0.36185,,,,,,,,,14,20,1.5,3.0,-1.0148394366197184,-1.0148394366197184,SL,288,0.0,all_rows
XRPUSDT,1.5,2022-07-28T16:00:00+00:00,2022-07-28T17:00:00+00:00,2022-07-30T13:45:00+00:00,3531,1,0.3673,0.3551,0.012199999999999989,0.3856,,,,,,,,,14,20,1.5,3.0,1.4909680327868853,1.4909680327868853,TP,538,0.0,all_rows
XRPUSDT,1.5,2022-07-30T14:00:00+00:00,2022-07-30T15:00:00+00:00,2022-08-01T10:45:00+00:00,3577,1,0.397,0.3743,0.022699999999999998,0.43105000000000004,,,,,,,,,14,20,1.5,3.0,-1.0052466960352422,-1.0052466960352422,SL,526,0.0,all_rows
XRPUSDT,1.5,2022-09-09T05:00:00+00:00,2022-09-09T06:00:00+00:00,2022-09-09T16:00:00+00:00,4552,1,0.3496,0.3454,0.004200000000000037,0.3559000000000001,,,,,,,,,14,20,1.5,3.0,-1.0249714285714284,-1.0249714285714284,SL,121,0.0,all_rows
XRPUSDT,1.5,2022-09-09T20:00:00+00:00,2022-09-09T21:00:00+00:00,2022-09-09T23:00:00+00:00,4567,1,0.3516,0.3475,0.004100000000000048,0.3577500000000001,,,,,,,,,14,20,1.5,3.0,1.4742731707317143,1.4742731707317143,TP,25,0.0,all_rows
XRPUSDT,1.5,2022-09-17T11:00:00+00:00,2022-09-17T12:00:00+00:00,2022-09-17T13:00:00+00:00,4750,1,0.3526,0.3499,0.0027000000000000357,0.3566500000000001,,,,,,,,,14,20,1.5,3.0,1.4608222222222227,1.4608222222222227,TP,13,0.0,all_rows
XRPUSDT,1.5,2022-09-17T14:00:00+00:00,2022-09-17T15:00:00+00:00,2022-09-19T02:15:00+00:00,4753,1,0.3726,0.3546,0.01799999999999996,0.39959999999999996,,,,,,,,,14,20,1.5,3.0,-1.00621,-1.00621,SL,424,0.0,all_rows
XRPUSDT,1.5,2022-09-20T16:00:00+00:00,2022-09-20T17:00:00+00:00,2022-09-21T06:25:00+00:00,4827,1,0.4103,0.399,0.011299999999999977,0.42724999999999996,,,,,,,,,14,20,1.5,3.0,-1.0108929203539823,-1.0108929203539823,SL,162,0.0,all_rows
