symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,delta_r,audit_scope
XRPUSDT,1.0,2022-03-09T16:00:00+00:00,2022-03-09T16:05:00+00:00,195,1,0.7619,0.7584,0.0035000000000000586,0.7654000000000001,,,,,,,,,14,20,1.0,3.0,0.9346942857142868,0.9346942857142868,TP,1,0.0,all_rows
XRPUSDT,1.0,2022-03-12T01:00:00+00:00,2022-03-12T04:10:00+00:00,252,1,0.839,0.8088,0.030200000000000005,0.8692,,,,,,,,,14,20,1.0,3.0,-1.0083344370860927,-1.0083344370860927,SL,38,0.0,all_rows
XRPUSDT,1.0,2022-03-17T13:00:00+00:00,2022-03-17T17:10:00+00:00,384,1,0.7966,0.7889,0.007699999999999929,0.8042999999999999,,,,,,,,,14,20,1.0,3.0,-1.031036363636364,-1.031036363636364,SL,50,0.0,all_rows
XRPUSDT,1.0,2022-03-28T14:00:00+00:00,2022-03-28T16:15:00+00:00,649,1,0.8854,0.8741,0.011299999999999977,0.8966999999999999,,,,,,,,,14,20,1.0,3.0,-1.0235061946902655,-1.0235061946902655,SL,27,0.0,all_rows
XRPUSDT,1.0,2022-03-28T19:00:00+00:00,2022-03-28T21:35:00+00:00,654,1,0.8982,0.8856,0.012599999999999945,0.9107999999999999,,,,,,,,,14,20,1.0,3.0,-1.0213857142857143,-1.0213857142857143,SL,31,0.0,all_rows
XRPUSDT,1.0,2022-04-15T21:00:00+00:00,2022-04-15T23:20:00+00:00,1040,1,0.7791,0.7749,0.0041999999999999815,0.7833,,,,,,,,,14,20,1.0,3.0,-1.0556500000000002,-1.0556500000000002,SL,28,0.0,all_rows
XRPUSDT,1.0,2022-05-30T21:00:00+00:00,2022-05-31T05:20:00+00:00,2120,1,0.4165,0.4035,0.012999999999999956,0.42949999999999994,,,,,,,,,14,20,1.0,3.0,0.9903884615384615,0.9903884615384615,TP,100,0.0,all_rows
XRPUSDT,1.0,2022-06-06T10:00:00+00:00,2022-06-06T10:45:00+00:00,2277,1,0.4068,0.4056,0.0011999999999999789,0.408,,,,,,,,,14,20,1.0,3.0,0.8982999999999982,0.8982999999999982,TP,9,0.0,all_rows
XRPUSDT,1.0,2022-06-24T02:00:00+00:00,2022-06-24T09:10:00+00:00,2701,1,0.3644,0.344,0.02040000000000003,0.38480000000000003,,,,,,,,,14,20,1.0,3.0,0.9946411764705883,0.9946411764705883,TP,86,0.0,all_rows
XRPUSDT,1.0,2022-07-07T15:00:00+00:00,2022-07-07T16:05:00+00:00,3026,1,0.3338,0.3312,0.002599999999999991,0.3364,,,,,,,,,14,20,1.0,3.0,0.9614846153846153,0.9614846153846153,TP,13,0.0,all_rows
XRPUSDT,1.0,2022-07-07T19:00:00+00:00,2022-07-07T21:55:00+00:00,3030,1,0.3412,0.3374,0.0038000000000000256,0.34500000000000003,,,,,,,,,14,20,1.0,3.0,0.9730631578947371,0.9730631578947371,TP,35,0.0,all_rows
XRPUSDT,1.0,2022-07-08T01:00:00+00:00,2022-07-08T10:10:00+00:00,3036,1,0.354,0.3434,0.010599999999999998,0.3646,,,,,,,,,14,20,1.0,3.0,-1.0100188679245283,-1.0100188679245283,SL,110,0.0,all_rows
XRPUSDT,1.0,2022-07-15T02:00:00+00:00,2022-07-15T11:40:00+00:00,3205,1,0.3436,0.3349,0.008700000000000041,0.35230000000000006,,,,,,,,,14,20,1.0,3.0,-1.0118482758620688,-1.0118482758620688,SL,116,0.0,all_rows
