chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,28,14.0734,57.14,3.3267,80.5
2022-02,29,-1.0719,48.28,9.8689,31.6
2022-03,50,36.6645,50.0,4.163,37.0
2022-04,37,62.459,54.05,4.5867,47.3
2022-05,32,23.7731,43.75,9.8794,36.0
2022-06,31,-0.0546,41.94,6.5425,22.0
2022-07,48,55.4527,52.08,6.4672,56.0
2022-08,34,32.0345,50.0,9.8878,121.7
2022-09,35,19.4046,45.71,9.265,41.4
2022-10,36,-3.8824,52.78,6.8955,118.3
2022-11,34,14.3499,47.06,4.8451,93.6
2022-12,23,3.2182,39.13,5.9083,111.1
2023-01,36,1.9958,55.56,8.44,199.1
2023-02,19,9.8092,42.11,8.1247,79.2
2023-03,35,16.2065,51.43,5.2174,609.6
2023-04,39,18.9694,56.41,4.4898,56.3
2023-05,28,12.1913,64.29,2.2773,75.0
2023-06,33,23.0817,51.52,8.0434,211.8
2023-07,32,25.5814,50.0,4.0989,74.0
2023-08,30,20.2801,46.67,6.674,122.2
2023-09,38,42.0042,50.0,4.1403,196.9
2023-10,35,-2.3819,48.57,6.3608,38.9
2023-11,26,21.8627,61.54,2.3503,63.7
2023-12,31,8.9001,58.06,5.2014,30.8
2024-01,27,64.1707,62.96,2.9945,286.1
2024-02,19,-2.3757,26.32,7.4264,12.8
2024-03,31,0.1123,51.61,9.6665,732.0
2024-04,32,79.4359,56.25,4.1143,86.1
2024-05,37,46.1452,62.16,4.7318,31.3
2024-06,20,9.0418,55.0,3.4695,213.9
2024-07,40,5.6553,45.0,10.2824,259.2
2024-08,31,16.1,51.61,5.596,59.9
2024-09,30,14.5961,46.67,6.4662,50.6
2024-10,31,-6.5519,48.39,8.3966,67.5
2024-11,35,30.6449,60.0,4.9996,74.8
2024-12,29,69.8398,62.07,3.4446,62.9
2025-01,40,76.3709,52.5,4.3844,75.0
2025-02,22,10.4828,50.0,3.7548,48.6
2025-03,41,48.4089,53.66,4.1443,72.2
2025-04,30,14.3188,50.0,3.6019,70.0
2025-05,33,38.2399,42.42,7.8254,11.8
2025-06,31,42.1307,38.71,6.6874,107.3
2025-07,34,79.1426,61.76,3.1221,52.5
2025-08,35,6.8751,34.29,11.0612,9.9
2025-09,33,28.7444,42.42,5.3404,125.9
2025-10,24,38.565,50.0,5.6768,10.5
2025-11,33,31.5626,66.67,3.1681,297.3
2025-12,15,13.4405,66.67,3.1596,67.3
2026-01,25,10.5225,36.0,5.2547,143.9
2026-02,28,32.1222,50.0,6.9742,1241.5
