chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,3,-3.0244,0.0,2.0159,119.0
2022-02,1,-1.0115,0.0,0.0,19.0
2022-04,1,3.9963,100.0,0.0,21741.0
2022-06,2,-2.0186,0.0,1.0081,208.5
2022-08,1,-1.0148,0.0,0.0,50.0
2022-09,1,-1.0308,0.0,0.0,84.0
2022-11,2,-2.0127,0.0,1.0038,86.5
2023-03,1,-1.0036,0.0,0.0,146.0
2023-05,2,2.9683,50.0,0.0,1814.5
2023-06,1,3.9864,100.0,0.0,840.0
2023-08,1,-1.0191,0.0,0.0,64.0
2024-04,1,3.9946,100.0,0.0,158.0
2024-06,1,-1.0358,0.0,0.0,73.0
2024-08,1,3.9955,100.0,0.0,737.0
2024-11,1,-1.0045,0.0,0.0,69.0
2024-12,1,-1.0042,0.0,0.0,436.0
2025-01,1,-1.0138,0.0,0.0,5.0
2025-02,1,-1.0065,0.0,0.0,6.0
2025-04,1,3.9958,100.0,0.0,1521.0
2025-09,1,3.9777,100.0,0.0,731.0
2026-01,1,-1.0155,0.0,0.0,114.0
