chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,3,1.9756,33.33,1.0043,544.7
2022-02,1,-1.0115,0.0,0.0,19.0
2022-04,1,3.9963,100.0,0.0,21741.0
2022-06,2,2.9814,50.0,1.0081,1630.5
2022-08,1,-1.0148,0.0,0.0,50.0
2022-09,1,-1.0308,0.0,0.0,84.0
2022-11,3,-3.0222,0.0,2.0133,122.7
2022-12,1,3.9855,100.0,0.0,737.0
2023-03,1,-1.0036,0.0,0.0,146.0
2023-05,2,-2.0317,0.0,1.0124,175.5
2023-06,2,2.9678,50.0,1.0136,640.5
2023-08,3,-3.0249,0.0,2.0233,2300.3
2023-10,1,3.9875,100.0,0.0,1217.0
2024-04,1,-1.0054,0.0,0.0,128.0
2024-06,1,-1.0358,0.0,0.0,73.0
2024-07,2,7.9806,100.0,0.0,1237.5
2024-08,1,-1.0045,0.0,0.0,93.0
2024-11,1,-1.0045,0.0,0.0,645.0
2024-12,2,2.9921,50.0,1.0037,300.5
2025-01,1,-1.0138,0.0,0.0,75.0
2025-02,1,-1.0065,0.0,0.0,182.0
2025-04,1,-1.0042,0.0,0.0,20.0
2025-09,1,-1.0223,0.0,0.0,89.0
2025-10,1,-1.0042,0.0,0.0,571.0
2026-01,2,-2.0247,0.0,1.0155,202.0
