symbol,chunk,chunk_start_utc,chunk_end_utc,n_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,2022-01,2022-01-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,6,2.6136210749539543,3.513621074953959,0.9000000000000048,50.0,2.1122997238376024,2.7083333333333335
BTCUSDT,2022-02,2022-02-01T00:00:00+00:00,2022-03-01T00:00:00+00:00,5,-5.187314306037407,-3.487314306037402,1.7000000000000046,20.0,3.0808173803047003,0.6166666666666667
BTCUSDT,2022-03,2022-03-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,9,8.307534703581403,14.307534703581352,5.9999999999999485,77.77777777777779,1.0451362529590806,7.555555555555556
BTCUSDT,2022-04,2022-04-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,9,-1.3706113833547149,-3.5706113833546747,-2.1999999999999598,44.44444444444444,4.235291948445778,1.2870370370370372
BTCUSDT,2022-05,2022-05-01T00:00:00+00:00,2022-06-01T00:00:00+00:00,4,4.697574936733821,5.597574936733773,0.8999999999999524,75.0,1.0081885082137045,5.0
BTCUSDT,2022-06,2022-06-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,4,4.8128393624517445,-0.7871606375482612,-5.600000000000006,50.0,2.096887374883742,2.3125
BTCUSDT,2022-07,2022-07-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,15,38.30357643880606,19.903576438806027,-18.400000000000034,73.33333333333333,3.48966403714744,4.188888888888888
BTCUSDT,2022-08,2022-08-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,5,3.6196849045384987,-0.2803150954615088,-3.9000000000000075,60.0,1.435398377299716,0.9333333333333333
BTCUSDT,2022-09,2022-09-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,10,-10.303806828278926,-3.503806828278927,6.799999999999999,40.0,2.7881438179663034,5.625
BTCUSDT,2022-10,2022-10-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,5,-5.267085142545404,-1.8670851425453847,3.400000000000019,40.0,2.120008767250276,1.15
BTCUSDT,2022-11,2022-11-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,4,-4.280501188435621,-2.5805011884356266,1.6999999999999944,25.0,2.2112213853767484,43.770833333333336
BTCUSDT,2022-12,2022-12-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,4,-4.123918741641403,-0.7239187416413991,3.400000000000004,50.0,1.0151921540656206,10.583333333333334
BTCUSDT,2023-01,2023-01-01T00:00:00+00:00,2023-02-01T00:00:00+00:00,3,14.637211540809442,12.137211540809442,-2.5,66.66666666666666,0.0,3.3055555555555554
BTCUSDT,2023-02,2023-02-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,8,-8.747172542191967,1.152827457808053,9.90000000000002,37.5,4.316776116632671,3.8958333333333335
BTCUSDT,2023-03,2023-03-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,5,3.84091090714407,5.540910907144074,1.7000000000000037,40.0,2.056434237357395,25.85
BTCUSDT,2023-04,2023-04-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,6,2.6983617530986344,9.498361753098619,6.799999999999985,83.33333333333334,0.0,2.305555555555556
BTCUSDT,2023-05,2023-05-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,9,26.079027326161345,13.179027326161314,-12.90000000000003,55.55555555555556,2.063534622434827,3.1203703703703707
BTCUSDT,2023-06,2023-06-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,5,-5.569293052455797,-3.869293052455796,1.700000000000001,20.0,2.4962035787716115,5.233333333333333
