symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,8.0,2022-01-05T00:00:00+00:00,2022-01-05T11:50:00+00:00,5,1,45833.41,45445.57,387.8400000000038,48936.130000000034,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0354528233292075,0.664547176670798,BE,95
BTCUSDT,8.0,2022-01-05T20:00:00+00:00,2022-01-06T00:00:00+00:00,10,1,44671.93,44128.22,543.7099999999991,49021.60999999999,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.024648395284251,-1.024648395284251,SL,1
BTCUSDT,8.0,2022-01-10T12:00:00+00:00,2022-01-10T16:00:00+00:00,38,1,41564.26,41422.0,142.26000000000204,42702.34000000002,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0876513285533518,-1.0876513285533518,SL,1
BTCUSDT,8.0,2022-01-18T16:00:00+00:00,2022-01-19T03:40:00+00:00,87,1,41574.09,41260.0,314.0899999999965,44086.80999999997,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0397090865675447,0.6602909134324552,BE,93
BTCUSDT,8.0,2022-01-19T08:00:00+00:00,2022-01-19T12:15:00+00:00,91,1,41271.21,41133.73,137.47999999999593,42371.04999999997,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,7.909940624090774,5.409940624090774,BE,4
BTCUSDT,8.0,2022-01-21T00:00:00+00:00,2022-01-21T04:00:00+00:00,101,1,40662.06,40550.0,112.05999999999767,41558.53999999998,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.1088579154024651,-1.1088579154024651,SL,1
BTCUSDT,8.0,2022-02-04T20:00:00+00:00,2022-02-05T00:00:00+00:00,190,-1,40703.33,40875.0,171.66999999999825,39329.970000000016,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.071130651832004,-1.071130651832004,SL,1
BTCUSDT,8.0,2022-02-09T00:00:00+00:00,2022-02-09T06:40:00+00:00,215,-1,44021.58,44395.0,373.41999999999825,41034.220000000016,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0353662739007017,0.6646337260993022,BE,33
BTCUSDT,8.0,2022-02-17T20:00:00+00:00,2022-02-18T00:00:00+00:00,268,1,41177.1,40711.0,466.09999999999854,44905.89999999999,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.026503175284274,-1.026503175284274,SL,1
BTCUSDT,8.0,2022-02-21T20:00:00+00:00,2022-02-22T00:00:00+00:00,292,1,38114.5,37171.2,943.3000000000029,45660.90000000002,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0121216474080357,-1.0121216474080357,SL,1
BTCUSDT,8.0,2022-02-24T00:00:00+00:00,2022-02-24T04:00:00+00:00,305,1,37227.9,36963.2,264.70000000000437,39345.50000000004,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0421925576123907,-1.0421925576123907,SL,1
BTCUSDT,8.0,2022-03-01T00:00:00+00:00,2022-03-01T12:20:00+00:00,335,-1,43155.0,44341.0,1186.0,33667.0,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0109161045531196,-1.0109161045531196,SL,101
BTCUSDT,8.0,2022-03-05T00:00:00+00:00,2022-03-06T01:05:00+00:00,359,1,39127.7,38521.0,606.6999999999971,43981.299999999974,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0193477995714522,0.680652200428543,BE,254
BTCUSDT,8.0,2022-03-06T12:00:00+00:00,2022-03-06T19:45:00+00:00,368,1,38329.1,38056.0,273.09999999999854,40513.89999999999,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.042104467228122,0.6578955327718755,BE,46
BTCUSDT,8.0,2022-03-07T20:00:00+00:00,2022-03-08T01:05:00+00:00,376,1,37290.0,37150.8,139.1999999999971,38403.59999999998,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,7.919633620689654,5.419633620689654,BE,14
BTCUSDT,8.0,2022-03-14T00:00:00+00:00,2022-03-14T22:45:00+00:00,413,1,37743.0,37500.0,243.0,39687.0,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,7.953403703703704,7.953403703703704,TP,226
BTCUSDT,8.0,2022-03-22T12:00:00+00:00,2022-03-22T17:00:00+00:00,464,-1,42976.9,43517.7,540.7999999999956,38650.50000000004,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0238407359467459,0.6761592640532557,BE,13
BTCUSDT,8.0,2022-03-24T16:00:00+00:00,2022-03-24T21:35:00+00:00,477,-1,43970.7,44020.0,49.30000000000291,43576.299999999974,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.267570182555765,0.43242981744423487,BE,20
BTCUSDT,8.0,2022-03-27T00:00:00+00:00,2022-03-27T15:25:00+00:00,491,-1,44489.3,44785.0,295.6999999999971,42123.700000000026,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0451362529590806,-1.0451362529590806,SL,138
BTCUSDT,8.0,2022-03-27T16:00:00+00:00,2022-03-27T20:15:00+00:00,495,-1,44836.1,44922.0,85.90000000000146,44148.89999999999,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.156587077997669,0.5434129220022886,BE,4
BTCUSDT,8.0,2022-04-01T04:00:00+00:00,2022-04-01T12:20:00+00:00,522,1,44584.9,44206.2,378.70000000000437,47614.50000000004,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0353194349088986,0.6646805650911035,BE,53
BTCUSDT,8.0,2022-04-06T12:00:00+00:00,2022-04-06T16:00:00+00:00,554,1,44802.5,44349.7,452.8000000000029,48424.90000000002,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.0296836351590104,-1.0296836351590104,SL,1
BTCUSDT,8.0,2022-04-11T00:00:00+00:00,2022-04-11T09:35:00+00:00,581,1,42140.3,41838.0,302.3000000000029,44558.700000000026,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.041819682434667,-1.041819682434667,SL,68
BTCUSDT,8.0,2022-04-14T16:00:00+00:00,2022-04-14T20:00:00+00:00,603,1,39943.2,39908.0,35.19999999999709,40224.799999999974,0.9,0.7,6.5,5.5,,,40,65,2,5.0,3.0,-1.3404250000000282,-1.3404250000000282,SL,1
