symbol,chunk,exit_ts,baseline_r,managed_r,reason,hold_5m_bars
LINKUSDT,2022-03,2022-03-07T20:00:00+00:00,-1.036242307692308,-1.036242307692308,SL,1
LINKUSDT,2022-04,2022-04-06T16:35:00+00:00,-1.0199126582278482,-1.0199126582278482,SL,8
LINKUSDT,2022-04,2022-04-07T19:45:00+00:00,-1.0229930693069307,0.6770069306930737,BE,46
LINKUSDT,2022-04,2022-04-09T10:30:00+00:00,-1.0416009174311927,0.6583990825688057,BE,127
LINKUSDT,2022-04,2022-04-11T08:35:00+00:00,-1.03488671875,-1.03488671875,SL,56
LINKUSDT,2022-04,2022-04-11T12:05:00+00:00,-1.0616391304347834,-1.0616391304347834,SL,2
LINKUSDT,2022-04,2022-04-14T15:35:00+00:00,-1.0111229551451189,-1.0111229551451189,SL,236
LINKUSDT,2022-04,2022-04-18T08:00:00+00:00,13.935101639344262,0.6351016393442622,BE,1
LINKUSDT,2022-04,2022-04-25T08:00:00+00:00,-1.0712075471698101,-1.0712075471698101,SL,1
LINKUSDT,2022-04,2022-04-26T16:00:00+00:00,-1.1580625000000058,-1.1580625000000058,SL,1
LINKUSDT,2022-04,2022-04-29T13:10:00+00:00,-1.0364980000000001,0.6635020000000051,BE,15
LINKUSDT,2022-04,2022-04-29T20:20:00+00:00,-1.038441935483871,0.6615580645161214,BE,5
LINKUSDT,2022-05,2022-05-03T20:15:00+00:00,-1.0472782608695645,-1.0472782608695645,SL,4
LINKUSDT,2022-05,2022-05-06T12:00:00+00:00,-1.0271743589743587,0.6728256410256443,BE,1
LINKUSDT,2022-05,2022-05-08T02:05:00+00:00,-1.0130833333333333,-1.0130833333333333,SL,26
LINKUSDT,2022-05,2022-05-15T13:45:00+00:00,-1.0045806451612904,0.6954193548387096,BE,118
LINKUSDT,2022-05,2022-05-26T12:10:00+00:00,-1.0321849999999997,0.6678150000000063,BE,3
LINKUSDT,2022-05,2022-05-27T23:40:00+00:00,-1.012171974522293,-1.012171974522293,SL,45
LINKUSDT,2022-06,2022-06-12T05:00:00+00:00,-1.013956338028169,-1.013956338028169,SL,13
LINKUSDT,2022-06,2022-06-13T00:00:00+00:00,-1.1707545454545436,-1.1707545454545436,SL,1
LINKUSDT,2022-06,2022-06-18T20:00:00+00:00,-1.0876157894736835,-1.0876157894736835,SL,1
