symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
BTCUSDT,28,40,70,4,5.0,1.5,1.0,5.0,4.0,185,-59.54797330755061,-59.54797330755064,-2.842170943040401e-14,33.513513513513516,68.22566446401447,21.063063063063066
BTCUSDT,28,40,70,4,8.0,1.5,1.0,5.0,4.0,185,-104.54797330755062,-60.54797330755065,43.99999999999997,33.513513513513516,67.22566446401449,21.161711711711714
ETHUSDT,28,40,70,4,8.0,1.5,1.0,5.0,4.0,182,-104.98350906228366,-61.98350906228364,43.00000000000002,32.967032967032964,64.314006223207,12.04945054945055
ETHUSDT,28,40,70,4,5.0,1.5,1.0,5.0,4.0,182,-80.98350906228364,-62.98350906228364,18.000000000000007,32.967032967032964,65.314006223207,11.909340659340659
LINKUSDT,28,40,70,4,8.0,1.5,1.0,5.0,4.0,174,-74.34018323994482,-40.34018323994485,33.99999999999997,36.206896551724135,44.08321114095509,26.091954022988507
LINKUSDT,28,40,70,4,5.0,1.5,1.0,5.0,4.0,174,-74.34018323994484,-41.34018323994484,32.99999999999999,36.206896551724135,42.68366628874067,25.914272030651343
SOLUSDT,28,40,70,4,8.0,1.5,1.0,5.0,4.0,182,-35.9232901880313,-15.92329018803131,19.999999999999993,39.56043956043956,23.03678822937306,24.020604395604394
SOLUSDT,28,40,70,4,5.0,1.5,1.0,5.0,4.0,182,-32.92329018803131,-16.92329018803131,16.0,39.56043956043956,23.43638527963648,20.279761904761905
XRPUSDT,28,40,70,4,5.0,1.5,1.0,5.0,4.0,146,33.17054966664486,-4.829450333355134,-37.99999999999999,41.0958904109589,21.544643315858767,43.75
XRPUSDT,28,40,70,4,8.0,1.5,1.0,5.0,4.0,146,27.170549666644895,-7.829450333355121,-35.000000000000014,41.0958904109589,21.544643315858767,44.497716894977174
