rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
28,40,70,2,1.0,1.0,0.8,6.5,5.5,923,-142.44009573256514,-142.44009573256514,0.0,45.82881906825569,64.69831444263801
28,40,70,2,0.7,1.0,0.8,6.5,5.5,923,-148.64009573256521,-148.64009573256521,0.0,53.521126760563384,56.36331751835127
28,40,70,2,14.0,1.0,0.8,6.5,5.5,923,-178.44009573256503,-178.44009573256503,0.0,5.850487540628386,128.27154796671346
28,40,70,2,7.0,1.0,0.8,6.5,5.5,923,-220.44009573256508,-220.44009573256508,0.0,10.400866738894909,112.12696419416639
21,40,70,2,1.0,1.0,0.8,6.5,5.5,1238,-230.40787381822244,-230.40787381822244,0.0,45.07269789983845,92.76951028908451
21,40,70,2,0.7,1.0,0.8,6.5,5.5,1238,-240.0078738182219,-240.0078738182219,0.0,52.50403877221325,93.76951028908441
7,40,70,2,14.0,1.0,0.8,6.5,5.5,3375,-240.05272997255,-240.05272997255,0.0,6.844444444444444,261.9757957060066
14,40,70,2,14.0,1.0,0.8,6.5,5.5,1839,-263.936768490197,-263.936768490197,0.0,6.307775965198477,148.99644900930082
21,40,70,2,14.0,1.0,0.8,6.5,5.5,1238,-298.4078738182224,-298.4078738182224,0.0,5.654281098546042,183.94941349654036
21,40,70,2,7.0,1.0,0.8,6.5,5.5,1238,-340.4078738182224,-340.4078738182224,0.0,10.177705977382876,149.852654880143
14,40,70,2,7.0,1.0,0.8,6.5,5.5,1839,-379.9367684901969,-379.9367684901969,0.0,11.038607939097336,141.09740882762205
14,40,70,2,1.0,1.0,0.8,6.5,5.5,1839,-383.936768490197,-383.936768490197,0.0,43.991299619358344,141.43042352294245
14,40,70,2,0.7,1.0,0.8,6.5,5.5,1839,-390.6367684901968,-390.6367684901968,0.0,51.44100054377379,143.69535046857044
7,40,70,2,7.0,1.0,0.8,6.5,5.5,3375,-489.05272997254997,-489.05272997254997,0.0,11.911111111111111,203.62796008421878
7,40,70,2,1.0,1.0,0.8,6.5,5.5,3375,-663.05272997255,-663.05272997255,0.0,45.03703703703704,189.83938905672719
7,40,70,2,0.7,1.0,0.8,6.5,5.5,3375,-685.8527299725502,-685.8527299725502,0.0,52.474074074074075,202.27959795578755
