symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
ETHUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,85,60.690938701977146,60.690938701977146,0.0,11.76470588235294,22.941143326416682,56.590196078431376
ETHUSDT,7,45,65,2,14.0,1.0,0.8,6.5,5.5,94,48.55245162626506,48.55245162626506,0.0,10.638297872340425,39.546522887976096,20.041666666666668
ETHUSDT,7,35,75,2,14.0,1.0,0.8,6.5,5.5,83,45.2762350083173,45.2762350083173,0.0,10.843373493975903,32.087436756422825,46.905622489959846
ETHUSDT,7,40,65,2,14.0,1.0,0.8,6.5,5.5,92,35.032695047138304,35.032695047138304,0.0,9.782608695652174,38.43542333383722,18.06159420289855
ETHUSDT,7,45,65,2,7.0,1.0,0.8,6.5,5.5,94,18.55245162626507,18.55245162626507,0.0,15.957446808510639,38.10783536691953,9.665780141843971
ETHUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,85,14.690938701977139,14.690938701977139,0.0,15.294117647058824,18.828992844269564,28.403921568627453
ETHUSDT,7,35,75,2,7.0,1.0,0.8,6.5,5.5,83,6.276235008317297,6.276235008317297,0.0,14.457831325301203,15.556799773434772,24.483935742971884
ETHUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,85,2.6909387019771307,2.6909387019771307,0.0,54.11764705882353,12.403646365590468,3.538235294117648
ETHUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,85,2.490938701977219,2.490938701977219,0.0,63.52941176470588,11.8176922931535,2.5578431372549018
ETHUSDT,7,40,65,2,7.0,1.0,0.8,6.5,5.5,92,-3.967304952861695,-3.967304952861695,0.0,13.043478260869565,40.26587888434015,12.665760869565217
ETHUSDT,7,35,75,2,1.0,1.0,0.8,6.5,5.5,83,-9.72376499168272,-9.72376499168272,0.0,48.19277108433735,19.27124069269187,3.3744979919678704
ETHUSDT,7,35,75,2,0.7,1.0,0.8,6.5,5.5,83,-13.223764991682549,-13.223764991682549,0.0,54.21686746987952,18.98586026539638,2.881526104417671
ETHUSDT,7,40,65,2,0.7,1.0,0.8,6.5,5.5,92,-16.667304952861627,-16.667304952861627,0.0,53.2608695652174,25.302056143943872,2.659420289855072
ETHUSDT,7,40,65,2,1.0,1.0,0.8,6.5,5.5,92,-17.967304952861696,-17.967304952861696,0.0,44.565217391304344,31.935878075436772,2.939311594202899
ETHUSDT,7,45,65,2,0.7,1.0,0.8,6.5,5.5,94,-28.3475483737349,-28.3475483737349,0.0,45.744680851063826,31.69557190168052,2.584219858156028
ETHUSDT,7,45,65,2,1.0,1.0,0.8,6.5,5.5,94,-37.44754837373493,-37.44754837373493,0.0,34.04255319148936,41.958755252915786,3.1560283687943262
LINKUSDT,7,45,65,2,14.0,1.0,0.8,6.5,5.5,110,13.128485246552804,13.128485246552804,0.0,8.181818181818182,36.23999802614848,17.681818181818183
LINKUSDT,7,35,75,2,1.0,1.0,0.8,6.5,5.5,77,-2.127111406884744,-2.127111406884744,0.0,53.246753246753244,9.111340552790974,1.554112554112554
LINKUSDT,7,35,75,2,0.7,1.0,0.8,6.5,5.5,77,-11.027111406884767,-11.027111406884767,0.0,55.84415584415584,12.285290281674879,1.1179653679653678
LINKUSDT,7,35,75,2,7.0,1.0,0.8,6.5,5.5,77,-12.127111406884742,-12.127111406884742,0.0,11.688311688311687,36.63430806879604,12.883116883116884
LINKUSDT,7,45,65,2,7.0,1.0,0.8,6.5,5.5,110,-17.87151475344717,-17.87151475344717,0.0,11.818181818181818,27.033826982968204,12.94090909090909
LINKUSDT,7,45,65,2,1.0,1.0,0.8,6.5,5.5,110,-19.871514753447176,-19.871514753447176,0.0,46.36363636363636,21.786279961659158,2.9742424242424237
LINKUSDT,7,45,65,2,0.7,1.0,0.8,6.5,5.5,110,-19.871514753447304,-19.871514753447304,0.0,54.54545454545454,24.23382698296829,2.1583333333333337
LINKUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,103,-20.02541713946511,-20.02541713946511,0.0,46.601941747572816,21.86864423306116,1.7063106796116507
LINKUSDT,7,35,75,2,14.0,1.0,0.8,6.5,5.5,76,-23.10980436463122,-23.10980436463122,0.0,5.263157894736842,38.1194214861572,17.138157894736842
LINKUSDT,7,40,65,2,1.0,1.0,0.8,6.5,5.5,103,-23.64667791773741,-23.64667791773741,0.0,43.689320388349515,22.32209155410104,2.5720064724919083
LINKUSDT,7,40,65,2,0.7,1.0,0.8,6.5,5.5,103,-26.94667791773748,-26.94667791773748,0.0,49.51456310679612,25.6220915541011,1.6812297734627837
LINKUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,103,-27.625417139465213,-27.625417139465213,0.0,50.48543689320388,29.513601264311294,1.2742718446601944
LINKUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,103,-36.025417139465105,-36.025417139465105,0.0,9.70873786407767,43.213601637871264,12.61407766990291
LINKUSDT,7,40,65,2,7.0,1.0,0.8,6.5,5.5,103,-41.64667791773741,-41.64667791773741,0.0,8.737864077669903,40.32209155410104,16.94093851132686
LINKUSDT,7,40,65,2,14.0,1.0,0.8,6.5,5.5,103,-53.64667791773741,-53.64667791773741,0.0,3.8834951456310676,59.245320650542716,20.42637540453075
LINKUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,102,-70.0081100972116,-70.0081100972116,0.0,2.941176470588235,73.07798755837389,16.60049019607843
XRPUSDT,7,35,60,2,14.0,1.0,0.8,6.5,5.5,94,3.3372896113211024,3.3372896113211024,0.0,7.446808510638298,32.104585757518464,25.826241134751772
XRPUSDT,7,35,60,2,1.0,1.0,0.8,6.5,5.5,94,-1.6627103886788852,-1.6627103886788852,0.0,52.12765957446809,15.061924786585413,2.672872340425532
XRPUSDT,7,35,60,2,0.7,1.0,0.8,6.5,5.5,94,-6.462710388678631,-6.462710388678631,0.0,58.51063829787234,13.51547325566915,1.2730496453900708
XRPUSDT,7,45,65,2,0.7,1.0,0.8,6.5,5.5,96,-11.763069834749075,-11.763069834749075,0.0,57.291666666666664,15.747510563819507,1.665798611111111
XRPUSDT,7,45,65,2,1.0,1.0,0.8,6.5,5.5,96,-15.263069834748919,-15.263069834748919,0.0,46.875,20.84751056381942,2.7161458333333335
XRPUSDT,7,35,75,2,1.0,1.0,0.8,6.5,5.5,87,-18.942170235025007,-18.942170235025007,0.0,44.827586206896555,19.965970884343765,1.8055555555555556
XRPUSDT,7,40,65,2,0.7,1.0,0.8,6.5,5.5,104,-19.849378377491387,-19.849378377491387,0.0,53.84615384615385,21.397450874440473,1.3076923076923077
XRPUSDT,7,40,65,2,1.0,1.0,0.8,6.5,5.5,104,-20.749378377491468,-20.749378377491468,0.0,45.19230769230769,23.41784114948512,2.0288461538461537
XRPUSDT,7,35,60,2,7.0,1.0,0.8,6.5,5.5,94,-21.662710388678896,-21.662710388678896,0.0,10.638297872340425,26.527918101444733,17.08776595744681
XRPUSDT,7,35,75,2,0.7,1.0,0.8,6.5,5.5,87,-22.442170235024815,-22.442170235024815,0.0,50.57471264367817,22.629762785813636,1.0038314176245207
XRPUSDT,7,45,65,2,14.0,1.0,0.8,6.5,5.5,96,-30.26306983474891,-30.26306983474891,0.0,5.208333333333334,29.586959676789803,24.5390625
