rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
7,45,65,2,14.0,1.0,0.8,6.5,5.5,300,31.417867038068955,31.417867038068955,0.0,8.0,39.546522887976096
7,35,60,2,14.0,1.0,0.8,6.5,5.5,281,-5.979881783913351,-5.979881783913351,0.0,7.117437722419929,73.07798755837389
7,35,75,2,14.0,1.0,0.8,6.5,5.5,246,-16.775739591338944,-16.775739591338944,0.0,6.9105691056910565,56.01679184346416
7,35,60,2,1.0,1.0,0.8,6.5,5.5,282,-18.997188826166862,-18.997188826166862,0.0,50.709219858156025,21.86864423306116
7,35,75,2,1.0,1.0,0.8,6.5,5.5,247,-30.793046633592468,-30.793046633592468,0.0,48.582995951417004,19.965970884343765
7,35,60,2,0.7,1.0,0.8,6.5,5.5,282,-31.597188826166626,-31.597188826166626,0.0,57.09219858156028,29.513601264311294
7,45,65,2,7.0,1.0,0.8,6.5,5.5,300,-32.582132961931,-32.582132961931,0.0,12.333333333333334,38.10783536691953
7,35,75,2,7.0,1.0,0.8,6.5,5.5,247,-40.79304663359246,-40.79304663359246,0.0,11.740890688259107,43.52048445133234
7,35,60,2,7.0,1.0,0.8,6.5,5.5,282,-42.99718882616686,-42.99718882616686,0.0,11.702127659574469,43.213601637871264
7,35,75,2,0.7,1.0,0.8,6.5,5.5,247,-46.69304663359213,-46.69304663359213,0.0,53.441295546558706,22.629762785813636
7,45,65,2,0.7,1.0,0.8,6.5,5.5,300,-59.98213296193128,-59.98213296193128,0.0,52.666666666666664,31.69557190168052
7,40,65,2,14.0,1.0,0.8,6.5,5.5,299,-60.36336124809057,-60.36336124809057,0.0,6.0200668896321075,66.12648687973099
7,40,65,2,1.0,1.0,0.8,6.5,5.5,299,-62.36336124809057,-62.36336124809057,0.0,44.48160535117057,31.935878075436772
7,40,65,2,0.7,1.0,0.8,6.5,5.5,299,-63.46336124809049,-63.46336124809049,0.0,52.17391304347826,25.6220915541011
7,45,65,2,1.0,1.0,0.8,6.5,5.5,300,-72.58213296193102,-72.58213296193102,0.0,42.666666666666664,41.958755252915786
7,40,65,2,7.0,1.0,0.8,6.5,5.5,299,-90.36336124809057,-90.36336124809057,0.0,10.033444816053512,63.778369050151085
