symbol,rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
ETHUSDT,7,35,60,4,3.0,3.0,1.5,6.5,5.5,69,19.805992009706827,19.805992009706827,0.0,33.33333333333333,12.616783281507788,26.777777777777775
ETHUSDT,7,35,60,4,3.0,2.0,1.0,6.5,5.5,69,19.805992009706827,15.805992009706827,-4.0,43.47826086956522,10.616783281507788,15.646135265700481
ETHUSDT,7,35,60,4,3.0,2.5,1.0,6.5,5.5,69,19.805992009706827,15.805992009706827,-4.0,39.130434782608695,10.616783281507788,16.919082125603865
ETHUSDT,7,35,60,4,3.0,2.0,0.9,6.5,5.5,69,19.805992009706827,14.205992009706875,-5.599999999999952,43.47826086956522,10.716783281507777,15.805555555555554
ETHUSDT,7,35,60,4,3.0,2.5,1.2,6.5,5.5,69,19.805992009706827,12.405992009706853,-7.399999999999974,39.130434782608695,10.41678328150779,16.878019323671495
ETHUSDT,7,35,60,4,3.0,1.5,1.0,6.5,5.5,69,19.805992009706827,11.805992009706829,-7.999999999999998,47.82608695652174,10.61678328150779,12.23792270531401
ETHUSDT,7,35,60,4,3.0,1.2,0.9,6.5,5.5,69,19.805992009706827,-1.4940079902930798,-21.29999999999991,50.72463768115942,11.871454978883515,10.064009661835748
LINKUSDT,7,35,60,4,3.0,1.2,0.9,6.5,5.5,99,-29.538953588109916,-23.43895358810992,6.099999999999994,42.42424242424242,28.63132890106091,3.3333333333333335
LINKUSDT,7,35,60,4,3.0,1.5,1.0,6.5,5.5,99,-29.538953588109916,-25.53895358810991,4.000000000000007,38.38383838383838,28.60836427222683,4.9132996632996635
LINKUSDT,7,35,60,4,3.0,3.0,1.5,6.5,5.5,99,-29.538953588109916,-29.538953588109916,0.0,20.2020202020202,38.47393056469636,8.212121212121213
LINKUSDT,7,35,60,4,3.0,2.0,0.9,6.5,5.5,99,-29.538953588109916,-30.938953588109936,-1.40000000000002,27.27272727272727,37.02576822969028,7.633838383838385
LINKUSDT,7,35,60,4,3.0,2.0,1.0,6.5,5.5,99,-29.538953588109916,-31.53895358810991,-1.999999999999993,27.27272727272727,37.925768229690256,7.573232323232324
LINKUSDT,7,35,60,4,3.0,2.5,1.0,6.5,5.5,99,-29.538953588109916,-31.538953588109916,-2.0,23.232323232323232,39.925768229690256,7.984006734006736
LINKUSDT,7,35,60,4,3.0,2.5,1.2,6.5,5.5,99,-29.538953588109916,-31.93895358810995,-2.400000000000034,23.232323232323232,40.72576822969028,7.527777777777779
XRPUSDT,7,35,60,4,3.0,1.2,0.9,6.5,5.5,90,-17.057980662429024,-3.1579806624289866,13.900000000000038,50.0,13.962555586187039,4.463888888888889
XRPUSDT,7,35,60,4,3.0,1.5,1.0,6.5,5.5,90,-17.057980662429024,-5.057980662429,12.000000000000025,43.333333333333336,12.433467305785523,5.467592592592593
XRPUSDT,7,35,60,4,3.0,2.0,1.0,6.5,5.5,90,-17.057980662429024,-15.057980662429,2.000000000000025,30.0,18.881279106902156,9.885185185185184
XRPUSDT,7,35,60,4,3.0,2.0,0.9,6.5,5.5,90,-17.057980662429024,-16.35798066242905,0.6999999999999744,30.0,20.18127910690221,9.887962962962964
XRPUSDT,7,35,60,4,3.0,2.5,1.0,6.5,5.5,90,-17.057980662429024,-17.057980662429024,0.0,26.666666666666668,20.881279106902177,10.464814814814817
XRPUSDT,7,35,60,4,3.0,3.0,1.5,6.5,5.5,90,-17.057980662429024,-17.057980662429024,0.0,22.22222222222222,23.438726071894813,11.891666666666667
XRPUSDT,7,35,60,4,3.0,2.5,1.2,6.5,5.5,90,-17.057980662429024,-17.257980662429006,-0.19999999999998153,26.666666666666668,21.081279106902173,9.520370370370369
