rsi_period,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,total_trades,managed_total_r,baseline_total_r,delta_m_minus_b,weighted_win_pct,max_asset_dd_r
7,35,60,4,14.0,0.9,0.7,6.5,5.5,256,-18.95338299269627,23.246617007303794,-42.20000000000007,55.078125,33.979237085509865
7,35,60,5,14.0,0.9,0.7,6.5,5.5,234,-20.514141499962623,17.185858500037536,-37.700000000000166,53.84615384615385,33.923952738889284
7,35,60,4,14.0,1.0,0.8,6.5,5.5,256,-20.55338299269603,23.246617007303794,-43.79999999999982,52.734375,30.834280054259636
7,35,60,5,14.0,1.0,0.8,6.5,5.5,234,-21.8141414999623,17.185858500037536,-38.99999999999984,51.70940170940171,30.978995707639157
7,35,60,3,14.0,0.9,0.7,6.5,5.5,263,-22.954532890648508,-0.8545328906484997,-22.10000000000001,54.752851711026615,34.04740928230814
7,35,60,5,14.0,1.0,0.7,6.5,5.5,234,-24.214141499962583,17.185858500037536,-41.40000000000012,51.70940170940171,34.97899570763929
7,35,60,3,14.0,1.0,0.8,6.5,5.5,263,-24.25453289064837,-0.8545328906484997,-23.39999999999987,52.47148288973384,30.70245225105797
7,35,60,4,14.0,1.0,0.7,6.5,5.5,256,-29.153382992696265,23.246617007303794,-52.40000000000006,52.734375,35.034280054259874
7,35,60,2,14.0,0.9,0.7,6.5,5.5,281,-32.87988178391335,-5.979881783913351,-26.89999999999999,53.380782918149464,33.59629422205777
7,35,60,3,14.0,1.0,0.7,6.5,5.5,263,-33.15453289064851,-0.8545328906484997,-32.30000000000001,52.47148288973384,35.102452251058146
7,35,60,2,14.0,1.0,0.8,6.5,5.5,281,-35.379881783913184,-5.979881783913351,-29.39999999999984,50.88967971530249,31.851337190807556
7,35,60,2,14.0,1.0,0.7,6.5,5.5,281,-44.77988178391333,-5.979881783913351,-38.79999999999998,50.88967971530249,36.351337190807776
