symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
XRPUSDT,2.5,2024-03-11T20:00:00+00:00,2024-03-11T21:00:00+00:00,46,-1,0.7316,0.7455,0.013900000000000023,0.69685,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,2.4842100719424463,0.684210071942446,BE,13
XRPUSDT,2.5,2024-04-12T20:00:00+00:00,2024-04-13T19:55:00+00:00,238,1,0.5364,0.4907,0.04569999999999996,0.65065,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0035212253829322,-1.0035212253829322,SL,288
XRPUSDT,2.5,2024-04-13T20:00:00+00:00,2024-04-13T20:05:00+00:00,244,1,0.4916,0.4686,0.022999999999999965,0.5490999999999999,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0064121739130434,-1.0064121739130434,SL,2
XRPUSDT,2.5,2024-04-14T12:00:00+00:00,2024-04-14T22:05:00+00:00,248,1,0.4823,0.4636,0.018699999999999994,0.52905,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,2.492262566844921,0.6922625668449195,BE,122
XRPUSDT,2.5,2024-06-07T20:00:00+00:00,2024-07-04T02:00:00+00:00,574,1,0.4929,0.4475,0.045399999999999996,0.6064,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0032570484581498,-1.0032570484581498,SL,7561
XRPUSDT,2.5,2024-07-04T16:00:00+00:00,2024-07-04T18:15:00+00:00,735,1,0.4444,0.4377,0.006700000000000039,0.4611500000000001,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0198985074626865,-1.0198985074626865,SL,28
XRPUSDT,2.5,2024-07-13T08:00:00+00:00,2024-07-13T08:00:00+00:00,787,-1,0.5151,0.5157,0.0006000000000000449,0.5135999999999998,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.2575499999999806,-1.2575499999999806,SL,1
XRPUSDT,2.5,2024-07-17T08:00:00+00:00,2024-07-17T08:35:00+00:00,811,-1,0.6088,0.6176,0.00880000000000003,0.5868,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0207545454545455,-1.0207545454545455,SL,8
XRPUSDT,2.5,2024-07-18T00:00:00+00:00,2024-07-18T01:10:00+00:00,815,-1,0.6256,0.6376,0.0119999999999999,0.5956000000000004,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,2.4843599999999952,0.6843600000000026,BE,15
XRPUSDT,2.5,2024-08-05T04:00:00+00:00,2024-08-05T06:20:00+00:00,924,1,0.473,0.4497,0.023299999999999987,0.53125,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0060901287553647,-1.0060901287553647,SL,29
XRPUSDT,2.5,2024-09-06T20:00:00+00:00,2024-09-06T20:10:00+00:00,1120,1,0.5151,0.5125,0.0026000000000000467,0.5216000000000001,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.0594346153846144,0.6405653846153899,BE,3
XRPUSDT,2.5,2024-09-14T08:00:00+00:00,2024-09-14T08:15:00+00:00,1165,-1,0.5791,0.5803,0.0012000000000000899,0.5760999999999997,0.9,0.7,6.5,5.5,,,30,70,2,5.0,3.0,-1.1447749999999892,0.5552250000000108,BE,4
