stream,sym,exit_ts_utc,managed_r,cum_r
S1,PAXGUSDT,2025-04-22T16:35:00+00:00,-1.058933,-1.0589
S1,PAXGUSDT,2025-04-22T19:30:00+00:00,-1.060306,-2.1192
S1,PAXGUSDT,2025-04-22T21:25:00+00:00,-1.073718,-3.193
S1,PAXGUSDT,2025-05-06T05:45:00+00:00,-1.038206,-4.2312
S1,PAXGUSDT,2025-05-08T16:20:00+00:00,-1.050335,-5.2815
S1,PAXGUSDT,2025-05-09T01:35:00+00:00,-1.051786,-6.3333
S1,PAXGUSDT,2025-05-11T22:45:00+00:00,-1.056382,-7.3897
S1,PAXGUSDT,2025-05-28T23:35:00+00:00,-1.039606,-8.4293
S1,PAXGUSDT,2025-06-06T14:20:00+00:00,-1.062707,-9.492
S1,PAXGUSDT,2025-06-09T00:45:00+00:00,-1.070988,-10.563
S1,PAXGUSDT,2025-06-22T22:00:00+00:00,-1.053181,-11.6161
S1,PAXGUSDT,2025-07-01T18:25:00+00:00,-1.075125,-12.6913
S1,PAXGUSDT,2025-07-22T02:00:00+00:00,-1.084521,-13.7758
S1,PAXGUSDT,2025-07-23T13:20:00+00:00,-1.073893,-14.8497
S1,PAXGUSDT,2025-07-24T05:40:00+00:00,-1.098952,-15.9486
S1,PAXGUSDT,2025-07-24T09:15:00+00:00,-1.111694,-17.0603
S1,PAXGUSDT,2025-08-17T23:15:00+00:00,-1.054387,-18.1147
S1,PAXGUSDT,2025-08-18T05:30:00+00:00,-1.124788,-19.2395
S1,PAXGUSDT,2025-08-25T21:00:00+00:00,-1.076392,-20.3159
S1,PAXGUSDT,2025-09-01T06:35:00+00:00,11.965493,-8.3504
S1,PAXGUSDT,2025-09-01T12:35:00+00:00,-1.073069,-9.4235
S1,PAXGUSDT,2025-09-05T14:05:00+00:00,11.920054,2.4966
S1,PAXGUSDT,2025-09-06T15:40:00+00:00,11.922922,14.4195
S1,PAXGUSDT,2025-09-06T16:15:00+00:00,11.922986,26.3425
S1,PAXGUSDT,2025-09-17T01:35:00+00:00,-1.073253,25.2692
S1,PAXGUSDT,2025-09-17T18:40:00+00:00,-1.06389,24.2053
S1,PAXGUSDT,2025-09-22T12:20:00+00:00,-1.08552,23.1198
S1,PAXGUSDT,2025-09-23T19:15:00+00:00,-1.058011,22.0618
S1,PAXGUSDT,2025-09-30T07:50:00+00:00,-1.051901,21.0099
S1,PAXGUSDT,2025-09-30T09:45:00+00:00,-1.061088,19.9488
S1,PAXGUSDT,2025-10-06T06:05:00+00:00,-1.072998,18.8758
S1,PAXGUSDT,2025-10-08T04:00:00+00:00,11.932598,30.8084
S1,PAXGUSDT,2025-10-10T21:15:00+00:00,-1.082367,29.7261
S1,PAXGUSDT,2025-10-10T21:15:00+00:00,-1.075903,28.6502
S1,PAXGUSDT,2025-10-10T21:15:00+00:00,-1.053471,27.5967
S1,PAXGUSDT,2025-10-20T14:00:00+00:00,-1.030372,26.5663
S1,PAXGUSDT,2025-11-13T18:30:00+00:00,-1.040553,25.5258
S1,PAXGUSDT,2025-11-13T18:35:00+00:00,-1.041127,24.4846
S1,PAXGUSDT,2025-11-14T13:20:00+00:00,-1.06834,23.4163
S1,PAXGUSDT,2025-12-15T14:15:00+00:00,-1.101652,22.3146
S1,PAXGUSDT,2025-12-22T15:55:00+00:00,11.955492,34.2701
S1,PAXGUSDT,2025-12-23T01:00:00+00:00,11.852478,46.1226
S1,PAXGUSDT,2025-12-24T00:40:00+00:00,11.877852,58.0005
S1,PAXGUSDT,2025-12-26T17:30:00+00:00,-1.054101,56.9464
S1,PAXGUSDT,2025-12-29T14:00:00+00:00,-1.09452,55.8518
S1,PAXGUSDT,2025-12-29T14:00:00+00:00,-1.096886,54.755
S1,PAXGUSDT,2025-12-31T05:50:00+00:00,-1.026291,53.7287
S1,PAXGUSDT,2026-01-12T13:05:00+00:00,11.953286,65.6819
S1,PAXGUSDT,2026-01-12T13:05:00+00:00,11.923397,77.6053
S1,PAXGUSDT,2026-01-12T14:25:00+00:00,-1.054685,76.5507
S1,PAXGUSDT,2026-01-16T15:30:00+00:00,-1.058751,75.4919
S1,PAXGUSDT,2026-01-19T11:40:00+00:00,-1.070484,74.4214
S1,PAXGUSDT,2026-01-21T17:30:00+00:00,-1.035749,73.3857
