stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,20,0.0,-1.0669,-21.34,0,0,20
S1,1-2R,4,0.0,-1.0419,-4.17,0,0,4
S1,2-3.5R,6,0.0,-1.0482,-6.29,0,0,6
S1,3.5-6.5R,7,0.0,-1.0724,-7.51,0,0,7
S1,6.5-10R,6,0.0,-1.0644,-6.39,0,0,6
S1,>10R,14,78.57,9.1348,127.89,11,0,3
S2,0-1R,41,0.0,-1.0727,-43.98,0,0,41
S2,1-2R,10,0.0,-1.0614,-10.61,0,0,10
S2,2-3.5R,18,77.78,2.0296,36.53,14,0,4
S2,3.5-6.5R,2,100.0,2.8507,5.7,2,0,0
S2,<=0R,2,0.0,-1.1205,-2.24,0,0,2
S3,0-1R,2,0.0,-1.1721,-2.34,0,0,2
S3,1-2R,1,0.0,-1.014,-1.01,0,0,1
S3,3.5-6.5R,2,100.0,4.2176,8.44,2,0,0
S4,0-1R,6,0.0,-1.0446,-6.27,0,0,6
S4,1-2R,1,0.0,-1.0469,-1.05,0,0,1
S4,2-3.5R,1,0.0,-1.0783,-1.08,0,0,1
S4,3.5-6.5R,1,100.0,0.9409,0.94,0,1,0
S4,6.5-10R,2,100.0,0.942,1.88,0,2,0
S4,>10R,3,100.0,19.4355,58.31,3,0,0
