stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S2,PAXGUSDT,-1,2025-03-30T20:00:00+00:00,2025-03-31T03:45:00+00:00,2025,3117.11,3130.17830233,3077.905093,13.06830233,3.0,-1.071557,-1.071557,0.0,SL,94,7.75,0.9267
S2,PAXGUSDT,-1,2025-04-02T22:00:00+00:00,2025-04-02T23:00:00+00:00,2025,3138.66,3156.92998029,3083.85005913,18.26998029,3.0,-1.051538,-1.051538,0.0,SL,13,1.0,0.1199
S2,PAXGUSDT,-1,2025-04-03T03:00:00+00:00,2025-04-03T11:35:00+00:00,2025,3167.8,3190.65317219,3099.24048344,22.85317219,3.0,2.958415,2.958415,0.0,TP,104,8.58,3.1654
S2,PAXGUSDT,-1,2025-04-03T11:00:00+00:00,2025-04-03T14:45:00+00:00,2025,3109.52,3134.41708988,3034.82873036,24.89708988,3.0,-1.037468,-1.037468,0.0,SL,46,3.75,1.3455
S4,PAXGUSDT,1,2025-04-03T19:00:00+00:00,2025-04-04T14:00:00+00:00,2025,3124.63,3085.23001637,3892.92968083,39.39998363,19.5,-1.023792,-1.023792,0.0,SL,229,19.0,0.5675
S2,PAXGUSDT,-1,2025-04-04T13:00:00+00:00,2025-04-06T23:20:00+00:00,2025,3089.28,3115.56941685,3010.41174945,26.28941685,3.0,2.964747,2.964747,0.0,TP,701,58.33,3.396
S4,PAXGUSDT,1,2025-04-07T05:00:00+00:00,2025-04-07T13:40:00+00:00,2025,3057.07,3022.53985197,3730.40788659,34.53014803,19.5,-1.02656,-1.02656,0.0,SL,105,8.67,0.2131
S2,PAXGUSDT,-1,2025-04-14T13:00:00+00:00,2025-04-15T04:50:00+00:00,2025,3224.95,3246.22863258,3161.11410225,21.27863258,3.0,-1.045467,-1.045467,0.0,SL,191,15.83,0.6941
S2,PAXGUSDT,-1,2025-04-17T02:00:00+00:00,2025-04-21T00:00:00+00:00,2025,3347.98,3369.58654264,3283.16037209,21.60654264,3.0,-1.046486,-1.046486,0.0,SL,1129,94.0,1.8966
S1,PAXGUSDT,1,2025-04-21T02:00:00+00:00,2025-04-22T21:25:00+00:00,2025,3396.36,3382.53822512,3562.22129862,13.82177488,12.0,-1.073718,-1.073718,0.0,SL,522,43.42,9.1269
S1,PAXGUSDT,1,2025-04-21T06:00:00+00:00,2025-04-22T19:30:00+00:00,2025,3407.6,3390.64850863,3611.01789644,16.95149137,12.0,-1.060306,-1.060306,0.0,SL,451,37.5,6.7788
S1,PAXGUSDT,1,2025-04-21T07:00:00+00:00,2025-04-22T16:35:00+00:00,2025,3416.84,3399.4464723,3625.56233241,17.3935277,12.0,-1.058933,-1.058933,0.0,SL,404,33.58,6.0752
S2,PAXGUSDT,-1,2025-04-22T09:00:00+00:00,2025-04-22T10:05:00+00:00,2025,3458.77,3485.95311938,3377.22064187,27.18311938,3.0,-1.038172,-1.038172,0.0,SL,14,1.08,0.0434
S3,PAXGUSDT,-1,2025-04-22T09:00:00+00:00,2025-04-23T13:40:00+00:00,2025,3458.77,3499.95831194,3304.73232354,36.24415917,4.25,4.221371,4.221371,0.0,TP,345,28.67,4.3806
S2,PAXGUSDT,-1,2025-05-05T04:00:00+00:00,2025-05-05T08:25:00+00:00,2025,3270.95,3282.6535611,3235.83931671,11.7035611,3.0,-1.083845,-1.083845,0.0,SL,54,4.42,0.0555
S1,PAXGUSDT,1,2025-05-05T09:00:00+00:00,2025-05-11T22:45:00+00:00,2025,3296.8,3279.25809911,3507.30281073,17.54190089,12.0,-1.056382,-1.056382,0.0,SL,1894,157.75,8.7334
S1,PAXGUSDT,1,2025-05-05T10:00:00+00:00,2025-05-09T01:35:00+00:00,2025,3317.29,3298.0725206,3547.89975282,19.2174794,12.0,-1.051786,-1.051786,0.0,SL,1052,87.58,6.9057
S1,PAXGUSDT,1,2025-05-05T13:00:00+00:00,2025-05-08T16:20:00+00:00,2025,3334.81,3314.93435778,3573.31770661,19.87564222,12.0,-1.050335,-1.050335,0.0,SL,905,75.33,5.7955
S1,PAXGUSDT,1,2025-05-06T02:00:00+00:00,2025-05-06T05:45:00+00:00,2025,3389.01,3362.39857544,3708.3470947,26.61142456,12.0,-1.038206,-1.038206,0.0,SL,46,3.75,0.2954
S2,PAXGUSDT,-1,2025-05-06T23:00:00+00:00,2025-05-08T02:00:00+00:00,2025,3390.5,3416.24220193,3313.27339421,25.74220193,3.0,-1.039513,-1.039513,0.0,SL,325,27.0,1.0531
S1,PAXGUSDT,1,2025-05-15T07:00:00+00:00,2025-09-01T06:35:00+00:00,2025,3168.95,3141.39959706,3499.55483528,27.55040294,12.0,11.965493,11.965493,0.0,TP,31388,2615.58,12.0528
S4,PAXGUSDT,1,2025-05-15T16:00:00+00:00,2025-05-16T10:45:00+00:00,2025,3231.54,3202.8241278,3791.49950782,28.7158722,19.5,-1.03376,-1.03376,0.0,SL,226,18.75,0.996
S2,PAXGUSDT,-1,2025-05-16T11:00:00+00:00,2025-05-16T17:55:00+00:00,2025,3185.45,3209.28645387,3113.94063838,23.83645387,3.0,-1.040091,-1.040091,0.0,SL,84,6.92,0.8579
S2,PAXGUSDT,-1,2025-05-19T02:00:00+00:00,2025-05-19T08:10:00+00:00,2025,3232.01,3249.41986602,3179.78040194,17.40986602,3.0,-1.055693,-1.055693,0.0,SL,75,6.17,0.5451
S2,PAXGUSDT,-1,2025-05-19T04:00:00+00:00,2025-05-19T05:55:00+00:00,2025,3225.36,3243.00024162,3172.43927514,17.64024162,3.0,-1.054852,-1.054852,0.0,SL,24,1.92,0.161
S1,PAXGUSDT,1,2025-05-20T15:00:00+00:00,2025-05-28T23:35:00+00:00,2025,3295.71,3270.74638625,3595.27336505,24.96361375,12.0,-1.039606,-1.039606,0.0,SL,2408,200.58,3.2315
S2,PAXGUSDT,-1,2025-05-27T08:00:00+00:00,2025-05-28T00:35:00+00:00,2025,3311.21,3325.05291279,3269.68126163,13.84291279,3.0,-1.07176,-1.07176,0.0,SL,200,16.58,0.8098
S1,PAXGUSDT,1,2025-06-02T06:00:00+00:00,2025-06-09T00:45:00+00:00,2025,3335.24,3321.14495565,3504.38053222,14.09504435,12.0,-1.070988,-1.070988,0.0,SL,1954,162.75,5.7112
S1,PAXGUSDT,1,2025-06-02T07:00:00+00:00,2025-06-06T14:20:00+00:00,2025,3355.66,3339.60603024,3548.30763706,16.05396976,12.0,-1.062707,-1.062707,0.0,SL,1241,103.33,3.7424
S2,PAXGUSDT,-1,2025-06-04T16:00:00+00:00,2025-06-05T09:20:00+00:00,2025,3381.18,3397.55686341,3332.04940978,16.37686341,3.0,-1.061938,-1.061938,0.0,SL,209,17.33,0.5569
S2,PAXGUSDT,-1,2025-06-05T15:00:00+00:00,2025-06-06T19:55:00+00:00,2025,3382.85,3399.78781777,3332.0365467,16.93781777,3.0,2.940083,2.940083,0.0,TP,348,28.92,3.0258
S2,PAXGUSDT,-1,2025-06-05T16:00:00+00:00,2025-06-05T22:25:00+00:00,2025,3362.4,3381.36047364,3305.51857908,18.96047364,3.0,-1.053201,-1.053201,0.0,SL,78,6.42,0.337
S2,PAXGUSDT,-1,2025-06-06T17:00:00+00:00,2025-06-10T13:25:00+00:00,2025,3339.87,3357.61417864,3286.63746408,17.74417864,3.0,-1.056467,-1.056467,0.0,SL,1110,92.42,1.4574
S2,PAXGUSDT,-1,2025-06-09T02:00:00+00:00,2025-06-09T03:05:00+00:00,2025,3317.4,3326.71113718,3289.46658847,9.31113718,3.0,-1.106885,-1.106885,0.0,SL,14,1.08,0.3641
S3,PAXGUSDT,-1,2025-06-09T02:00:00+00:00,2025-06-09T03:45:00+00:00,2025,3317.4,3329.18111372,3264.63688934,12.41484957,4.25,-1.029117,-1.029117,0.0,SL,22,1.75,0.2731
S2,PAXGUSDT,-1,2025-06-09T09:00:00+00:00,2025-06-09T16:20:00+00:00,2025,3340.23,3350.52083271,3309.35750188,10.29083271,3.0,-1.097375,-1.097375,0.0,SL,89,7.33,0.8716
S2,PAXGUSDT,-1,2025-06-10T15:00:00+00:00,2025-06-11T07:50:00+00:00,2025,3343.61,3357.212271,3302.80318701,13.602271,3.0,-1.073744,-1.073744,0.0,SL,203,16.83,0.9146
S2,PAXGUSDT,-1,2025-06-11T14:00:00+00:00,2025-06-11T18:25:00+00:00,2025,3343.06,3357.56650516,3299.54048453,14.50650516,3.0,-1.069136,-1.069136,0.0,SL,54,4.42,0.5508
S2,PAXGUSDT,-1,2025-06-12T08:00:00+00:00,2025-06-12T09:10:00+00:00,2025,3362.03,3379.46166329,3309.73501013,17.43166329,3.0,-1.057861,-1.057861,0.0,SL,15,1.17,0.0017
S1,PAXGUSDT,1,2025-06-22T15:00:00+00:00,2025-06-22T22:00:00+00:00,2025,3447.14,3427.69443352,3680.4867978,19.44556648,12.0,-1.053181,-1.053181,0.0,SL,85,7.0,0.5328
S2,PAXGUSDT,-1,2025-06-22T23:00:00+00:00,2025-06-24T06:10:00+00:00,2025,3412.54,3433.65494378,3349.19516865,21.11494378,3.0,2.951515,2.951515,0.0,TP,375,31.17,3.0111
S2,PAXGUSDT,-1,2025-06-23T00:00:00+00:00,2025-06-24T12:10:00+00:00,2025,3401.0,3422.18601923,3337.44194232,21.18601923,3.0,2.951841,2.951841,0.0,TP,435,36.17,3.1053
S3,PAXGUSDT,-1,2025-06-23T00:00:00+00:00,2025-06-27T13:00:00+00:00,2025,3401.0,3416.70860192,3280.94589105,28.24802564,4.25,4.213881,4.213881,0.0,TP,1309,109.0,4.3426
S2,PAXGUSDT,-1,2025-06-23T23:00:00+00:00,2025-06-27T03:45:00+00:00,2025,3376.0,3397.60413838,3311.18758486,21.60413838,3.0,2.95312,2.95312,0.0,TP,922,76.75,3.0434
S1,PAXGUSDT,1,2025-07-01T11:00:00+00:00,2025-07-01T18:25:00+00:00,2025,3354.0,3340.60630676,3514.72431892,13.39369324,12.0,-1.075125,-1.075125,0.0,SL,90,7.42,0.6391
