stream,sym,exit_ts_utc,managed_r,cum_r
S2,SOLUSDT,2022-01-05T10:10:00+00:00,-0.950659,-0.9507
S2,LINKUSDT,2022-01-19T12:00:00+00:00,-0.421143,-1.3718
S2,SOLUSDT,2022-01-19T14:45:00+00:00,-0.884433,-2.2562
S2,BTCUSDT,2022-01-21T12:35:00+00:00,4.235293,1.9791
S2,ETHUSDT,2022-01-21T12:35:00+00:00,4.237923,6.217
S2,SOLUSDT,2022-01-21T21:35:00+00:00,4.240523,10.4575
S2,ETHUSDT,2022-01-28T21:25:00+00:00,-0.989142,9.4684
S2,SOLUSDT,2022-02-02T19:00:00+00:00,-0.883444,8.5849
S2,ETHUSDT,2022-02-15T01:35:00+00:00,-0.929042,7.6559
S2,ETHUSDT,2022-02-15T23:35:00+00:00,-0.736204,6.9197
S2,ETHUSDT,2022-02-17T08:05:00+00:00,-0.773453,6.1462
S2,BTCUSDT,2022-02-21T15:05:00+00:00,-1.006741,5.1395
S2,ETHUSDT,2022-02-28T14:55:00+00:00,-1.468151,3.6713
S2,XRPUSDT,2022-03-09T03:20:00+00:00,-0.883333,2.788
S2,ETHUSDT,2022-03-14T22:20:00+00:00,-0.601038,2.187
S2,SOLUSDT,2022-03-26T05:50:00+00:00,-0.829449,1.3575
S2,ETHUSDT,2022-03-26T20:25:00+00:00,-0.776131,0.5814
S2,LINKUSDT,2022-03-27T02:05:00+00:00,-0.867288,-0.2859
S2,BTCUSDT,2022-04-04T21:10:00+00:00,-0.834318,-1.1202
S2,SOLUSDT,2022-04-13T03:20:00+00:00,-0.74004,-1.8603
S2,SOLUSDT,2022-04-20T11:00:00+00:00,-1.403377,-3.2636
S2,SOLUSDT,2022-04-21T11:15:00+00:00,-0.593703,-3.8574
S2,BTCUSDT,2022-04-22T16:05:00+00:00,4.231938,0.3746
S2,BTCUSDT,2022-04-25T00:20:00+00:00,4.232157,4.6067
S2,ETHUSDT,2022-04-25T06:10:00+00:00,4.233951,8.8407
S2,LINKUSDT,2022-04-25T06:50:00+00:00,4.236393,13.0771
S2,XRPUSDT,2022-04-30T23:05:00+00:00,4.238313,17.3154
S2,BTCUSDT,2022-05-05T15:05:00+00:00,4.234171,21.5496
S2,LINKUSDT,2022-05-08T17:05:00+00:00,4.240669,25.7902
S2,XRPUSDT,2022-05-13T05:10:00+00:00,-0.500914,25.2893
S2,LINKUSDT,2022-05-21T07:35:00+00:00,-0.589215,24.7001
S2,ETHUSDT,2022-05-26T13:10:00+00:00,4.237597,28.9377
S2,SOLUSDT,2022-05-27T02:00:00+00:00,4.242755,33.1805
S2,DOGEUSDT,2022-05-27T15:25:00+00:00,-0.96501,32.2155
S2,LINKUSDT,2022-05-30T21:20:00+00:00,-1.179043,31.0364
S2,XRPUSDT,2022-05-30T23:10:00+00:00,-1.137992,29.8984
S2,LINKUSDT,2022-06-04T22:00:00+00:00,-0.476565,29.4219
S2,DOGEUSDT,2022-06-11T11:35:00+00:00,4.240421,33.6623
S2,XRPUSDT,2022-06-13T01:15:00+00:00,4.236721,37.899
S2,BTCUSDT,2022-06-13T13:20:00+00:00,4.23933,42.1383
S2,SOLUSDT,2022-06-14T05:20:00+00:00,-0.840175,41.2982
S2,XRPUSDT,2022-06-18T20:10:00+00:00,4.24202,45.5402
S2,LINKUSDT,2022-06-27T03:10:00+00:00,-0.745158,44.795
S2,ETHUSDT,2022-06-30T09:05:00+00:00,4.240235,49.0352
S2,BTCUSDT,2022-06-30T13:40:00+00:00,4.234814,53.2701
S2,DOGEUSDT,2022-07-01T00:25:00+00:00,-0.690039,52.58
S2,SOLUSDT,2022-07-01T20:20:00+00:00,-0.711245,51.8688
S2,BTCUSDT,2022-07-04T11:55:00+00:00,-0.540827,51.328
S2,SOLUSDT,2022-07-05T17:50:00+00:00,-0.637427,50.6905
S2,ETHUSDT,2022-07-05T18:35:00+00:00,-0.64427,50.0463
S2,LINKUSDT,2022-07-05T18:35:00+00:00,-0.544268,49.502
S2,DOGEUSDT,2022-07-05T20:10:00+00:00,-0.854386,48.6476
S2,SOLUSDT,2022-07-07T14:50:00+00:00,-0.849613,47.798
S2,LINKUSDT,2022-07-08T01:25:00+00:00,-0.668595,47.1294
S2,XRPUSDT,2022-07-13T07:40:00+00:00,-0.660918,46.4685
S2,SOLUSDT,2022-07-13T23:15:00+00:00,-1.118906,45.3496
S2,DOGEUSDT,2022-07-20T07:45:00+00:00,-0.841608,44.508
S2,ETHUSDT,2022-07-25T11:05:00+00:00,-0.496124,44.0118
S2,SOLUSDT,2022-07-27T05:40:00+00:00,-0.541365,43.4705
S2,ETHUSDT,2022-07-27T13:45:00+00:00,-0.838854,42.6316
S2,BTCUSDT,2022-07-27T18:00:00+00:00,-0.951558,41.6801
S2,SOLUSDT,2022-07-27T18:00:00+00:00,-0.913771,40.7663
S2,XRPUSDT,2022-07-27T18:00:00+00:00,-1.085471,39.6808
S2,SOLUSDT,2022-08-10T12:35:00+00:00,-0.818998,38.8618
S2,LINKUSDT,2022-09-04T12:00:00+00:00,-0.666002,38.1958
S2,XRPUSDT,2022-09-09T05:30:00+00:00,-0.874521,37.3213
S2,SOLUSDT,2022-10-12T09:25:00+00:00,-0.577013,36.7443
S2,LINKUSDT,2022-10-13T10:20:00+00:00,4.238253,40.9825
S2,SOLUSDT,2022-10-13T10:30:00+00:00,4.243415,45.226
S2,XRPUSDT,2022-10-17T11:15:00+00:00,-0.952668,44.2733
S2,SOLUSDT,2022-11-04T23:00:00+00:00,-1.198853,43.0744
S2,LINKUSDT,2022-11-07T23:55:00+00:00,-0.651533,42.4229
S2,ETHUSDT,2022-11-08T16:10:00+00:00,-1.054073,41.3688
S2,DOGEUSDT,2022-11-08T16:30:00+00:00,-1.126352,40.2425
S2,XRPUSDT,2022-11-08T16:30:00+00:00,-1.185995,39.0565
S2,SOLUSDT,2022-12-28T05:40:00+00:00,4.237702,43.2942
S2,DOGEUSDT,2023-01-29T01:20:00+00:00,-0.570551,42.7236
S2,LINKUSDT,2023-02-23T23:45:00+00:00,-0.68327,42.0404
S2,LINKUSDT,2023-03-08T15:10:00+00:00,-0.548223,41.4921
S2,DOGEUSDT,2023-04-03T17:35:00+00:00,-0.755725,40.7364
S2,SOLUSDT,2023-04-26T12:20:00+00:00,-0.781657,39.9548
S2,SOLUSDT,2023-05-10T17:20:00+00:00,4.235613,44.1904
S2,DOGEUSDT,2023-06-02T19:15:00+00:00,-0.791522,43.3988
S2,DOGEUSDT,2023-06-05T16:00:00+00:00,4.244553,47.6434
S2,DOGEUSDT,2023-06-10T00:15:00+00:00,-0.868883,46.7745
S2,XRPUSDT,2023-07-01T12:55:00+00:00,-0.626288,46.1482
S2,XRPUSDT,2023-07-16T10:05:00+00:00,-0.699338,45.4489
S2,ETHUSDT,2023-08-01T01:00:00+00:00,-0.544293,44.9046
S2,ETHUSDT,2023-08-01T02:05:00+00:00,4.231262,49.1359
S2,LINKUSDT,2023-08-14T05:25:00+00:00,-1.292927,47.8429
S2,LINKUSDT,2023-08-15T19:05:00+00:00,4.232139,52.0751
S2,BTCUSDT,2023-09-11T20:00:00+00:00,4.220824,56.2959
S2,XRPUSDT,2023-09-15T19:45:00+00:00,-0.648004,55.6479
S2,ETHUSDT,2023-09-28T10:25:00+00:00,-1.463137,54.1848
S2,DOGEUSDT,2023-09-28T10:35:00+00:00,-1.160085,53.0247
S2,DOGEUSDT,2023-09-29T12:25:00+00:00,-0.922638,52.102
S2,DOGEUSDT,2023-10-09T09:50:00+00:00,4.235148,56.3372
S2,ETHUSDT,2023-10-09T16:00:00+00:00,4.231265,60.5684
S2,SOLUSDT,2023-11-04T09:15:00+00:00,-0.955809,59.6126
S2,ETHUSDT,2023-11-28T11:00:00+00:00,-0.848061,58.7646
S2,SOLUSDT,2023-12-01T02:20:00+00:00,-0.464351,58.3002
S2,DOGEUSDT,2023-12-14T16:45:00+00:00,-0.717942,57.5823
S2,SOLUSDT,2023-12-16T12:05:00+00:00,-0.833321,56.749
S2,ETHUSDT,2023-12-21T21:40:00+00:00,-0.968526,55.7804
S2,DOGEUSDT,2024-01-01T18:15:00+00:00,-0.836765,54.9437
S2,BTCUSDT,2024-01-08T15:40:00+00:00,-1.760987,53.1827
S2,XRPUSDT,2024-01-19T16:25:00+00:00,4.234416,57.4171
S2,ETHUSDT,2024-01-31T13:35:00+00:00,-0.943443,56.4737
S2,BTCUSDT,2024-02-02T00:20:00+00:00,-1.190529,55.2831
S2,ETHUSDT,2024-02-03T01:20:00+00:00,-0.947866,54.3353
S2,BTCUSDT,2024-02-06T15:25:00+00:00,-1.190804,53.1445
S2,XRPUSDT,2024-02-20T19:45:00+00:00,-0.658638,52.4858
S2,XRPUSDT,2024-04-19T06:45:00+00:00,-1.356881,51.1289
S2,LINKUSDT,2024-04-19T06:50:00+00:00,-1.374937,49.754
S2,SOLUSDT,2024-04-27T01:15:00+00:00,4.239659,53.9937
S2,LINKUSDT,2024-04-28T22:30:00+00:00,4.235722,58.2294
S2,LINKUSDT,2024-04-30T12:10:00+00:00,4.238405,62.4678
S2,ETHUSDT,2024-05-17T15:25:00+00:00,-0.792624,61.6752
S2,XRPUSDT,2024-06-03T01:10:00+00:00,-0.909409,60.7658
S2,LINKUSDT,2024-06-07T18:00:00+00:00,4.235129,65.0009
S2,XRPUSDT,2024-06-07T18:00:00+00:00,4.225526,69.2264
S2,SOLUSDT,2024-06-07T18:05:00+00:00,4.231207,73.4576
S2,SOLUSDT,2024-07-04T01:55:00+00:00,4.23746,77.6951
S2,LINKUSDT,2024-07-06T16:35:00+00:00,-1.020642,76.6744
S2,XRPUSDT,2024-07-09T06:25:00+00:00,-0.811891,75.8625
S2,XRPUSDT,2024-07-14T09:15:00+00:00,-0.627693,75.2348
S2,BTCUSDT,2024-07-16T12:25:00+00:00,-0.908952,74.3259
S2,LINKUSDT,2024-07-16T15:05:00+00:00,-1.046784,73.2791
S2,BTCUSDT,2024-08-01T02:05:00+00:00,4.229783,77.5089
S2,SOLUSDT,2024-08-02T19:45:00+00:00,4.240225,81.7491
S2,ETHUSDT,2024-08-03T00:55:00+00:00,4.235369,85.9845
S2,DOGEUSDT,2024-08-12T07:35:00+00:00,-0.638696,85.3458
S2,SOLUSDT,2024-08-15T22:30:00+00:00,-1.10718,84.2386
S2,SOLUSDT,2024-08-18T00:40:00+00:00,-0.932021,83.3066
S2,BTCUSDT,2024-08-20T19:45:00+00:00,-0.794162,82.5124
S2,XRPUSDT,2024-08-21T18:55:00+00:00,-0.803481,81.7089
S2,ETHUSDT,2024-09-02T09:45:00+00:00,-1.668505,80.0404
S2,XRPUSDT,2024-09-02T15:10:00+00:00,-1.570059,78.4704
S2,LINKUSDT,2024-10-03T03:20:00+00:00,-0.732932,77.7375
S2,SOLUSDT,2024-10-03T08:35:00+00:00,4.236441,81.9739
S2,LINKUSDT,2024-10-03T08:50:00+00:00,4.237735,86.2116
S2,BTCUSDT,2024-10-04T12:30:00+00:00,-0.875662,85.336
S2,ETHUSDT,2024-10-04T15:55:00+00:00,-0.568266,84.7677
S2,ETHUSDT,2024-10-06T14:55:00+00:00,-1.070934,83.6968
S2,SOLUSDT,2024-10-06T14:55:00+00:00,-0.900826,82.7959
S2,BTCUSDT,2024-10-07T13:40:00+00:00,-0.612524,82.1834
