stream,sym,exit_ts_utc,managed_r,cum_r
S1,DOGEUSDT,2022-01-10T17:30:00+00:00,-1.008933,-1.0089
S1,DOGEUSDT,2022-01-13T13:25:00+00:00,-1.00794,-2.0169
S1,LINKUSDT,2022-01-31T01:10:00+00:00,-1.008246,-3.0251
S1,SOLUSDT,2022-02-01T19:55:00+00:00,-1.006735,-4.0319
S1,LINKUSDT,2022-02-08T08:50:00+00:00,-1.011012,-5.0429
S1,XRPUSDT,2022-02-08T15:05:00+00:00,-1.006429,-6.0493
S1,BTCUSDT,2022-02-11T00:45:00+00:00,-1.017039,-7.0663
S1,SOLUSDT,2022-02-16T14:50:00+00:00,-1.008314,-8.0746
S1,ETHUSDT,2022-02-17T17:45:00+00:00,-1.01164,-9.0863
S1,ETHUSDT,2022-02-19T11:30:00+00:00,-1.009937,-10.0962
S1,XRPUSDT,2022-02-20T01:15:00+00:00,-1.008671,-11.1049
S1,BTCUSDT,2022-02-20T05:50:00+00:00,-1.011175,-12.1161
S1,BTCUSDT,2022-03-04T20:15:00+00:00,-1.009253,-13.1253
S1,SOLUSDT,2022-03-10T04:15:00+00:00,-1.008309,-14.1336
S1,BTCUSDT,2022-03-10T04:30:00+00:00,-1.010528,-15.1442
S1,XRPUSDT,2022-03-12T07:10:00+00:00,-1.008266,-16.1524
S1,XRPUSDT,2022-03-12T08:20:00+00:00,-1.009408,-17.1618
S1,SOLUSDT,2022-03-15T23:10:00+00:00,-1.012032,-18.1739
S1,DOGEUSDT,2022-03-19T22:15:00+00:00,-1.014249,-19.1881
S1,XRPUSDT,2022-03-20T09:30:00+00:00,-1.01786,-20.206
S1,ETHUSDT,2022-03-21T19:15:00+00:00,-1.014992,-21.221
S1,XRPUSDT,2022-03-22T18:30:00+00:00,-1.013448,-22.2344
S1,DOGEUSDT,2022-03-23T17:45:00+00:00,-1.012215,-23.2466
S1,LINKUSDT,2022-03-25T16:40:00+00:00,-1.011311,-24.2579
S1,XRPUSDT,2022-03-28T21:30:00+00:00,-1.012321,-25.2703
S1,BTCUSDT,2022-03-28T23:50:00+00:00,-1.01946,-26.2897
S1,SOLUSDT,2022-03-29T22:30:00+00:00,-1.007473,-27.2972
