stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,365,0.0,-1.0141,-370.16,0,0,365
S1,1-2R,109,0.0,-1.0133,-110.45,0,0,109
S1,2-3.5R,80,0.0,-1.014,-81.12,0,0,80
S1,3.5-6.5R,84,0.0,-1.014,-85.18,0,0,84
S1,6.5-10R,35,0.0,-1.0134,-35.47,0,0,35
S1,<=0R,1,0.0,-1.0223,-1.02,0,0,1
S1,>10R,104,90.38,10.7344,1116.38,94,0,10
S2,0-1R,869,0.0,-1.0184,-885.02,0,0,869
S2,1-2R,310,0.0,-1.0178,-315.53,0,0,310
S2,2-3.5R,619,73.99,1.9416,1201.85,458,0,161
S2,3.5-6.5R,97,100.0,2.977,288.76,97,0,0
S2,6.5-10R,4,100.0,2.9751,11.9,4,0,0
S2,<=0R,8,0.0,-1.0186,-8.15,0,0,8
S2,>10R,3,100.0,2.9686,8.91,3,0,0
S3,0-1R,111,0.0,-0.9797,-108.75,0,0,111
S3,1-2R,46,0.0,-1.2177,-56.01,0,0,46
S3,2-3.5R,12,0.0,-1.4229,-17.07,0,0,12
S3,3.5-6.5R,54,90.74,3.7484,202.42,49,0,5
S3,6.5-10R,1,100.0,4.2395,4.24,1,0,0
S3,<=0R,1,0.0,-0.9513,-0.95,0,0,1
S4,0-1R,125,0.0,-1.0163,-127.04,0,0,125
S4,1-2R,38,0.0,-1.0178,-38.68,0,0,38
S4,2-3.5R,26,0.0,-1.0151,-26.39,0,0,26
S4,3.5-6.5R,40,100.0,0.9852,39.41,0,40,0
S4,6.5-10R,12,100.0,0.9813,11.78,0,12,0
S4,<=0R,4,0.0,-1.0144,-4.06,0,0,4
S4,>10R,29,100.0,15.0152,435.44,22,7,0
