stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2023,17,0.0,-1.0095,-1.008,-17.16,-1.0,-1.02,16.16,17,-17.16,0.0,17,0,0
S1,2024,36,27.78,2.6034,-1.0072,93.72,11.99,-1.01,16.13,16,93.72,0.0,26,0,10
S1,2025,37,8.11,0.0445,-1.0093,1.65,11.99,-1.01,16.15,16,1.65,0.0,34,0,3
S1,2026,17,5.88,-0.2464,-1.0106,-4.19,11.98,-1.01,16.17,16,-4.19,0.0,16,0,1
S2,2023,60,23.33,-0.0808,-1.0096,-4.85,2.99,-1.03,11.13,11,-4.85,0.0,46,0,14
S2,2024,93,38.71,0.5371,-1.0072,49.95,2.99,-1.02,10.12,9,49.95,0.0,57,0,36
S2,2025,92,35.87,0.4223,-1.0084,38.85,2.99,-1.03,17.24,17,38.85,0.0,59,0,33
S2,2026,19,15.79,-0.3828,-1.0142,-7.27,2.99,-1.02,12.19,12,-7.27,0.0,16,0,3
S3,2023,7,14.29,0.0425,-0.6399,0.3,4.23,-0.87,3.43,5,0.3,0.0,6,0,1
S3,2024,10,20.0,0.1855,-0.7724,1.85,4.24,-1.16,3.46,4,1.85,0.0,8,0,2
S3,2025,15,20.0,0.1368,-0.8741,2.05,4.24,-1.15,9.52,11,2.05,0.0,12,0,3
S3,2026,1,0.0,-0.6843,-0.6843,-0.68,-0.68,-0.68,0.0,1,-0.68,0.0,1,0,0
S4,2023,13,15.38,-0.7047,-1.0114,-9.16,0.99,-1.02,9.14,9,-13.16,4.0,11,2,0
S4,2024,13,7.69,-0.8562,-1.0096,-11.13,0.99,-1.01,10.12,7,-13.13,2.0,12,1,0
S4,2025,4,0.0,-1.0085,-1.0078,-4.03,-1.01,-1.01,3.03,4,-4.03,0.0,4,0,0
S4,2026,1,0.0,-1.0082,-1.0082,-1.01,-1.01,-1.01,0.0,1,-1.01,0.0,1,0,0
S5,2023,11,18.18,0.0812,-1.0076,0.89,4.98,-1.01,4.04,5,0.89,0.0,9,0,2
S5,2024,22,13.64,-0.1897,-1.0066,-4.17,4.99,-1.02,8.11,7,-4.17,0.0,19,0,3
S5,2025,36,16.67,-0.0086,-1.0073,-0.31,4.99,-1.02,9.12,9,-0.31,0.0,30,0,6
S5,2026,8,25.0,0.4888,-1.0094,3.91,4.99,-1.01,6.07,6,3.91,0.0,6,0,2
