stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r,sim_active,m1_daily_cap,balance_before,risk_pct,dollar_risk,dollar_pnl,balance_after
S1,SUIUSDT,1,2023-05-08T03:00:00+00:00,2023-05-08T17:35:00+00:00,2023,1.1719,1.11009776,1.91352691,0.06180224,12.0,-1.005689,-1.005689,0.0,SL,176,14.58,0.0291,True,False,10000.0,0.4981,49.81,-50.09,9949.91
S1,SUIUSDT,1,2023-05-10T01:00:00+00:00,2023-05-10T06:15:00+00:00,2023,1.2251,1.15948973,2.01242319,0.06561027,12.0,-1.005602,-1.005602,0.0,SL,64,5.25,0.0351,True,False,9949.91,0.4981,49.56,-49.84,9900.07
S5,SUIUSDT,-1,2023-05-14T17:00:00+00:00,2023-05-15T03:15:00+00:00,2023,1.1701,1.21316327,0.95478366,0.04306327,5.0,-1.008151,-1.008151,0.0,SL,124,10.25,1.0682,True,False,9900.07,0.5216,51.64,-52.06,9848.01
S5,SUIUSDT,-1,2023-05-21T17:00:00+00:00,2023-05-23T03:35:00+00:00,2023,1.0678,1.09487427,0.93242865,0.02707427,5.0,-1.011832,-1.011832,0.0,SL,416,34.58,1.2595,True,False,9848.01,0.5216,51.37,-51.97,9796.03
S1,SUIUSDT,1,2023-05-28T17:00:00+00:00,2023-05-29T04:50:00+00:00,2023,1.0437,1.02283761,1.29404867,0.02086239,12.0,-1.015008,-1.015008,0.0,SL,143,11.83,1.3996,True,False,9796.03,0.4981,48.79,-49.53,9697.1
S1,SUIUSDT,1,2023-05-28T23:00:00+00:00,2023-05-29T03:10:00+00:00,2023,1.0669,1.04138853,1.37303766,0.02551147,12.0,-1.012546,-1.012546,0.0,SL,51,4.17,0.2352,True,False,9796.03,0.4981,48.79,-49.41,9746.63
S2,SUIUSDT,-1,2023-05-29T16:00:00+00:00,2023-05-31T04:45:00+00:00,2023,1.0514,1.07955527,0.9669342,0.02815527,3.0,2.988797,2.988797,0.0,TP,442,36.75,3.0403,True,False,9697.1,1.378,133.63,399.38,10096.48
S2,SUIUSDT,-1,2023-06-02T14:00:00+00:00,2023-06-04T06:15:00+00:00,2023,0.9373,0.95710049,0.87789853,0.01980049,3.0,-1.014201,-1.014201,0.0,SL,484,40.25,1.5404,True,False,10096.48,1.378,139.13,-141.11,9790.53
S4,SUIUSDT,1,2023-06-02T15:00:00+00:00,2023-06-03T05:45:00+00:00,2023,0.9428,0.91682796,1.44925469,0.02597204,19.5,-1.01089,-1.01089,0.0,SL,178,14.75,0.5429,True,False,10096.48,1.6151,163.07,-164.84,9931.64
S5,SUIUSDT,-1,2023-06-05T16:00:00+00:00,2023-06-05T23:25:00+00:00,2023,0.7817,0.82376937,0.57135313,0.04206937,5.0,-1.005574,-1.005574,0.0,SL,90,7.42,0.7535,True,False,9790.53,0.5216,51.07,-51.35,9739.18
S1,SUIUSDT,1,2023-06-10T08:00:00+00:00,2023-08-15T19:05:00+00:00,2023,0.5856,0.53264641,1.22104311,0.05295359,12.0,-1.003318,-1.003318,0.0,SL,19142,1595.08,5.7465,True,False,9739.18,0.4981,48.51,-48.67,8195.98
