stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,AVAXUSDT,186,6.99,-0.1022,-1.0103,-19.0,11.99,-1.03,40.73,29,-19.0,0.0,173,0,13
S1,BTCUSDT,175,15.43,0.9838,-1.0191,172.17,11.99,-1.05,31.8,31,172.17,0.0,148,0,27
S1,DOGEUSDT,139,10.07,0.2987,-1.0091,41.52,11.99,-1.03,21.56,20,41.52,0.0,125,0,14
S1,ETHUSDT,122,13.11,0.6887,-1.0147,84.02,11.99,-1.03,37.68,37,84.02,0.0,106,0,16
S1,LINKUSDT,126,10.32,0.3299,-1.0106,41.56,11.99,-1.02,26.28,26,41.56,0.0,113,0,13
S1,PAXGUSDT,57,19.3,1.4421,-1.0547,82.2,11.97,-1.12,12.93,12,82.2,0.0,46,0,11
S1,SOLUSDT,132,13.64,0.7617,-1.0102,100.54,11.99,-1.02,30.5,26,100.54,0.0,114,0,18
S1,SUIUSDT,107,13.08,0.6918,-1.0088,74.02,11.99,-1.02,20.34,18,74.02,0.0,93,0,14
S1,XRPUSDT,113,7.08,-0.0926,-1.0125,-10.46,11.99,-1.04,32.41,33,-10.46,0.0,105,0,8
S2,AVAXUSDT,383,37.08,0.4687,-1.0097,179.51,3.0,-1.04,18.89,15,179.51,0.0,241,0,142
S2,BTCUSDT,340,27.94,0.0897,-1.0213,30.49,2.99,-1.07,45.09,31,30.49,0.0,245,0,95
S2,DOGEUSDT,318,28.62,0.1293,-1.0114,41.11,3.0,-1.04,29.91,14,41.11,0.0,227,0,91
S2,ETHUSDT,302,27.48,0.078,-1.0156,23.57,2.99,-1.1,25.45,11,23.57,0.0,219,0,83
S2,LINKUSDT,340,31.76,0.2559,-1.0106,87.0,3.0,-1.03,25.7,14,87.0,0.0,232,0,108
S2,PAXGUSDT,73,21.92,-0.2,-1.0565,-14.6,2.99,-1.21,19.19,10,-14.6,0.0,57,0,16
S2,SOLUSDT,341,27.57,0.0887,-1.0112,30.23,3.0,-1.03,43.88,23,30.23,0.0,247,0,94
S2,SUIUSDT,264,32.58,0.2905,-1.0087,76.69,2.99,-1.03,18.36,17,76.69,0.0,178,0,86
S2,XRPUSDT,274,33.21,0.3106,-1.0131,85.11,3.0,-1.05,12.67,12,85.11,0.0,183,0,91
S3,AVAXUSDT,47,31.91,0.7351,-0.772,34.55,4.24,-1.43,9.07,10,34.55,0.0,32,0,15
S3,BTCUSDT,35,34.29,0.8512,-0.6444,29.79,4.24,-1.79,5.86,6,29.79,0.0,23,0,12
S3,DOGEUSDT,32,25.0,0.4307,-0.7611,13.78,4.24,-1.16,9.38,11,13.78,0.0,24,0,8
S3,ETHUSDT,35,25.71,0.3602,-0.9174,12.61,4.24,-1.67,7.14,7,12.61,0.0,26,0,9
S3,LINKUSDT,42,35.71,0.9954,-0.5965,41.81,4.24,-1.37,5.96,8,41.81,0.0,27,0,15
S3,PAXGUSDT,5,40.0,1.0154,-1.014,5.08,4.22,-1.32,2.33,2,5.08,0.0,3,0,2
S3,SOLUSDT,51,31.37,0.6988,-0.8496,35.64,4.24,-1.4,5.08,6,35.64,0.0,35,0,16
S3,SUIUSDT,33,18.18,0.1067,-0.7681,3.52,4.24,-1.16,9.52,11,3.52,0.0,27,0,6
S3,XRPUSDT,30,23.33,0.3274,-0.6808,9.82,4.24,-1.57,10.28,9,9.82,0.0,23,0,7
S4,AVAXUSDT,70,18.57,0.1516,-1.0115,10.61,19.49,-1.04,32.54,15,31.61,-21.0,57,10,3
S4,BTCUSDT,52,26.92,0.5782,-1.0211,30.07,19.48,-1.05,8.39,7,69.57,-39.5,38,11,3
S4,DOGEUSDT,33,21.21,1.6513,-1.0123,54.49,19.49,-1.03,9.23,9,48.49,6.0,26,3,4
S4,ETHUSDT,42,30.95,0.9225,-1.0129,38.74,19.48,-1.04,17.56,6,59.74,-21.0,29,10,3
S4,LINKUSDT,48,27.08,0.6857,-1.0105,32.91,19.49,-1.02,12.15,8,12.91,20.0,35,10,3
S4,PAXGUSDT,14,42.86,3.7671,-1.0252,52.74,19.45,-1.08,5.48,4,89.74,-37.0,8,3,3
S4,SOLUSDT,49,40.82,0.9381,-1.0082,45.97,19.49,-1.02,10.14,5,93.97,-48.0,29,17,3
S4,SUIUSDT,31,9.68,-0.8172,-1.0102,-25.33,0.99,-1.02,24.32,10,-31.33,6.0,28,3,0
S4,XRPUSDT,54,25.93,1.2152,-1.0135,65.62,19.49,-1.03,15.47,11,68.12,-2.5,40,9,5
S5,AVAXUSDT,125,20.8,0.2379,-1.0089,29.74,4.99,-1.02,31.68,18,29.74,0.0,99,0,26
S5,BTCUSDT,141,22.7,0.3419,-1.0158,48.21,4.99,-1.05,22.7,22,48.21,0.0,109,0,32
S5,DOGEUSDT,95,20.0,0.1898,-1.0087,18.03,4.99,-1.02,20.18,20,18.03,0.0,76,0,19
S5,ETHUSDT,105,28.57,0.7006,-1.0103,73.56,4.99,-1.02,9.59,9,73.56,0.0,75,0,30
S5,LINKUSDT,93,13.98,-0.1716,-1.0089,-15.96,4.99,-1.02,28.72,18,-15.96,0.0,80,0,13
S5,PAXGUSDT,30,10.0,-0.4423,-1.0339,-13.27,4.98,-1.08,12.2,12,-13.27,0.0,27,0,3
S5,SOLUSDT,94,23.4,0.3941,-1.0083,37.05,5.0,-1.02,22.49,13,37.05,0.0,72,0,22
