stream,sym,side,entry_ts_utc,exit_ts_utc,year,entry_price,stop_init,tp_price,risk,tp_r,managed_r,baseline_r,saved_r,managed_reason,bars_5m,duration_h,mfe_r
S2,BTCUSDT,-1,2022-01-04T16:00:00+00:00,2022-01-05T19:45:00+00:00,2022,46925.34,47534.84951792,45096.81144623,609.50951792,3.0,2.976903,2.976903,0.0,TP,334,27.75,3.9792
S2,ETHUSDT,-1,2022-01-04T16:00:00+00:00,2022-01-05T19:20:00+00:00,2022,3849.02,3898.985339,3699.123983,49.965339,3.0,2.97689,2.97689,0.0,TP,329,27.33,3.0255
S2,AVAXUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T19:50:00+00:00,2022,105.02,107.27382799,98.25851602,2.25382799,3.0,2.986021,2.986021,0.0,TP,299,24.83,3.0215
S2,ETHUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-04T19:10:00+00:00,2022,3771.04,3825.8499325,3606.6102025,54.8099325,3.0,-1.020641,-1.020641,0.0,SL,3,0.17,0.2614
S2,SOLUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T09:45:00+00:00,2022,167.6,170.53802639,158.78592082,2.93802639,3.0,-1.017114,-1.017114,0.0,SL,178,14.75,0.1361
S3,SOLUSDT,-1,2022-01-04T19:00:00+00:00,2022-01-05T10:10:00+00:00,2022,167.6,171.27380264,150.95118377,3.91736852,4.25,-0.950659,-0.950659,0.0,SL,183,15.17,0.1021
S2,AVAXUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-05T22:30:00+00:00,2022,98.34,100.90599216,90.64202351,2.56599216,3.0,2.988503,2.988503,0.0,TP,31,2.5,3.0943
S2,BTCUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T03:20:00+00:00,2022,44671.93,45475.50066441,42261.21800677,803.57066441,3.0,2.983322,2.983322,0.0,TP,377,31.33,3.014
S2,LINKUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T16:40:00+00:00,2022,25.295,26.37445282,22.05664155,1.07945282,3.0,-1.00703,-1.00703,0.0,SL,537,44.67,2.7412
S5,ETHUSDT,-1,2022-01-05T20:00:00+00:00,2022-01-07T03:30:00+00:00,2022,3653.54,3730.64795114,3268.00024429,77.10795114,5.0,4.985785,4.985785,0.0,TP,379,31.5,5.4795
S5,ETHUSDT,-1,2022-01-05T21:00:00+00:00,2022-01-07T04:15:00+00:00,2022,3592.31,3675.59024035,3175.90879827,83.28024035,5.0,4.987059,4.987059,0.0,TP,376,31.25,5.1705
S5,SOLUSDT,-1,2022-01-05T22:00:00+00:00,2022-01-20T23:50:00+00:00,2022,153.4,158.65911261,127.10443694,5.25911261,5.0,4.991249,4.991249,0.0,TP,4343,361.83,5.2518
S5,ETHUSDT,-1,2022-01-06T10:00:00+00:00,2022-01-06T14:35:00+00:00,2022,3307.5,3420.80991809,2740.95040955,113.30991809,5.0,-1.008757,-1.008757,0.0,SL,56,4.58,0.0047
S1,DOGEUSDT,1,2022-01-10T17:00:00+00:00,2022-01-10T17:30:00+00:00,2022,0.14557,0.1406811,0.20423679,0.0048889,12.0,-1.008933,-1.008933,0.0,SL,7,0.5,0.0839
S2,DOGEUSDT,-1,2022-01-11T13:00:00+00:00,2022-01-12T15:05:00+00:00,2022,0.15491,0.16039301,0.13846096,0.00548301,3.0,-1.008476,-1.008476,0.0,SL,314,26.08,1.8712
