date,balance,daily_pnl
2022-01-04,10000.0,0.0
2022-01-04,9859.36,-140.64
2022-01-05,10216.6,357.24
2022-01-06,10162.84,-53.76
2022-01-07,10972.53,809.69
2022-01-12,10820.05,-152.48
2022-01-13,10765.73,-54.32
2022-01-14,11208.82,443.09
2022-01-17,11023.65,-185.17
2022-01-18,11328.62,304.97
2022-01-19,10194.31,-1134.31
2022-01-20,10300.46,106.15
2022-01-21,17001.25,6700.79
2022-01-22,17330.44,329.19
2022-01-27,17089.83,-240.61
2022-01-28,16507.32,-582.51
2022-01-31,15557.67,-949.65
2022-02-01,15028.06,-529.61
2022-02-02,14984.1,-43.96
2022-02-04,13699.72,-1284.38
2022-02-06,13315.97,-383.75
2022-02-07,13255.36,-60.61
2022-02-08,13122.16,-133.2
2022-02-09,12683.47,-438.69
2022-02-10,11862.73,-820.74
2022-02-11,13963.13,2100.4
2022-02-13,14270.09,306.96
2022-02-15,13584.16,-685.93
2022-02-16,13515.57,-68.59
2022-02-17,14393.94,878.37
2022-02-18,14924.35,530.41
2022-02-19,14535.79,-388.56
2022-02-20,14461.71,-74.08
2022-02-21,15261.7,799.99
2022-02-22,14836.59,-425.11
2022-02-23,14471.16,-365.43
2022-02-24,14395.25,-75.91
2022-02-25,14315.11,-80.14
2022-02-28,13202.61,-1112.5
2022-03-03,12987.37,-215.24
2022-03-04,13531.2,543.83
2022-03-05,13459.86,-71.34
2022-03-07,13240.76,-219.1
2022-03-08,12979.26,-261.5
2022-03-10,12913.93,-65.33
2022-03-11,12733.5,-180.43
2022-03-12,12605.53,-127.97
2022-03-14,11751.69,-853.84
2022-03-15,11364.05,-387.64
2022-03-16,10715.4,-648.65
2022-03-19,10661.27,-54.13
2022-03-20,10606.94,-54.33
2022-03-21,10403.65,-203.29
2022-03-22,9991.84,-411.81
2022-03-23,9731.99,-259.85
2022-03-24,9593.82,-138.17
2022-03-25,9545.49,-48.33
2022-03-26,8623.77,-921.72
2022-03-27,7805.93,-817.84
2022-03-28,7577.03,-228.9
2022-03-29,7434.16,-142.87
2022-03-30,7225.74,-208.42
2022-03-31,7432.23,206.49
2022-04-01,7511.99,79.76
2022-04-02,7404.71,-107.28
2022-04-03,7160.89,-243.82
2022-04-04,6960.44,-200.45
2022-04-05,6887.65,-72.79
2022-04-06,6852.76,-34.89
2022-04-07,6899.88,47.12
2022-04-11,7527.3,627.42
2022-04-12,7396.85,-130.45
2022-04-13,7189.15,-207.7
2022-04-14,6854.52,-334.63
2022-04-15,6684.76,-169.76
2022-04-17,6922.57,237.81
2022-04-18,6984.97,62.4
2022-04-20,6661.29,-323.68
2022-04-21,8191.19,1529.9
2022-04-22,9388.75,1197.56
2022-04-25,11699.67,2310.92
2022-04-26,12157.75,458.08
2022-04-28,12096.9,-60.85
2022-04-29,12570.17,473.27
2022-04-30,14227.57,1657.4
2022-05-01,14161.36,-66.21
2022-05-03,13696.07,-465.29
2022-05-05,16261.18,2565.11
2022-05-06,15995.7,-265.48
2022-05-07,16349.72,354.02
2022-05-08,18313.4,1963.68
2022-05-09,21231.25,2917.85
2022-05-10,21012.65,-218.6
2022-05-11,20715.24,-297.41
2022-05-12,22924.9,2209.66
2022-05-13,21904.67,-1020.23
2022-05-15,21623.97,-280.7
2022-05-19,21510.02,-113.95
2022-05-21,20780.18,-729.84
2022-05-22,18980.03,-1800.15
2022-05-23,18186.73,-793.3
2022-05-24,17992.95,-193.78
2022-05-25,17477.51,-515.44
2022-05-26,22859.28,5381.77
2022-05-27,24913.76,2054.48
2022-05-28,24782.21,-131.55
2022-05-29,24424.5,-357.71
2022-05-30,22972.19,-1452.31
2022-05-31,22532.89,-439.3
2022-06-01,23335.4,802.51
2022-06-04,23809.81,474.41
2022-06-05,23183.27,-626.54
2022-06-06,22619.49,-563.78
2022-06-07,22556.08,-63.41
2022-06-08,22243.21,-312.87
2022-06-09,21929.12,-314.09
2022-06-10,22500.66,571.54
2022-06-11,26671.67,4171.01
