sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
AVAXUSDT,772,29.4,0.3456,-1.0094,266.78,19.49,-1.43,32.37,18,269.78,-3.0,545,32,195
BTCUSDT,721,27.6,0.4079,-1.0186,294.12,19.48,-1.79,33.22,17,359.62,-65.5,522,37,162
DOGEUSDT,587,26.06,0.2559,-1.0097,150.24,19.49,-1.16,28.63,16,167.24,-17.0,434,24,129
ETHUSDT,581,28.57,0.4387,-1.0134,254.88,19.48,-1.67,31.5,17,265.88,-11.0,415,28,138
LINKUSDT,632,29.75,0.3362,-1.0098,212.49,19.49,-1.37,30.02,17,145.49,67.0,444,40,148
ONDOUSDT,181,24.31,-0.0099,-1.0106,-1.78,4.99,-1.31,36.33,29,19.72,-21.5,137,6,38
PAXGUSDT,177,29.94,0.6283,-1.0411,111.2,19.45,-1.32,21.62,13,138.2,-27.0,124,21,32
SOLUSDT,643,28.62,0.3494,-1.0095,224.66,19.49,-1.4,49.47,25,295.66,-71.0,459,38,146
SUIUSDT,490,28.37,0.2661,-1.0078,130.39,11.99,-1.16,29.74,27,132.39,-2.0,351,25,114
TAOUSDT,359,28.41,0.3601,-1.007,129.27,19.49,-1.29,17.31,13,114.27,15.0,257,14,88
XRPUSDT,548,27.01,0.285,-1.0116,156.19,19.49,-1.57,24.19,20,182.69,-26.5,400,23,125
