chunk,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
2022-01,4,0.9631,50.0,2.0211,526.2
2022-02,5,-0.031,40.0,1.0046,921.0
2022-03,5,-0.043,40.0,2.0237,461.0
2022-04,4,-1.535,25.0,1.0106,392.0
2022-05,4,-1.5303,25.0,3.0223,724.0
2022-06,5,-0.0386,40.0,2.0148,200.6
2022-07,6,-6.05,0.0,5.0417,351.8
2022-08,8,6.9132,75.0,1.0093,383.6
2022-09,8,-0.5822,37.5,3.5541,234.5
2022-10,5,-0.0375,40.0,3.0225,471.2
2022-11,6,3.9566,66.67,1.0073,621.7
2022-12,5,-2.5713,20.0,3.0485,204.4
2023-01,7,2.926,57.14,2.0212,424.7
2023-02,6,-1.0695,33.33,2.0217,224.7
2023-03,7,2.9257,57.14,2.0148,239.3
2023-04,6,3.93,66.67,1.0145,327.7
2023-05,7,-2.0907,28.57,2.0229,389.6
2023-06,7,0.4399,42.86,2.0146,288.9
2023-07,4,-1.5345,25.0,2.0108,258.2
2023-08,6,-3.5659,16.67,4.0419,252.5
2023-09,7,-4.6107,14.29,3.5996,336.0
2023-10,5,-0.0745,40.0,2.0255,184.2
2023-11,5,-2.5426,20.0,3.0262,663.2
2023-12,6,-1.0734,33.33,3.0286,285.8
2024-01,9,5.887,66.67,2.0282,315.1
2024-02,6,-1.0797,33.33,3.0389,275.7
2024-03,5,-0.037,40.0,1.0096,254.0
2024-04,6,-3.5586,16.67,5.053,764.2
2024-05,4,-1.5583,25.0,1.0153,541.8
2024-06,5,-0.0721,40.0,1.0157,705.8
2024-07,4,-1.5421,25.0,2.019,209.8
2024-08,5,-2.5604,20.0,4.0513,307.0
2024-09,5,2.4423,60.0,1.0148,1814.6
2024-10,5,2.4255,60.0,1.0139,503.8
2024-11,5,-5.0468,0.0,4.0305,224.8
2024-12,6,-1.0327,33.33,3.0138,281.8
2025-01,7,-7.0535,0.0,6.0458,190.9
2025-02,4,-4.03,0.0,3.0215,358.2
2025-03,4,0.9667,50.0,1.0108,426.2
2025-04,7,-2.0685,28.57,3.0353,550.3
2025-05,8,-3.0794,25.0,3.0312,983.8
2025-06,7,-4.5857,14.29,5.0631,114.0
2025-07,2,0.4858,50.0,1.007,277.5
2025-08,8,-3.0706,25.0,3.0262,514.0
2025-09,4,0.9504,50.0,1.0158,838.5
2025-10,6,-3.5671,16.67,2.5536,416.7
2025-11,3,-3.024,0.0,2.0138,337.3
2025-12,9,3.4014,55.56,2.0201,459.6
2026-01,5,2.4332,60.0,1.0165,277.4
2026-02,6,-1.0518,33.33,4.0376,415.5
