symbol,strategy_id,tp_r,entry_ts_utc,exit_ts_utc,side,entry_price,stop_init,risk,tp_price,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars,mfe1,lock1,mfe2,lock2,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,entry_idx_4h
BTCUSDT,rsi_4h,12.0,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,1,44671.93,44128.22,543.7099999999991,51196.44999999999,3.0,-1.0246484,-1.0246484,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,10
BTCUSDT,rsi_4h,12.0,2022-01-21 04:00:00+00:00,2022-01-21 11:30:00+00:00,1,38447.92,38200.0,247.91999999999825,41422.95999999998,3.0,-1.04652459,0.75347541,BE,43,1.0,0.8,6.5,5.5,35,60,20,2,5.0,102
BTCUSDT,rsi_4h,12.0,2022-01-24 08:00:00+00:00,2022-01-24 12:00:00+00:00,1,34875.54,34687.13,188.4100000000035,37136.46000000004,3.0,-1.05553135,-1.05553135,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,121
BTCUSDT,rsi_4h,12.0,2022-02-04 16:00:00+00:00,2022-02-04 20:00:00+00:00,-1,39481.72,39863.27,381.54999999999563,34903.12000000005,3.0,-1.03104316,-1.03104316,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,189
BTCUSDT,rsi_4h,12.0,2022-02-10 08:00:00+00:00,2022-02-10 12:00:00+00:00,-1,44066.19,44826.0,759.8099999999977,34948.47000000003,3.0,-1.0173989,-1.0173989,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,223
BTCUSDT,rsi_4h,12.0,2022-02-15 12:00:00+00:00,2022-02-15 17:35:00+00:00,-1,44214.3,44442.3,228.0,41478.3,3.0,-1.05817671,0.74182329,BE,20,1.0,0.8,6.5,5.5,35,60,20,2,5.0,254
BTCUSDT,rsi_4h,12.0,2022-02-16 00:00:00+00:00,2022-02-16 20:05:00+00:00,-1,44529.7,44777.0,247.3000000000029,41562.09999999996,3.0,11.94598095,0.74598095,BE,194,1.0,0.8,6.5,5.5,35,60,20,2,5.0,257
BTCUSDT,rsi_4h,12.0,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,1,40167.2,40073.1,94.09999999999854,41296.39999999998,3.0,-1.12805696,-1.12805696,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,272
BTCUSDT,rsi_4h,12.0,2022-02-20 08:00:00+00:00,2022-02-20 12:00:00+00:00,1,38770.3,38553.5,216.8000000000029,41371.90000000004,3.0,-1.05364894,-1.05364894,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,283
BTCUSDT,rsi_4h,12.0,2022-02-21 12:00:00+00:00,2022-02-21 16:25:00+00:00,1,37550.0,37314.5,235.5,40376.0,3.0,-1.04783439,5.45216561,BE,6,1.0,0.8,6.5,5.5,35,60,20,2,5.0,290
BTCUSDT,rsi_4h,12.0,2022-02-22 00:00:00+00:00,2022-02-22 04:00:00+00:00,1,36986.4,36762.0,224.40000000000146,39679.20000000002,3.0,-1.04944706,-1.04944706,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,293
BTCUSDT,rsi_4h,12.0,2022-02-24 04:00:00+00:00,2022-02-24 10:20:00+00:00,1,34907.8,34673.1,234.70000000000437,37724.200000000055,3.0,11.95537989,0.75537989,BE,29,1.0,0.8,6.5,5.5,35,60,20,2,5.0,306
BTCUSDT,rsi_4h,12.0,2022-02-28 20:00:00+00:00,2022-03-01 00:00:00+00:00,-1,41306.5,41489.0,182.5,39116.5,3.0,-1.0679011,-1.0679011,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,334
BTCUSDT,rsi_4h,12.0,2022-03-06 12:00:00+00:00,2022-03-06 19:45:00+00:00,1,38329.1,38056.0,273.09999999999854,41606.29999999998,3.0,-1.04210447,0.75789553,BE,46,1.0,0.8,6.5,5.5,35,60,20,2,5.0,368
BTCUSDT,rsi_4h,12.0,2022-03-07 04:00:00+00:00,2022-03-07 08:50:00+00:00,1,37848.9,37529.9,319.0,41676.9,3.0,-1.03559458,0.76440542,BE,11,1.0,0.8,6.5,5.5,35,60,20,2,5.0,372
BTCUSDT,rsi_4h,12.0,2022-03-09 08:00:00+00:00,2022-03-09 12:00:00+00:00,-1,41770.6,41893.5,122.90000000000146,40295.79999999998,3.0,-1.10196241,-1.10196241,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,385
BTCUSDT,rsi_4h,12.0,2022-03-17 00:00:00+00:00,2022-03-17 05:00:00+00:00,-1,41105.9,41473.6,367.6999999999971,36693.50000000004,3.0,-1.03353758,-1.03353758,SL,13,1.0,0.8,6.5,5.5,35,60,20,2,5.0,431
BTCUSDT,rsi_4h,12.0,2022-03-18 20:00:00+00:00,2022-03-19 00:40:00+00:00,-1,42020.3,42091.8,71.5,41162.3,3.0,-1.17630895,0.62369105,BE,9,1.0,0.8,6.5,5.5,35,60,20,2,5.0,442
BTCUSDT,rsi_4h,12.0,2022-03-22 04:00:00+00:00,2022-03-22 08:40:00+00:00,-1,42230.0,42500.0,270.0,38990.0,3.0,-1.04692222,-1.04692222,SL,9,1.0,0.8,6.5,5.5,35,60,20,2,5.0,462
BTCUSDT,rsi_4h,12.0,2022-03-23 16:00:00+00:00,2022-03-23 22:30:00+00:00,-1,42588.7,42724.0,135.3000000000029,40965.09999999996,3.0,-1.09443171,0.70556829,BE,31,1.0,0.8,6.5,5.5,35,60,20,2,5.0,471
BTCUSDT,rsi_4h,12.0,2022-03-24 00:00:00+00:00,2022-03-24 06:15:00+00:00,-1,42867.8,43051.0,183.1999999999971,40669.40000000004,3.0,-1.07019836,-1.07019836,SL,28,1.0,0.8,6.5,5.5,35,60,20,2,5.0,473
BTCUSDT,rsi_4h,12.0,2022-03-24 08:00:00+00:00,2022-03-24 13:35:00+00:00,-1,43060.9,43500.0,439.09999999999854,37791.70000000002,3.0,-1.02941988,0.77058012,BE,20,1.0,0.8,6.5,5.5,35,60,20,2,5.0,475
BTCUSDT,rsi_4h,12.0,2022-04-06 20:00:00+00:00,2022-04-07 00:10:00+00:00,1,43751.2,43100.0,651.1999999999971,51565.59999999996,3.0,-1.02015565,-1.02015565,SL,3,1.0,0.8,6.5,5.5,35,60,20,2,5.0,556
BTCUSDT,rsi_4h,12.0,2022-04-07 16:00:00+00:00,2022-04-07 23:40:00+00:00,1,43305.0,42996.0,309.0,47013.0,3.0,-1.04204369,0.75795631,BE,45,1.0,0.8,6.5,5.5,35,60,20,2,5.0,561
BTCUSDT,rsi_4h,12.0,2022-04-08 20:00:00+00:00,2022-04-09 00:00:00+00:00,1,42722.0,42298.2,423.8000000000029,47807.600000000035,3.0,-1.0302421,-1.0302421,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,568
BTCUSDT,rsi_4h,12.0,2022-04-11 12:00:00+00:00,2022-04-11 16:00:00+00:00,1,41055.1,40933.6,121.5,42513.1,3.0,-1.10137062,-1.10137062,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,584
BTCUSDT,rsi_4h,12.0,2022-04-13 12:00:00+00:00,2022-04-13 16:00:00+00:00,1,39697.6,39569.8,127.79999999999563,41231.199999999946,3.0,11.90681315,11.90681315,TP,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,596
BTCUSDT,rsi_4h,12.0,2022-04-18 08:00:00+00:00,2022-04-18 12:40:00+00:00,1,38902.2,38465.7,436.5,44140.2,3.0,-1.02673691,0.77326309,BE,9,1.0,0.8,6.5,5.5,35,60,20,2,5.0,625
BTCUSDT,rsi_4h,12.0,2022-04-20 12:00:00+00:00,2022-04-20 18:40:00+00:00,-1,42070.7,42166.8,96.10000000000582,40917.49999999993,3.0,11.86866587,11.86866587,TP,33,1.0,0.8,6.5,5.5,35,60,20,2,5.0,638
BTCUSDT,rsi_4h,12.0,2022-04-21 12:00:00+00:00,2022-04-24 16:50:00+00:00,-1,42418.0,42700.0,282.0,39034.0,3.0,11.95487447,11.95487447,TP,875,1.0,0.8,6.5,5.5,35,60,20,2,5.0,644
BTCUSDT,rsi_4h,12.0,2022-04-25 08:00:00+00:00,2022-04-25 13:05:00+00:00,1,38437.2,38111.0,326.1999999999971,42351.59999999996,3.0,-1.03534997,0.76465003,BE,14,1.0,0.8,6.5,5.5,35,60,20,2,5.0,667
BTCUSDT,rsi_4h,12.0,2022-05-04 20:00:00+00:00,2022-05-05 00:20:00+00:00,-1,39855.2,40071.7,216.5,37257.2,3.0,11.94477339,0.74477339,BE,5,1.0,0.8,6.5,5.5,35,60,20,2,5.0,724
BTCUSDT,rsi_4h,12.0,2022-05-05 20:00:00+00:00,2022-05-06 13:35:00+00:00,1,36281.3,35388.0,893.3000000000029,47000.90000000004,3.0,-1.01218447,-1.01218447,SL,164,1.0,0.8,6.5,5.5,35,60,20,2,5.0,730
BTCUSDT,rsi_4h,12.0,2022-05-08 00:00:00+00:00,2022-05-08 04:00:00+00:00,1,35466.7,34700.0,766.6999999999971,44667.09999999996,3.0,-1.01387767,-1.01387767,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,743
BTCUSDT,rsi_4h,12.0,2022-05-11 16:00:00+00:00,2022-05-11 20:15:00+00:00,1,30971.4,29000.0,1971.4000000000015,54628.20000000002,3.0,-1.00471311,-1.00471311,SL,4,1.0,0.8,6.5,5.5,35,60,20,2,5.0,765
BTCUSDT,rsi_4h,12.0,2022-05-30 04:00:00+00:00,2022-05-30 08:00:00+00:00,-1,30345.6,30448.0,102.40000000000146,29116.79999999998,3.0,-1.08890312,-1.08890312,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,876
BTCUSDT,rsi_4h,12.0,2022-06-06 04:00:00+00:00,2022-06-06 08:00:00+00:00,-1,31235.0,31292.0,57.0,30551.0,3.0,-1.16439474,-1.16439474,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,918
BTCUSDT,rsi_4h,12.0,2022-06-12 04:00:00+00:00,2022-06-12 13:50:00+00:00,1,27538.2,27244.9,293.2999999999993,31057.799999999992,3.0,-1.02816727,-1.02816727,SL,71,1.0,0.8,6.5,5.5,35,60,20,2,5.0,954
BTCUSDT,rsi_4h,12.0,2022-06-12 20:00:00+00:00,2022-06-13 00:00:00+00:00,1,27410.0,26850.0,560.0,34130.0,3.0,-1.01468393,-1.01468393,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,958
BTCUSDT,rsi_4h,12.0,2022-06-16 08:00:00+00:00,2022-06-16 12:00:00+00:00,1,21748.9,21428.8,320.1000000000022,25590.100000000028,3.0,-1.02038322,-1.02038322,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,979
BTCUSDT,rsi_4h,12.0,2022-06-30 08:00:00+00:00,2022-06-30 12:00:00+00:00,1,19423.1,19300.0,123.09999999999854,20900.29999999998,3.0,-1.04733493,-1.04733493,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1063
BTCUSDT,rsi_4h,12.0,2022-07-07 16:00:00+00:00,2022-07-07 20:00:00+00:00,-1,20882.0,21050.0,168.0,18866.0,3.0,-1.03728929,-1.03728929,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1107
BTCUSDT,rsi_4h,12.0,2022-07-12 20:00:00+00:00,2022-07-13 02:10:00+00:00,1,19383.7,19252.5,131.20000000000073,20958.10000000001,3.0,-1.04432248,0.75567752,BE,27,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1138
BTCUSDT,rsi_4h,12.0,2022-07-17 04:00:00+00:00,2022-07-17 16:35:00+00:00,-1,21314.1,21580.0,265.90000000000146,18123.29999999998,3.0,-1.0240475,0.7759525,BE,104,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1164
BTCUSDT,rsi_4h,12.0,2022-07-18 08:00:00+00:00,2022-07-18 12:35:00+00:00,-1,22243.3,22401.4,158.10000000000218,20346.099999999973,3.0,-1.0422074,0.7577926,BE,8,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1171
BTCUSDT,rsi_4h,12.0,2022-07-19 00:00:00+00:00,2022-07-19 06:25:00+00:00,-1,22423.5,22800.0,376.5,17905.5,3.0,-1.01786733,0.78213267,BE,30,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1175
BTCUSDT,rsi_4h,12.0,2022-07-19 16:00:00+00:00,2022-07-19 20:00:00+00:00,-1,23117.1,23200.0,82.90000000000146,22122.29999999998,3.0,-1.08365657,-1.08365657,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1179
BTCUSDT,rsi_4h,12.0,2022-07-22 12:00:00+00:00,2022-07-22 16:00:00+00:00,-1,23600.7,23623.6,22.899999999997817,23325.900000000027,3.0,11.69082052,11.69082052,TP,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1196
BTCUSDT,rsi_4h,12.0,2022-07-26 16:00:00+00:00,2022-07-26 21:20:00+00:00,1,20737.6,20689.6,48.0,21313.6,3.0,11.87039,5.37039,BE,17,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1221
BTCUSDT,rsi_4h,12.0,2022-07-28 04:00:00+00:00,2022-07-28 12:35:00+00:00,-1,23126.8,23480.0,353.2000000000007,18888.39999999999,3.0,-1.01964337,0.78035663,BE,56,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1230
BTCUSDT,rsi_4h,12.0,2022-08-08 08:00:00+00:00,2022-08-08 12:00:00+00:00,-1,23796.8,23848.0,51.20000000000073,23182.39999999999,3.0,-1.13943437,-1.13943437,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1297
BTCUSDT,rsi_4h,12.0,2022-08-11 04:00:00+00:00,2022-08-11 08:30:00+00:00,-1,24313.6,24480.7,167.10000000000218,22308.399999999972,3.0,-1.04365099,-1.04365099,SL,7,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1314
BTCUSDT,rsi_4h,12.0,2022-08-13 04:00:00+00:00,2022-08-13 08:00:00+00:00,-1,24786.5,24800.0,13.5,24624.5,3.0,11.44918889,11.44918889,TP,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1326
BTCUSDT,rsi_4h,12.0,2022-08-14 08:00:00+00:00,2022-08-15 02:05:00+00:00,-1,24867.2,25065.0,197.79999999999927,22493.60000000001,3.0,-1.03771567,0.76228433,BE,170,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1333
BTCUSDT,rsi_4h,12.0,2022-08-19 04:00:00+00:00,2022-08-19 08:00:00+00:00,1,22759.0,22702.0,57.0,23443.0,3.0,-1.11978421,-1.11978421,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1362
BTCUSDT,rsi_4h,12.0,2022-08-22 08:00:00+00:00,2022-08-22 13:30:00+00:00,1,21089.2,21038.6,50.60000000000218,21696.400000000027,3.0,-1.12503478,0.67496522,BE,19,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1381
BTCUSDT,rsi_4h,12.0,2022-08-26 20:00:00+00:00,2022-08-27 00:00:00+00:00,1,20635.5,20518.0,117.5,22045.5,3.0,-1.05268638,-1.05268638,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1408
BTCUSDT,rsi_4h,12.0,2022-09-06 20:00:00+00:00,2022-09-07 00:20:00+00:00,1,18813.1,18700.0,113.09999999999854,20170.29999999998,3.0,-1.04990212,-1.04990212,SL,5,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1474
BTCUSDT,rsi_4h,12.0,2022-09-09 08:00:00+00:00,2022-09-09 12:00:00+00:00,-1,20623.6,20804.9,181.3000000000029,18447.999999999964,3.0,-1.0341262,-1.0341262,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1489
BTCUSDT,rsi_4h,12.0,2022-09-19 04:00:00+00:00,2022-09-19 08:00:00+00:00,1,18766.2,18655.0,111.20000000000073,20100.60000000001,3.0,-1.05062824,-1.05062824,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1548
BTCUSDT,rsi_4h,12.0,2022-09-27 04:00:00+00:00,2022-09-27 11:40:00+00:00,-1,20092.0,20296.1,204.09999999999854,17642.800000000017,3.0,-1.02953258,-1.02953258,SL,45,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1596
BTCUSDT,rsi_4h,12.0,2022-10-04 08:00:00+00:00,2022-10-04 12:05:00+00:00,-1,19957.0,19969.5,12.5,19807.0,3.0,-1.478968,0.321032,BE,2,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1639
BTCUSDT,rsi_4h,12.0,2022-10-05 20:00:00+00:00,2022-10-06 00:45:00+00:00,-1,20112.5,20350.0,237.5,17262.5,3.0,-1.02540526,-1.02540526,SL,10,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1648
BTCUSDT,rsi_4h,12.0,2022-10-11 04:00:00+00:00,2022-10-11 13:00:00+00:00,1,19039.6,18935.7,103.89999999999782,20286.399999999972,3.0,-1.05497478,0.74502522,BE,61,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1680
BTCUSDT,rsi_4h,12.0,2022-10-11 20:00:00+00:00,2022-10-12 05:55:00+00:00,1,18991.3,18850.0,141.29999999999927,20686.89999999999,3.0,-1.04032123,0.75967877,BE,72,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1684
BTCUSDT,rsi_4h,12.0,2022-10-13 12:00:00+00:00,2022-10-13 16:15:00+00:00,1,18745.0,18550.0,195.0,21085.0,3.0,11.97116154,0.77116154,BE,4,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1694
BTCUSDT,rsi_4h,12.0,2022-10-14 04:00:00+00:00,2022-10-14 10:05:00+00:00,-1,19806.2,19947.9,141.70000000000073,18105.799999999992,3.0,-1.04193267,0.75806733,BE,26,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1698
BTCUSDT,rsi_4h,12.0,2022-10-18 08:00:00+00:00,2022-10-18 12:50:00+00:00,-1,19655.8,19706.4,50.60000000000218,19048.599999999973,3.0,11.88346364,0.68346364,BE,11,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1723
BTCUSDT,rsi_4h,12.0,2022-10-23 20:00:00+00:00,2022-10-24 00:00:00+00:00,-1,19492.3,19527.0,34.70000000000073,19075.89999999999,3.0,-1.16852133,-1.16852133,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1756
BTCUSDT,rsi_4h,12.0,2022-10-25 16:00:00+00:00,2022-10-25 20:00:00+00:00,-1,19740.3,19799.9,59.60000000000218,19025.099999999973,3.0,-1.09936393,-1.09936393,SL,1,1.0,0.8,6.5,5.5,35,60,20,2,5.0,1767
